Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession
397673718	RVBD_1853	WP_003900422.1	urease accessory protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673719	RVBD_1854c	WP_003409317.1	NADH dehydrogenase	1 to 2	RBB	WP_002900778.1	2 to 1	RBB	WP_008805997.1	2 to 1	RBB	WP_002900778.1	2 to 1	RBB	NP_415627.1	2 to 1	RBB	WP_002900778.1	2 to 1	RBB	WP_002900778.1	2 to 1	RBB	YP_005226285
397673720	RVBD_1855c	WP_003409319.1	oxidoreductase	2 to 1	RBB	WP_002915313.1;WP_014907861.1	1 to 4	RBB	WP_012540717.1;WP_041165346.1;WP_012541461.1;WP_012542265.1	1 to 1	RBB	WP_004179293.1	1 to 1	RBB	NP_415532.3	1 to 2	RBB	WP_004179293.1;WP_002915313.1	1 to 2	RBB	WP_014907861.1;WP_002915313.1	1 to 2	RBB	YP_005226214;YP_005228524
397673721	RVBD_1856c	WP_003409323.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673722	RVBD_1857	WP_003409326.1	molybdate-binding protein	1 to 1	RBB	WP_004176834.1	1 to 1	SSD	WP_012542417.1	1 to 1	RBB	WP_004176834.1	1 to 1	RBB	NP_415284.1	1 to 1	RBB	WP_004176834.1	1 to 1	SSD	WP_004176834.1	1 to 1	RBB	YP_005225901
397673723	RVBD_1858	WP_003409329.1	molybdenum transporter permease modB	0	N/A		1 to 1	RBB	WP_008805707.1	0	N/A		1 to 1	RBB	NP_415285.1	0	N/A		0	N/A		0	N/A	
397673724	RVBD_1859	WP_003899051.1	molybdenum import ATP-binding protein ModC	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673725	RVBD_1860	WP_003911690.1	alanine and proline-rich secreted protein apa	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673726	RVBD_1861	WP_003409339.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673727	RVBD_1862	WP_003409345.1	zinc-binding alcohol dehydrogenase	0	N/A		1 to 1	Borderline-SSD	WP_002906221.1	1 to 1	RBB	WP_002906221.1	1 to 1	RBB	NP_415995.4	1 to 1	RBB	WP_002906221.1	1 to 1	Borderline-SSD	WP_002906221.1	1 to 1	RBB	YP_005227123
397673728	RVBD_1863c	WP_003899053.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673729	RVBD_1864c	WP_003409351.1	hypothetical protein	1 to 1	RBB	WP_002882896.1	1 to 1	RBB	WP_008807875.1	1 to 1	RBB	WP_004181626.1	1 to 1	RBB	NP_418346.2	1 to 1	RBB	WP_002882896.1	1 to 1	RBB	WP_002882896.1	1 to 1	RBB	YP_005224370
397673730	RVBD_1865c	WP_003409355.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673731	RVBD_1866	WP_003900424.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673732	RVBD_1867	WP_003409362.1	acetyl-CoA C-acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673733	RVBD_1868	WP_003409374.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673734	RVBD_1869c	WP_003899055.1	oxidoreductase	0	N/A		0	N/A		2 to 1	SSD	WP_004174432.1	2 to 1	RBB	NP_417037.1	0	N/A		0	N/A		2 to 1	SSD	YP_005228733
397673735	RVBD_1870c	WP_014584785.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673736	RVBD_1871c	WP_003901275.1	deazaflavin-dependent nitroreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673737	RVBD_1872c	WP_003899057.1	L-lactate dehydrogenase (cytochrome)	2 to 1	RBB	WP_014907406.1;WP_002922420.1	1 to 2	RBB	WP_008806858.1;WP_012541390.1	1 to 2	RBB	WP_004151846.1;WP_002922420.1	1 to 1	RBB	NP_418062.1	1 to 2	RBB	WP_014599192.1;WP_002922420.1	1 to 2	RBB	WP_014907406.1;WP_002922420.1	1 to 2	RBB	YP_005227433;YP_005229409
397673738	RVBD_1873	WP_003409385.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673739	RVBD_1874	WP_003899058.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673740	RVBD_1875	WP_003899059.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673741	RVBD_1876	WP_003409398.1	bacterioferritin	1 to 1	RBB	WP_002919971.1	1 to 1	RBB	WP_004206792.1	1 to 1	RBB	WP_002919971.1	1 to 1	RBB	NP_417795.1	1 to 1	RBB	WP_002919971.1	1 to 1	RBB	WP_002919971.1	1 to 1	RBB	YP_005229172
397673742	RVBD_1877	WP_003899060.1	drug:H+ antiporter-2 (14 Spanner) (DHA2) family drug resistance MFS transporter	1 to 1	RBB	WP_004145022.1	1 to 1	RBB	WP_012540283.1	1 to 1	RBB	WP_004145022.1	0	N/A		1 to 1	RBB	WP_004901486.1	1 to 1	RBB	WP_004145022.1	1 to 1	RBB	YP_005229502
397673743	RVBD_1878	WP_003409401.1	glutamine synthetase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673744	RVBD_1879	WP_003899061.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673745	RVBD_1880c	WP_003409406.1	cytochrome P450 140 cyp140	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673746	RVBD_1881c	WP_003409409.1	lipoprotein LppE	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673747	RVBD_1882c	WP_003409413.1	short-chain type dehydrogenase/reductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673748	RVBD_1883c	WP_023637416.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673749	RVBD_1884c	WP_003911697.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673750	RVBD_1885c	WP_003899064.1	chorismate mutase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673752	RVBD_1886A	YP_006515287	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673751	RVBD_1886c	WP_003409456.1	antigen 85-B	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673753	RVBD_1887	WP_003899065.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673755	RVBD_1888A	YP_006515290	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673754	RVBD_1888c	YP_006515289	transmembrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673756	RVBD_1889c	YP_006515291	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673757	RVBD_1890c	WP_003911699.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673758	RVBD_1891	WP_003409509.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673759	RVBD_1892	WP_031647312.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673760	RVBD_1893	WP_003409515.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673762	RVBD_1894A	YP_006515297	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673761	RVBD_1894c	WP_003409518.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673763	RVBD_1895	WP_031682186.1	chlorophyll synthesis pathway, bchC	1 to 1	RBB	WP_004140529.1	1 to 1	RBB	WP_012542148.1	1 to 1	Borderline-SSD	WP_004140529.1	1 to 1	RBB	NP_415141.1	1 to 1	RBB	WP_004140529.1	1 to 1	RBB	WP_002918451.1	1 to 1	Borderline-SSD	YP_005226327
397673764	RVBD_1896c	WP_003409526.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673765	RVBD_1897c	WP_003409533.1	D-tyrosyl-tRNA(Tyr) deacylase	1 to 1	RBB	WP_002882809.1	1 to 1	SSD	WP_012543288.1	1 to 1	RBB	WP_002882809.1	1 to 1	RBB	NP_418323.1	1 to 1	RBB	WP_002882809.1	1 to 1	SSD	WP_002882809.1	1 to 1	RBB	YP_005224332
397673766	RVBD_1898	WP_003409536.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673767	RVBD_1899c	WP_003409537.1	hypothetical protein	1 to 1	SSD	WP_002898953.1	1 to 1	SSD	WP_008805959.1	1 to 1	RBB	WP_004176593.1	1 to 1	RBB	NP_415563.1	1 to 1	RBB	WP_004176593.1	1 to 1	SSD	WP_002898953.1	1 to 1	RBB	YP_005226236
397673768	RVBD_1900c	WP_003916001.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673769	RVBD_1901	WP_003900426.1	CinA-like protein	2 to 1	SSD	WP_014907644.1;WP_002914771.1	1 to 1	SSD	WP_012540790.1	1 to 2	RBB	WP_002903810.1;WP_002914771.1	1 to 1	RBB	NP_417180.1	1 to 2	RBB	WP_004224675.1;WP_002914771.1	1 to 2	SSD	WP_014907644.1;WP_002914771.1	1 to 2	RBB	YP_005226812;YP_005228403
397673770	RVBD_1902c	WP_003900427.1	sialate:H+ symporter (SHS) family MFS transporter	1 to 1	RBB	WP_004148411.1	1 to 1	RBB	WP_012541690.1	1 to 1	RBB	WP_002905221.1	1 to 2	RBB	NP_417691.4;NP_418699.4	1 to 1	RBB	WP_004148411.1	1 to 1	RBB	WP_004148411.1	1 to 1	RBB	YP_005227003
397673771	RVBD_1903	WP_003409542.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673772	RVBD_1904	WP_003409543.1	anti-anti-sigma factor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673773	RVBD_1905c	WP_003899072.1	D-amino-acid oxidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673774	RVBD_1906c	WP_003900428.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673775	RVBD_1907c	WP_014848108.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673776	RVBD_1908c	WP_003899075.1	catalase-peroxidase	1 to 1	SSD	WP_009485840.1	1 to 1	RBB	WP_012541632.1	1 to 1	SSD	WP_004176050.1	1 to 1	RBB	NP_418377.1	1 to 1	RBB	WP_004176050.1	1 to 1	RBB	WP_009485840.1	1 to 1	SSD	YP_005227075
561108345	RVBD_1909c	WP_003899076.1	ferric uptake regulation protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673778	RVBD_1910c	WP_003899077.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673779	RVBD_1911c	WP_003899078.1	lipoprotein LppC	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673780	RVBD_1912c	WP_003899079.1	NADPH2:quinone reductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673781	RVBD_1913	WP_003409574.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673782	RVBD_1914c	WP_003917547.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673783	RVBD_1915	WP_003906697.1	isocitrate lyase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673784	RVBD_1916	WP_003903680.1	isocitrate lyase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673785	RVBD_1917c	WP_009936894.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673786	RVBD_1918c	WP_003906700.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673787	RVBD_1919c	WP_003899082.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673788	RVBD_1920	WP_003900432.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673789	RVBD_1921c	WP_003409666.1	lipoprotein LppF	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673790	RVBD_1922	WP_003409667.1	hypothetical protein	1 to 2	RBB	WP_000401408.1	1 to 1	RBB	WP_041165438.1	3 to 1	RBB	WP_004178722.1	2 to 1	RBB	NP_416925.2	0	N/A		3 to 1	SSD	WP_004151350.1	3 to 1	RBB	YP_005225355
397673791	RVBD_1923	WP_003911710.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673792	RVBD_1924c	WP_003900434.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673793	RVBD_1925	WP_003409680.1	fatty-acyl-CoA synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673794	RVBD_1926c	WP_003409684.1	immunogenic protein MPB63	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673795	RVBD_1927	WP_003409685.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673796	RVBD_1928c	WP_003409686.1	oxidoreductase	1 to 1	RBB	WP_014907943.1	1 to 1	RBB	WP_012542497.1	1 to 1	RBB	WP_015958558.1	1 to 1	RBB	NP_416641.1	1 to 1	RBB	WP_004151668.1	1 to 1	RBB	WP_014907943.1	1 to 1	RBB	YP_005225725
397673797	RVBD_1929c	WP_003409689.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673798	RVBD_1930c	WP_003409694.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673799	RVBD_1931c	WP_003899087.1	transcriptional regulator	0	N/A		1 to 2	RBB	WP_012541721.1;WP_012541784.1	1 to 1	RBB	WP_002904870.1	1 to 2	RBB	NP_416048.2;NP_418813.1	0	N/A		0	N/A		1 to 1	RBB	YP_005226951
397673800	RVBD_1932	WP_003409700.1	thiol peroxidase, atypical 2-Cys peroxiredoxin	1 to 1	RBB	WP_004152131.1	1 to 1	RBB	WP_008805229.1	0	N/A		1 to 1	RBB	NP_415840.1	1 to 1	RBB	WP_004152131.1	1 to 1	RBB	WP_004152131.1	1 to 1	RBB	YP_005226519
397673801	RVBD_1933c	WP_003900437.1	acyl-CoA dehydrogenase fadE18	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673802	RVBD_1934c	WP_003900438.1	acyl-CoA dehydrogenase fadE17	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673803	RVBD_1935c	WP_003409707.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673804	RVBD_1936	WP_003904740.1	oxidoreductase	1 to 2	RBB	WP_014907086.1	2 to 1	RBB	WP_012541606.1	2 to 1	RBB	WP_004176005.1	2 to 1	RBB	NP_417629.1	2 to 1	RBB	WP_004898473.1	2 to 2	RBB	WP_004176005.1;WP_014907086.1	2 to 1	RBB	YP_005227128
397673805	RVBD_1937	WP_003409714.1	oxidoreductase	1 to 1	RBB	WP_014907529.1	1 to 1	RBB	WP_012541596.1	1 to 1	RBB	WP_015958480.1	2 to 1	RBB	NP_418286.1	1 to 1	RBB	WP_004898490.1	1 to 1	RBB	WP_014907529.1	1 to 1	RBB	YP_005227140
397673806	RVBD_1938	WP_003899091.1	microsomal epoxide hydrolase	1 to 3	RBB	WP_004180015.1	3 to 1	RBB	WP_012541638.1	3 to 1	RBB	WP_004180015.1	0	N/A		3 to 1	RBB	WP_004189934.1	3 to 1	RBB	WP_004180015.1	3 to 1	RBB	YP_005227062
397673807	RVBD_1939	WP_003409718.1	oxidoreductase	2 to 3	RBB	WP_014907862.1;WP_002887467.1	2 to 2	RBB	WP_012542270.1;WP_012542962.1	3 to 2	RBB	WP_004176611.1;WP_002887467.1	3 to 1	RBB	NP_415527.4	2 to 2	RBB	WP_002887467.1;WP_002898812.1	3 to 2	RBB	WP_002887467.1;WP_014907862.1	2 to 2	RBB	YP_005224925;YP_005226208
397673808	RVBD_1940	WP_003899092.1	3,4-dihydroxy-2-butanone-4-phosphate synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673809	RVBD_1941	WP_003409775.1	oxidoreductase	0	N/A		1 to 1	RBB	YP_002239211	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673810	RVBD_1942c	WP_003409778.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673811	RVBD_1943c	WP_023637423.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673812	RVBD_1944c	WP_003409784.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673813	RVBD_1945	WP_003903691.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673814	RVBD_1946c	WP_003899095.1	lipoprotein LppG	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673815	RVBD_1947	WP_003409869.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673816	RVBD_1948c	WP_003899096.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673817	RVBD_1949c	WP_003899097.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673818	RVBD_1950c	WP_003409876.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673819	RVBD_1951c	WP_003409877.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673820	RVBD_1952	WP_003904744.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673821	RVBD_1953	WP_003409881.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673822	RVBD_1954c	YP_006515357	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673823	RVBD_1955	WP_003905702.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673824	RVBD_1956	WP_003409886.1	antitoxin, transcriptional regulator	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_416025.1	0	N/A		0	N/A		0	N/A	
397673825	RVBD_1957	WP_003409891.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673826	RVBD_1958c	WP_003901296.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673827	RVBD_1959c	WP_003409896.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673828	RVBD_1960c	WP_003409899.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673829	RVBD_1961	WP_003899099.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673830	RVBD_1961A	YP_006515365	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673832	RVBD_1962Ac	YP_006515367	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673831	RVBD_1962c	WP_003409913.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673834	RVBD_1963Ac	YP_006515369	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673833	RVBD_1963c	WP_003409919.1	TetR family transcriptional repressor mce3R	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673835	RVBD_1964	WP_003899101.1	ABC transporter permease	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673836	RVBD_1965	WP_003899102.1	ABC transporter permease	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673837	RVBD_1966	WP_003900443.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673838	RVBD_1967	WP_003899104.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		2 to 1	RBB	NP_417660.1	0	N/A		0	N/A		0	N/A	
397673839	RVBD_1968	WP_003904746.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673840	RVBD_1969	WP_003899106.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673841	RVBD_1970	WP_003899107.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673842	RVBD_1971	WP_003911732.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673843	RVBD_1972	WP_003899109.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673844	RVBD_1973	WP_003899110.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673845	RVBD_1974	WP_003899111.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673846	RVBD_1975	WP_003899112.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673847	RVBD_1976c	WP_003899113.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673848	RVBD_1977	WP_003899114.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673849	RVBD_1978	WP_003409942.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673850	RVBD_1979c	WP_003899115.1	permease	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673851	RVBD_1980c	WP_003409954.1	immunogenic protein MPT64	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673853	RVBD_1981Ac	YP_006515388	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673852	RVBD_1981c	WP_003899116.1	ribonucleoside-diphosphate reductase subunit beta nrdF1	1 to 2	RBB	WP_002914327.1	2 to 1	RBB	WP_012540793.1	2 to 1	RBB	WP_015958861.1	0	N/A		2 to 1	RBB	WP_002914327.1	2 to 1	RBB	WP_002914327.1	2 to 1	RBB	YP_005228380
397673855	RVBD_1982Ac	YP_006515390	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673854	RVBD_1982c	WP_003409958.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673856	RVBD_1983	WP_003899118.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673858	RVBD_1984A	WP_003409980.1	hypothetical protein	1 to 1	RBB	WP_002916614.1	1 to 1	RBB	WP_002916614.1	1 to 1	RBB	WP_002916614.1	0	N/A		1 to 1	RBB	WP_002916614.1	1 to 1	RBB	WP_002916614.1	1 to 1	RBB	YP_005228757
397673857	RVBD_1984c	WP_003409976.1	cutinase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673859	RVBD_1985c	WP_003409986.1	ArgP family transcriptional regulator	1 to 1	RBB	WP_002916497.1	1 to 1	RBB	WP_008806448.1	1 to 1	RBB	WP_002916497.1	1 to 1	RBB	NP_417391.1	1 to 1	RBB	WP_002916497.1	1 to 1	RBB	WP_002916497.1	1 to 1	RBB	YP_005228715
