Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession
16130298	b2366	NP_416867.1	D-serine dehydratase	1 to 1	SSD	YP_005229554	1 to 1	SSD	WP_004173854.1	0	N/A		1 to 1	SSD	WP_014906738.1	1 to 1	SSD	WP_014906738.1	1 to 1	SSD	WP_012967013.1	1 to 1	SSD	WP_032428100.1
16130299	b2367	NP_416868.1	predicted multidrug efflux system	0	N/A		0	N/A		1 to 3	RBB	WP_003898791.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130300	b2368	NP_416869.1	EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component	0	N/A		1 to 1	RBB	WP_004900454.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130301	b2369	NP_416870.1	DNA-binding response regulator in two-component regulatory system with EvgS	1 to 1	RBB	YP_005228910	1 to 1	RBB	WP_004900721.1	0	N/A		1 to 1	RBB	WP_004174237.1	1 to 1	RBB	WP_004174237.1	1 to 1	RBB	WP_008806546.1	1 to 1	RBB	WP_004174237.1
16130302	b2370	NP_416871.1	hybrid sensory histidine kinase in two-component regulatory system with EvgA	1 to 1	RBB	YP_005228911	1 to 1	RBB	WP_004900497.1	0	N/A		1 to 1	RBB	WP_014906903.1	1 to 1	RBB	WP_014906903.1	1 to 1	RBB	WP_012540526.1	1 to 1	RBB	WP_015959034.1
162135906	b2371	NP_416872.4	predicted CoA-transferase, NAD(P)-binding	0	N/A		0	N/A		1 to 2	RBB	WP_003417120.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130304	b2372	NP_416873.1	predicted transporter	1 to 1	RBB	YP_005228459	1 to 1	RBB	WP_004900123.1	0	N/A		1 to 1	RBB	WP_002915041.1	1 to 1	RBB	WP_002915041.1	1 to 1	RBB	WP_008806201.1	1 to 1	RBB	WP_002915041.1
16130305	b2373	NP_416874.1	oxalyl CoA decarboxylase, ThDP-dependent	0	N/A		0	N/A		1 to 1	RBB	WP_003900812.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130306	b2374	NP_416875.1	formyl-CoA transferase, NAD(P)-binding	0	N/A		0	N/A		1 to 2	RBB	WP_003417120.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130307	b2375	NP_416876.1	predicted protein	1 to 1	RBB	YP_005228912	1 to 1	RBB	WP_004150926.1	0	N/A		1 to 1	RBB	WP_004174235.1	0	N/A		1 to 1	RBB	WP_008806548.1	1 to 1	RBB	WP_041937675.1
16130308	b2376	NP_416877.1	predicted lipoprotein involved in colanic acid biosynthesis	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130309	b2377	NP_416878.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111426	b2378	NP_416879.4	palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase	1 to 1	Borderline-SSD	YP_005226347	1 to 1	Borderline-SSD	WP_004148038.1	0	N/A		1 to 1	Borderline-SSD	WP_004148038.1	1 to 1	Borderline-SSD	WP_004148038.1	2 to 1	Borderline-SSD	WP_012543044.1;WP_008807690.1	1 to 1	Borderline-SSD	WP_004148038.1
16130311	b2379	NP_416880.1	valine-pyruvate aminotransferase 3	1 to 1	SSD	YP_005228105	1 to 1	SSD	WP_002913372.1	1 to 1	RBB	WP_003898756.1	1 to 1	SSD	WP_014907145.1	1 to 1	SSD	WP_015875075.1	1 to 1	SSD	WP_008803894.1	1 to 1	SSD	WP_002913372.1
16130312	b2380	NP_416881.1	predicted sensory kinase in two-component system with YpdB	1 to 1	SSD	YP_005228108	1 to 1	SSD	WP_004149230.1	0	N/A		1 to 1	SSD	WP_014907144.1	1 to 1	SSD	WP_004149230.1	1 to 1	SSD	WP_012540955.1	1 to 1	SSD	WP_004149230.1
16130313	b2381	NP_416882.1	predicted response regulator in two-component system with YpdA	1 to 1	SSD	YP_005228109	1 to 1	SSD	WP_002913374.1	0	N/A		1 to 1	SSD	WP_002913374.1	1 to 1	SSD	WP_002913374.1	1 to 1	SSD	WP_012967486.1	1 to 1	SSD	WP_002913374.1
16130314	b2382	NP_416883.1	predicted DNA-binding protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130315	b2383	NP_416884.1	fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130316	b2384	NP_416885.1	aminopeptidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130317	b2385	NP_416886.1	Xaa-Pro aminopeptidase	0	N/A		0	N/A		1 to 1	RBB	WP_003412996.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130318	b2386	NP_416887.1	predicted enzyme IIC component of PTS	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130319	b2387	NP_416888.1	predicted enzyme IIB component of PTS	0	N/A		1 to 2	RBB	WP_004190049.1	0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_004176139.1
16130320	b2388	NP_416889.1	glucokinase	1 to 1	SSD	YP_005228110	1 to 1	SSD	WP_002913377.1	0	N/A		1 to 1	SSD	WP_002913377.1	1 to 1	SSD	WP_002913377.1	1 to 1	SSD	WP_012540954.1	1 to 1	SSD	WP_002913377.1
16130321	b2389	NP_416890.1	predicted ion channel protein	1 to 1	SSD	YP_005228111	1 to 1	SSD	WP_004899714.1	0	N/A		1 to 1	SSD	WP_014907143.1	1 to 1	SSD	WP_014907143.1	1 to 1	SSD	WP_012540953.1	1 to 1	SSD	WP_004154521.1
16130322	b2390	NP_416891.1	conserved protein	1 to 1	RBB	YP_005228114	1 to 1	RBB	WP_004899719.1	0	N/A		1 to 1	RBB	WP_002913419.1	1 to 1	RBB	WP_002913419.1	1 to 1	RBB	WP_008803887.1	1 to 1	RBB	WP_002913419.1
16130324	b2392	NP_416893.1	manganese/divalent cation transporter	1 to 1	SSD	YP_005228115	1 to 1	SSD	WP_002913421.1	1 to 1	RBB	WP_003917375.1	1 to 1	SSD	WP_002913421.1	1 to 1	SSD	WP_002913421.1	1 to 1	SSD	WP_012540951.1	1 to 1	SSD	WP_002913421.1
16130325	b2393	NP_416894.1	nucleoside (except guanosine) transporter	1 to 1	SSD	YP_005228116	1 to 1	SSD	WP_002913423.1	0	N/A		1 to 1	SSD	WP_002913423.1	1 to 1	SSD	WP_002913423.1	1 to 1	SSD	WP_012540950.1	1 to 1	SSD	WP_009486216.1
90111427	b2394	NP_416895.2	IS186 transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111428	b2395	NP_416896.4	predicted diguanylate cyclase	1 to 1	RBB	YP_005228117	1 to 1	RBB	WP_004899723.1	0	N/A		1 to 1	RBB	WP_004174930.1	1 to 1	RBB	WP_004174930.1	1 to 1	RBB	WP_012540949.1	1 to 1	RBB	WP_004149240.1
90111429	b2398	NP_416897.2	predicted DNA-binding protein, DUF1323 family	1 to 1	RBB	YP_005228118	1 to 1	RBB	WP_002913434.1	0	N/A		1 to 1	RBB	WP_002913434.1	1 to 1	RBB	WP_002913434.1	1 to 1	RBB	WP_008803883.1	1 to 1	RBB	WP_002913434.1
226524736	b2399	NP_416898.3	conserved protein, DUF1323 family; N-terminal HTH domain of the MerR superfamily	1 to 1	RBB	YP_005228119	1 to 1	RBB	WP_002913435.1	0	N/A		1 to 1	RBB	WP_002913435.1	1 to 1	RBB	WP_002913435.1	1 to 1	RBB	WP_008803882.1	1 to 1	RBB	WP_002913435.1
16130330	b2400	NP_416899.1	glutamyl-tRNA synthetase	1 to 1	SSD	YP_005228120	1 to 1	SSD	WP_004145598.1	1 to 1	RBB	WP_031647610.1	1 to 1	SSD	WP_004145598.1	1 to 1	SSD	WP_004145598.1	1 to 1	SSD	WP_012540948.1	1 to 1	SSD	WP_015958780.1
16130331	b2405	NP_416900.1	DNA-binding transcriptional activator for for xapAB	0	N/A		0	N/A		1 to 8	RBB	WP_003400857.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130332	b2406	NP_416901.1	xanthosine transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130333	b2407	NP_416902.1	purine nucleoside phosphorylase II	0	N/A		0	N/A		1 to 1	RBB	WP_003417233.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130334	b2408	NP_416903.1	predicted outer membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130335	b2409	NP_416904.1	predicted DNA-binding transcriptional regulator	1 to 1	SSD	YP_005228121	1 to 1	SSD	WP_004899728.1	0	N/A		1 to 1	SSD	WP_002913438.1	1 to 1	SSD	WP_002913438.1	1 to 1	SSD	WP_012540947.1	1 to 1	SSD	WP_002913438.1
16130336	b2410	NP_416905.1	predicted inner membrane protein	1 to 1	SSD	YP_005228122	1 to 1	SSD	WP_002913439.1	0	N/A		1 to 1	SSD	WP_002913439.1	1 to 1	SSD	WP_002913439.1	1 to 1	SSD	WP_008803879.1	1 to 1	SSD	WP_002913439.1
16130337	b2411	NP_416906.1	DNA ligase, NAD(+)-dependent	1 to 1	SSD	YP_005228124	1 to 1	SSD	WP_004180820.1	1 to 1	RBB	WP_003415263.1	1 to 1	SSD	WP_014907142.1	1 to 1	SSD	WP_014907142.1	1 to 1	SSD	WP_012540946.1	1 to 1	SSD	WP_004180820.1
16130338	b2412	NP_416907.1	cell division protein involved in Z ring assembly	1 to 1	SSD	YP_005228125	1 to 1	SSD	WP_004180822.1	0	N/A		1 to 1	SSD	WP_014907141.1	1 to 1	SSD	WP_014907141.1	1 to 1	SSD	WP_012540945.1	1 to 1	SSD	WP_004151995.1
16130339	b2413	NP_416908.1	predicted inner membrane protein	1 to 1	SSD	YP_005228127	1 to 1	SSD	WP_004174922.1	0	N/A		1 to 1	SSD	WP_004174922.1	1 to 1	SSD	WP_015875078.1	1 to 1	SSD	WP_012540943.1	1 to 1	SSD	WP_004174922.1
16130340	b2414	NP_416909.1	cysteine synthase A, O-acetylserine sulfhydrolase A subunit	1 to 1	SSD	YP_005228128	1 to 1	SSD	WP_002913498.1	1 to 1	RBB	WP_003899275.1	1 to 1	SSD	WP_002913498.1	1 to 1	SSD	WP_002913498.1	1 to 1	SSD	WP_012540942.1	1 to 1	SSD	WP_002913498.1
16130341	b2415	NP_416910.1	phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)	1 to 1	SimNSSD	YP_005228130	1 to 1	SimNSSD	WP_002913505.1	0	N/A		1 to 1	SimNSSD	WP_002913505.1	1 to 1	SimNSSD	WP_002913505.1	1 to 1	SimNSSD	WP_002913505.1	1 to 1	SimNSSD	WP_002913505.1
16130342	b2416	NP_416911.1	PEP-protein phosphotransferase of PTS system (enzyme I)	1 to 1	SSD	YP_005228131	1 to 1	SSD	WP_002913506.1	0	N/A		1 to 1	SSD	WP_004157506.1	1 to 1	SSD	WP_002913506.1	1 to 1	SSD	WP_008803874.1	1 to 1	SSD	WP_004180827.1
16130343	b2417	NP_416912.1	glucose-specific enzyme IIA component of PTS	1 to 1	SSD	YP_005228132	1 to 1	SSD	WP_000522253.1	0	N/A		1 to 1	SSD	WP_000522253.1	1 to 1	SSD	WP_000522253.1	1 to 1	SSD	WP_008803873.1	1 to 1	SSD	WP_000522253.1
16130344	b2418	NP_416913.1	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase	1 to 1	SSD	YP_005228134	1 to 1	SSD	WP_004174917.1	0	N/A		1 to 1	SSD	WP_014907139.1	1 to 1	SSD	WP_014907139.1	1 to 1	SSD	WP_012540940.1	1 to 1	SSD	WP_004174917.1
16130345	b2419	NP_416914.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130346	b2420	NP_416915.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130347	b2421	NP_416916.1	cysteine synthase B (O-acetylserine sulfhydrolase B)	1 to 1	SSD	YP_005228137	1 to 1	SSD	WP_004899738.1	0	N/A		1 to 1	SSD	WP_014907138.1	1 to 1	SSD	WP_014907138.1	1 to 1	SSD	WP_012540938.1	1 to 1	SSD	WP_004145610.1
16130348	b2422	NP_416917.1	sulfate/thiosulfate transporter subunit	1 to 1	SSD	YP_005228138	1 to 1	SSD	WP_002913623.1	1 to 1	RBB	WP_003412325.1	1 to 1	SSD	WP_002913623.1	1 to 1	SSD	WP_002913623.1	1 to 1	SSD	WP_012540937.1	1 to 1	SSD	WP_002913623.1
90111430	b2423	YP_026168.2	sulfate/thiosulfate transporter subunit	1 to 1	SSD	YP_005228139	1 to 1	SSD	WP_002913625.1	1 to 1	RBB	WP_003911860.1	1 to 1	SSD	WP_002913625.1	1 to 1	SSD	WP_002913625.1	1 to 1	SSD	WP_008803867.1	1 to 1	SSD	WP_002913625.1
16130349	b2424	NP_416919.1	sulfate/thiosulfate transporter subunit	1 to 1	SSD	YP_005228140	1 to 1	SSD	WP_002913626.1	1 to 1	RBB	WP_003412332.1	1 to 1	SSD	WP_002913626.1	1 to 1	SSD	WP_002913626.1	1 to 1	SSD	WP_012540936.1	1 to 1	SSD	WP_002913626.1
16130350	b2425	NP_416920.1	thiosulfate-binding protein	1 to 1	SSD	YP_005228141	1 to 1	SSD	WP_002913628.1	1 to 2	RBB	WP_003412335.1	1 to 1	SSD	WP_002913628.1	1 to 1	SSD	WP_002913628.1	1 to 1	SSD	WP_012540935.1	1 to 1	SSD	WP_015958782.1
90111431	b2426	NP_416921.4	predicted short-chain oxidoreductase	0	N/A		0	N/A		1 to 1	RBB	WP_003406963.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130352	b2427	NP_416922.1	Repressor for murPQ, MurNAc 6-P inducible	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130353	b2428	NP_416923.1	N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase	1 to 1	Non-SSD	YP_005229512	1 to 1	Non-SSD	WP_002923109.1	0	N/A		1 to 1	Non-SSD	WP_002923109.1	1 to 1	Non-SSD	WP_002923109.1	1 to 1	Non-SSD	WP_008806780.1	1 to 1	Non-SSD	WP_002923109.1
16130354	b2429	NP_416924.1	N-acetylmuramic acid permease, EIIBC component, PTS system	1 to 1	SSD	YP_005229513	1 to 1	SSD	WP_002923111.1	0	N/A		1 to 1	SSD	WP_002923111.1	1 to 1	SSD	WP_002923111.1	1 to 1	SSD	WP_008806779.1	1 to 1	SSD	WP_002923111.1
90111432	b2430	NP_416925.2	weak penicillin binding protein PBP4B, predicted periplasmic esterase	0	N/A		0	N/A		2 to 1	RBB	WP_003898432.1;WP_003409667.1	0	N/A		0	N/A		0	N/A		0	N/A	
90111433	b2431	NP_416926.4	deferrrochelatase, cytoplasmic	1 to 1	SSD	YP_005228144	1 to 1	SSD	WP_004145614.1	1 to 1	RBB	WP_003914122.1	1 to 1	SSD	WP_004145614.1	1 to 1	SSD	WP_004145614.1	1 to 1	SSD	WP_008803864.1	1 to 1	SSD	WP_004145614.1
16130357	b2432	NP_416927.1	RpoE-regulated lipoprotein	1 to 1	SSD	YP_005228145	1 to 1	SSD	WP_002913630.1	0	N/A		1 to 1	SSD	WP_014907137.1	1 to 1	SSD	WP_014907137.1	1 to 1	SSD	WP_012540933.1	1 to 1	SSD	WP_002913630.1
90111434	b2433	NP_416928.4	inner membrane protein	1 to 1	SSD	YP_005228146	1 to 1	SSD	WP_002913635.1	0	N/A		1 to 1	SSD	WP_002913635.1	1 to 1	SSD	WP_002913635.1	1 to 1	SSD	WP_012540932.1	1 to 1	SSD	WP_002913635.1
90111435	b2434	NP_416929.4	predicted acyltransferase with acyl-CoA N-acyltransferase domain	1 to 1	SSD	YP_005228147	1 to 1	SSD	WP_002913637.1	0	N/A		1 to 1	SSD	WP_002913637.1	1 to 1	SSD	WP_002913637.1	1 to 1	SSD	WP_002913637.1	1 to 1	SSD	WP_002913637.1
16130360	b2435	NP_416930.1	N-acetylmuramoyl-l-alanine amidase I	1 to 1	SSD	YP_005228148	1 to 1	SSD	WP_002913639.1	1 to 2	RBB	WP_003400168.1	1 to 1	SSD	WP_002913639.1	1 to 1	SSD	WP_002913639.1	1 to 1	SSD	WP_008803861.1	1 to 1	SSD	WP_002913639.1
16130361	b2436	NP_416931.1	coproporphyrinogen III oxidase	1 to 1	SSD	YP_005228149	1 to 1	SSD	WP_004145617.1	0	N/A		1 to 1	SSD	WP_014907136.1	1 to 1	SSD	WP_014907136.1	1 to 1	SSD	WP_012540931.1	1 to 1	SSD	WP_004145617.1
16130362	b2437	NP_416932.1	eut operon transcriptional activator, AraC family	1 to 1	RBB	YP_005228150	1 to 1	RBB	WP_002913642.1	0	N/A		1 to 1	RBB	WP_002913642.1	1 to 1	RBB	WP_002913642.1	1 to 1	RBB	WP_012540930.1	1 to 1	RBB	WP_002913642.1
90111436	b2438	NP_416933.4	predicted carboxysome structural protein with predicted role in ethanolamine utilization	1 to 1	RBB	YP_005228151	1 to 1	RBB	WP_004151997.1	0	N/A		1 to 1	RBB	WP_004213215.1	1 to 1	RBB	WP_004213215.1	1 to 1	RBB	WP_008803858.1	1 to 1	RBB	WP_004151997.1
16130364	b2439	NP_416934.1	predicted carboxysome structural protein with predicted role in ethanolamine utilization	1 to 1	RBB	YP_005228152	1 to 1	RBB	WP_004174905.1	0	N/A		1 to 1	RBB	WP_004174905.1	1 to 1	RBB	WP_004174905.1	1 to 1	RBB	WP_008803857.1	1 to 1	RBB	WP_004174905.1
16130365	b2440	NP_416935.1	ethanolamine ammonia-lyase, small subunit (light chain)	1 to 1	RBB	YP_005228153	1 to 1	RBB	WP_004174901.1	0	N/A		1 to 1	RBB	WP_004174901.1	1 to 1	RBB	WP_004174901.1	1 to 1	RBB	WP_012540929.1	1 to 1	RBB	WP_004174901.1
90111437	b2441	NP_416936.4	ethanolamine ammonia-lyase, large subunit, heavy chain	1 to 1	RBB	YP_005228154	1 to 1	RBB	WP_004152001.1	0	N/A		1 to 1	RBB	WP_004152001.1	1 to 1	RBB	WP_004152001.1	1 to 1	RBB	WP_012540928.1	1 to 1	RBB	WP_004152001.1
145698295	b2442	NP_416937.2	CPZ-55 prophage; predicted integrase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130368	b2443	NP_416938.1	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130369	b2444	NP_416939.1	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698296	b2445	NP_416940.2	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130371	b2446	NP_416941.1	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130372	b2447	NP_416942.1	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698297	b2448	NP_416943.2	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130374	b2449	NP_416944.1	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698298	b2450	NP_416945.2	CPZ-55 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130376	b2451	NP_416946.1	reactivating factor for ethanolamine ammonia lyase	1 to 1	RBB	YP_005228155	1 to 1	RBB	WP_004213212.1	0	N/A		1 to 1	RBB	WP_014907135.1	1 to 1	RBB	WP_014907135.1	1 to 1	RBB	WP_012540927.1	1 to 1	RBB	WP_004213212.1
16130377	b2452	NP_416947.1	ethanolamine transporter	1 to 1	SSD	YP_005228156	1 to 1	SSD	WP_004149260.1	0	N/A		1 to 1	SSD	WP_004149260.1	1 to 1	SSD	WP_004149260.1	1 to 1	SSD	WP_008803853.1	1 to 1	SSD	WP_004149260.1
90111438	b2453	NP_416948.4	ethanol dehydrogenase involved in ethanolamine utilization; aldehyde reductase, converts acetaldehyde to ethanol	1 to 1	RBB	YP_005228157	1 to 1	RBB	WP_004899751.1	0	N/A		1 to 1	RBB	WP_004185054.1	1 to 1	RBB	WP_004185054.1	1 to 1	RBB	WP_012540926.1	1 to 1	RBB	WP_004899751.1
16130379	b2454	NP_416949.1	predicted chaperonin, ethanolamine utilization protein	1 to 1	RBB	YP_005228158	1 to 1	RBB	WP_004180842.1	0	N/A		1 to 1	RBB	WP_014907133.1	1 to 1	RBB	WP_014907133.1	1 to 1	RBB	WP_008803851.1	1 to 1	RBB	WP_004180842.1
16130380	b2455	NP_416950.1	aldehyde oxidoreductase, ethanolamine utilization protein	1 to 1	RBB	YP_005228159	1 to 1	RBB	WP_004899754.1	0	N/A		1 to 1	RBB	WP_004152003.1	1 to 1	RBB	WP_004152003.1	1 to 1	RBB	WP_012540925.1	1 to 1	RBB	WP_015958783.1
16130381	b2456	NP_416951.1	Ethanolamine catabolic microcompartment shell protein	1 to 1	RBB	YP_005228160	1 to 1	RBB	WP_002913719.1	0	N/A		1 to 1	RBB	WP_002913719.1	1 to 1	RBB	WP_002913719.1	1 to 1	RBB	WP_012540924.1	1 to 1	RBB	WP_002913719.1
90111439	b2457	NP_416952.2	predicted carboxysome structural protein, ethanolamine utilization protein	1 to 1	RBB	YP_005228161	1 to 1	RBB	WP_000387720.1	0	N/A		2 to 1	RBB	WP_002915806.1;WP_002915737.1	1 to 1	RBB	WP_000387720.1	1 to 1	RBB	WP_000387720.1	1 to 1	RBB	WP_000387720.1
16130383	b2458	NP_416953.1	acetyl phosphotransacylase	1 to 1	RBB	YP_005228162	1 to 1	RBB	WP_004890481.1	0	N/A		1 to 1	RBB	WP_004185055.1	1 to 1	RBB	WP_004185055.1	1 to 1	RBB	WP_012540923.1	1 to 1	RBB	WP_004213203.1
16130384	b2459	NP_416954.1	cobalamin adenosyltransferase involved in ethanolamine utilization	1 to 1	RBB	YP_005228163	1 to 1	RBB	WP_004899759.1	0	N/A		1 to 1	RBB	WP_002913723.1	1 to 1	RBB	WP_002913723.1	1 to 1	RBB	WP_012540922.1	1 to 1	RBB	WP_015958784.1
16130385	b2460	NP_416955.1	conserved protein	1 to 1	RBB	YP_005228164	1 to 1	RBB	WP_004185056.1	0	N/A		1 to 1	RBB	WP_002913725.1	1 to 1	RBB	WP_002913725.1	1 to 1	RBB	WP_012540921.1	1 to 1	RBB	WP_015958785.1
16130386	b2461	NP_416956.1	conserved protein with nucleoside triphosphate hydrolase domain	1 to 1	RBB	YP_005228165	1 to 1	RBB	WP_002913727.1	0	N/A		1 to 1	RBB	WP_014907132.1	1 to 1	RBB	WP_014907132.1	1 to 1	RBB	WP_012540920.1	1 to 1	RBB	WP_002913727.1
90111440	b2462	NP_416957.4	predicted carboxysome structural protein with predicted role in ethanol utilization	1 to 1	RBB	YP_005228166	1 to 1	RBB	WP_002913729.1	0	N/A		1 to 1	RBB	WP_002913729.1	1 to 1	RBB	WP_002913729.1	1 to 1	RBB	WP_012540919.1	1 to 1	RBB	WP_002913729.1
16130388	b2463	NP_416958.1	fused malic enzyme predicted oxidoreductase/predicted phosphotransacetylase	1 to 1	SSD	YP_005228167	1 to 1	SSD	WP_002913731.1	0	N/A		1 to 1	SSD	WP_014907131.1	1 to 1	SSD	WP_002913731.1	1 to 1	SSD	WP_008803844.1	1 to 1	SSD	WP_002913731.1
16130389	b2464	NP_416959.1	transaldolase A	1 to 1	SSD	YP_005228168	1 to 1	SSD	WP_004174884.1	1 to 2	RBB	WP_003912809.1	1 to 1	SSD	WP_004174884.1	1 to 1	SSD	WP_004174884.1	1 to 1	SSD	WP_008803843.1	1 to 1	SSD	WP_004174884.1
16130390	b2465	NP_416960.1	transketolase 2, thiamin-binding	1 to 1	RBB	YP_005228169	1 to 1	RBB	WP_004899767.1	1 to 2	RBB	WP_003916819.1	1 to 1	RBB	WP_014907130.1	1 to 1	RBB	WP_014907130.1	1 to 1	RBB	WP_012540918.1	1 to 1	RBB	WP_004149269.1
16130391	b2466	NP_416961.1	predicted protein	1 to 1	RBB	YP_005228170	1 to 1	RBB	WP_004899770.1	0	N/A		1 to 1	RBB	WP_014907129.1	1 to 1	RBB	WP_014907129.1	1 to 1	RBB	WP_012540917.1	1 to 1	RBB	WP_009309515.1
16130392	b2467	NP_416962.1	GDP-mannose pyrophosphatase	1 to 1	SSD	YP_005228172	1 to 1	SSD	WP_002913754.1	0	N/A		1 to 1	SSD	WP_002913754.1	1 to 1	SSD	WP_002913754.1	1 to 1	SSD	WP_002913754.1	1 to 1	SSD	WP_002913754.1
16130393	b2468	NP_416963.1	fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit	1 to 1	RBB	YP_005228173	1 to 1	RBB	WP_004899775.1	1 to 3	RBB	WP_003899732.1	1 to 1	RBB	WP_014907128.1	1 to 1	RBB	WP_014907128.1	1 to 1	RBB	WP_008803840.1	1 to 1	RBB	WP_004145639.1
16130394	b2469	NP_416964.1	sensory histidine kinase in two-component regulatory system with NarP (NarL)	0	N/A		0	N/A		2 to 2	RBB	WP_003899933.1;WP_003899138.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130395	b2470	NP_416965.1	aminoglycoside/multidrug efflux system	1 to 1	RBB	YP_005228174	1 to 1	RBB	WP_004899778.1	0	N/A		1 to 1	RBB	WP_004174879.1	1 to 1	RBB	WP_004174879.1	1 to 1	RBB	WP_012540915.1	1 to 1	RBB	WP_015958788.1
