Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession
397673476	RVBD_1622c	WP_003408024.1	cytochrome d ubiquinol oxidase, subunit II	1 to 2	RBB	WP_014568875.1;WP_014569980.1	1 to 1	RBB	WP_005843399.1	0	N/A		0	N/A	
397673477	RVBD_1623c	WP_003408027.1	cytochrome bd-I oxidase subunit I	1 to 1	RBB	WP_005684670.1	1 to 1	RBB	WP_005843401.1	0	N/A		0	N/A	
397673478	RVBD_1624c	WP_003917501.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673479	RVBD_1625c	WP_003408035.1	adenylate cyclase	0	N/A		0	N/A		0	N/A		0	N/A	
397673480	RVBD_1626	WP_003408045.1	response regulator NasT	0	N/A		0	N/A		1 to 2	RBB	WP_012738773.1;WP_012739068.1	1 to 2	RBB	WP_012742305.1;WP_012742828.1
397673481	RVBD_1627c	WP_003901210.1	nonspecific lipid-transfer protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673482	RVBD_1628c	WP_003408058.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673483	RVBD_1629	WP_003408063.1	DNA polymerase I	1 to 1	RBB	WP_014569731.1	1 to 1	RBB	WP_011965088.1	1 to 1	RBB	WP_012739308.1	1 to 1	RBB	WP_012742403.1
397673484	RVBD_1630	WP_003408066.1	30S ribosomal protein S1	1 to 1	RBB	WP_005686432.1	1 to 1	RBB	WP_005847297.1	1 to 1	RBB	WP_022098514.1	1 to 1	RBB	WP_012742480.1
397673485	RVBD_1631	WP_003408069.1	dephospho-CoA kinase	1 to 1	RBB	WP_014569729.1	1 to 1	RBB	WP_012055912.1	1 to 1	RBB	WP_012739307.1	1 to 1	RBB	WP_012742404.1
397673486	RVBD_1632c	WP_003898953.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673487	RVBD_1633	WP_003911575.1	UvrABC system protein B	1 to 1	SSD	WP_005688715.1	1 to 1	RBB	WP_005846639.1	1 to 1	RBB	WP_041688279.1	1 to 1	RBB	WP_012743546.1
397673488	RVBD_1634	WP_003898954.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673490	RVBD_1635A	YP_006515025	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673489	RVBD_1635c	WP_015456282.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673491	RVBD_1636	WP_003408085.1	universal stress protein	1 to 1	RBB	WP_014569985.1	0	N/A		0	N/A		0	N/A	
397673492	RVBD_1637c	WP_003408088.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673493	RVBD_1638	WP_003408092.1	UvrABC system protein A	1 to 1	SSD	WP_014569369.1	1 to 1	RBB	WP_012055521.1	1 to 1	RBB	WP_041688794.1	1 to 1	RBB	WP_012743545.1
397673494	RVBD_1638A	WP_003408096.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673495	RVBD_1639c	WP_003408099.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673496	RVBD_1640c	WP_003918287.1	lysylphosphatidylglycerol biosynthesis LysX	2 to 1	RBB	WP_005714093.1	2 to 1	RBB	WP_012056015.1	2 to 1	RBB	WP_012739895.1	2 to 1	RBB	WP_012740992.1
561108343	RVBD_1641	WP_003408104.1	translation initiation factor IF-3	1 to 1	RBB	WP_024305638.1	1 to 1	RBB	WP_005847112.1	0	N/A		1 to 1	RBB	WP_012742792.1
397673498	RVBD_1642	WP_003408106.1	50S ribosomal protein L35	1 to 1	RBB	WP_003565872.1	0	N/A		0	N/A		1 to 1	RBB	WP_012742791.1
397673499	RVBD_1643	WP_003408108.1	50S ribosomal protein L20	1 to 1	RBB	WP_005684470.1	1 to 1	RBB	WP_005847114.1	0	N/A		1 to 1	RBB	WP_012742790.1
397673500	RVBD_1644	WP_003911576.1	TrmH family RNA methyltransferase	1 to 1	RBB	WP_014569719.1	0	N/A		1 to 1	RBB	WP_041688243.1	1 to 1	RBB	WP_012741922.1
397673501	RVBD_1645c	WP_003408141.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673502	RVBD_1646	WP_003900384.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673503	RVBD_1647	WP_031682437.1	adenylate cyclase	0	N/A		0	N/A		0	N/A		0	N/A	
397673504	RVBD_1648	WP_003408145.1	transmembrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673505	RVBD_1649	WP_003898958.1	phenylalanyl-tRNA synthetase subunit alpha	1 to 1	SSD	WP_005684432.1	1 to 1	RBB	WP_005846037.1	1 to 1	RBB	WP_022099095.1	1 to 1	SSD	WP_012742823.1
397673506	RVBD_1650	WP_003901220.1	phenylalanyl-tRNA synthetase subunit beta	1 to 1	RBB	WP_005684431.1	1 to 1	RBB	WP_005852670.1	1 to 1	RBB	WP_012739572.1	1 to 1	RBB	WP_012742822.1
397673507	RVBD_1651c	WP_010886125.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673508	RVBD_1652	WP_003898960.1	N-acetyl-gamma-glutamyl-phosphate reductase	0	N/A		1 to 1	RBB	WP_011964820.1	1 to 1	RBB	WP_012738842.1	1 to 1	SSD	WP_015516289.1
397673509	RVBD_1653	WP_003408160.1	arginine biosynthesis ArgJ	0	N/A		0	N/A		1 to 1	RBB	WP_012738843.1	1 to 1	RBB	WP_012742039.1
397673510	RVBD_1654	WP_003408161.1	acetylglutamate kinase	0	N/A		1 to 1	RBB	WP_011965143.1	1 to 1	RBB	WP_041688480.1	1 to 1	RBB	WP_012742452.1
397673511	RVBD_1655	WP_003408163.1	acetylornithine aminotransferase	0	N/A		1 to 1	RBB	WP_011964819.1	1 to 1	RBB	WP_041687978.1	1 to 2	RBB	WP_012741023.1;WP_041254562.1
397673512	RVBD_1656	WP_003408165.1	ornithine carbamoyltransferase	0	N/A		0	N/A		1 to 1	RBB	WP_012739901.1	1 to 1	SSD	WP_012740986.1
397673513	RVBD_1657	WP_003408178.1	arginine repressor	1 to 1	RBB	WP_005711510.1	1 to 1	RBB	WP_005841035.1	1 to 1	RBB	WP_012739316.1	1 to 1	RBB	WP_041254113.1
397673514	RVBD_1658	WP_003408179.1	argininosuccinate synthase	1 to 1	SSD	WP_005685012.1	1 to 1	RBB	WP_005850744.1	1 to 1	RBB	WP_012738841.1	1 to 1	SSD	WP_012742449.1
397673515	RVBD_1659	WP_003408180.1	argininosuccinate lyase	1 to 1	SSD	WP_005685013.1	1 to 1	RBB	WP_011964922.1	1 to 1	RBB	WP_012739450.1	1 to 1	SSD	WP_012742990.1
397673516	RVBD_1660	WP_003408181.1	chalcone synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397673517	RVBD_1661	WP_003900387.1	polyketide synthase 7	0	N/A		0	N/A		0	N/A		0	N/A	
397673518	RVBD_1662	WP_003911579.1	polyketide synthase 8	0	N/A		5 to 1	RBB	WP_005843113.1	0	N/A		5 to 1	RBB	WP_012743900.1
397673519	RVBD_1663	WP_003408184.1	polyketide synthase 17	0	N/A		0	N/A		0	N/A		0	N/A	
397673520	RVBD_1664	WP_003900389.1	polyketide synthase pks9	0	N/A		0	N/A		0	N/A		5 to 1	RBB	WP_012743900.1
397673521	RVBD_1665	WP_003408248.1	chalcone synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397673522	RVBD_1666c	WP_003898964.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673523	RVBD_1667c	YP_006515058	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673524	RVBD_1668c	YP_006515059	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673525	RVBD_1669	WP_003901232.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673526	RVBD_1670	WP_003408261.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673527	RVBD_1671	WP_003408263.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673528	RVBD_1672c	WP_003408264.1	hypothetical protein	1 to 1	RBB	WP_014569101.1	0	N/A		0	N/A		0	N/A	
397673529	RVBD_1673c	WP_003408265.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673531	RVBD_1674A	YP_006515066	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673530	RVBD_1674c	WP_003408266.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397673532	RVBD_1675c	WP_003898967.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397673533	RVBD_1676	WP_003898968.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673534	RVBD_1677	WP_003408271.1	hypothetical protein	0	N/A		2 to 1	RBB	WP_011965407.1	0	N/A		0	N/A	
397673535	RVBD_1678	WP_003898970.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673536	RVBD_1679	WP_003408274.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673537	RVBD_1680	WP_003898971.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673538	RVBD_1681	WP_003898972.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673539	RVBD_1682	WP_003900391.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673540	RVBD_1683	WP_003917512.1	long chain acyl-CoA synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397673541	RVBD_1684	WP_003408362.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673542	RVBD_1685c	WP_003408366.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673543	RVBD_1686c	WP_003898974.1	DrrB family ABC transporter efflux protein	1 to 1	RBB	WP_014569391.1	0	N/A		0	N/A		0	N/A	
397673544	RVBD_1687c	WP_003898975.1	ABC-2 type transporter ATP-binding protein	1 to 1	RBB	WP_014569392.1	0	N/A		0	N/A		0	N/A	
397673545	RVBD_1688	WP_003408373.1	DNA-3-methyladenine glycosylase	1 to 1	RBB	WP_005687683.1	0	N/A		0	N/A		0	N/A	
397673546	RVBD_1689	WP_015456289.1	tyrosyl-tRNA synthetase	1 to 1	RBB	WP_014569840.1	1 to 1	RBB	WP_005843969.1	1 to 1	RBB	WP_041688109.1	1 to 1	RBB	WP_015517640.1
397673547	RVBD_1690	WP_003408378.1	lipoprotein LprJ	0	N/A		0	N/A		0	N/A		0	N/A	
397673548	RVBD_1691	WP_031647297.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673549	RVBD_1692	WP_003408380.1	HAD hydrolase, family IIA	1 to 1	RBB	WP_005714507.1	0	N/A		0	N/A		0	N/A	
397673550	RVBD_1693	WP_003408381.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673551	RVBD_1694	WP_003408382.1	hemolysin TlyA family protein	1 to 1	RBB	WP_005684387.1	0	N/A		1 to 1	RBB	WP_012739318.1	1 to 1	RBB	WP_012743043.1
397673552	RVBD_1695	WP_003408383.1	inorganic polyphosphate/ATP-NAD kinase	1 to 1	SSD	WP_014569339.1	1 to 1	RBB	WP_005840775.1	1 to 1	RBB	WP_012739317.1	1 to 1	RBB	WP_012743042.1
397673553	RVBD_1696	WP_003408385.1	DNA repair protein recN	1 to 1	RBB	WP_005684385.1	1 to 1	RBB	WP_005843444.1	1 to 1	RBB	WP_012739315.1	1 to 1	RBB	WP_012743040.1
397673554	RVBD_1697	WP_003408387.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673555	RVBD_1698	WP_003408390.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673556	RVBD_1699	WP_003408396.1	CTP synthase	1 to 1	SSD	WP_005686647.1	1 to 1	RBB	WP_005840023.1	1 to 1	RBB	WP_041688244.1	1 to 1	SSD	WP_012741593.1
397673557	RVBD_1700	WP_003408399.1	ADP-ribose pyrophosphatase	1 to 2	RBB	WP_005685597.1;WP_005687478.1	1 to 1	RBB	WP_005845078.1	1 to 1	RBB	WP_012739351.1	1 to 1	SSD	WP_012743058.1
397673558	RVBD_1701	WP_003408401.1	tyrosine recombinase XerD	0	N/A		2 to 1	RBB	WP_005844476.1	2 to 1	RBB	WP_041688082.1	2 to 1	RBB	WP_012743493.1
397673560	RVBD_1702Ac	YP_006515095	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673559	RVBD_1702c	WP_003898977.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673561	RVBD_1703c	WP_014848103.1	catechol O-methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397673562	RVBD_1704c	WP_009936386.1	AAT family amino acid transporter	1 to 1	RBB	WP_014569403.1	0	N/A		0	N/A		0	N/A	
397673563	RVBD_1705c	WP_003898979.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673566	RVBD_1706A	WP_003408420.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673564	RVBD_1706c	WP_003898980.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673565	RVBD_1706Xc	YP_006515100	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673567	RVBD_1707	WP_003898981.1	SulP family sulfate permease	0	N/A		1 to 1	RBB	WP_005844072.1	1 to 1	RBB	WP_041688387.1	0	N/A	
397673568	RVBD_1708	WP_003911586.1	chromosome partitioning protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673569	RVBD_1709	WP_003408432.1	segregation and condensation protein A	1 to 1	RBB	WP_005689268.1	0	N/A		1 to 1	RBB	WP_041688116.1	1 to 1	RBB	WP_012742465.1
397673570	RVBD_1710	WP_003408436.1	segregation and condensation protein B	1 to 1	SSD	WP_014569628.1	0	N/A		1 to 1	RBB	WP_022097430.1	1 to 1	RBB	WP_012742466.1
397673571	RVBD_1711	WP_003898983.1	pseudouridine synthase	1 to 1	RBB	WP_005686446.1	1 to 1	RBB	WP_011965244.1	1 to 1	RBB	WP_041688614.1	1 to 1	RBB	WP_041254035.1
397673572	RVBD_1712	WP_003408441.1	cytidylate kinase	1 to 1	RBB	WP_014569631.1	1 to 1	RBB	WP_005845849.1	1 to 1	RBB	WP_012739165.1	1 to 1	RBB	WP_012742478.1
397673573	RVBD_1713	WP_003898984.1	GTPase Der	1 to 1	RBB	WP_005686431.1	1 to 1	RBB	WP_005840228.1	1 to 1	RBB	WP_012739276.1	1 to 1	RBB	WP_012743121.1
397673574	RVBD_1714	WP_003408444.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397673575	RVBD_1715	WP_003898985.1	3-hydroxybutyryl-CoA dehydrogenase	0	N/A		0	N/A		3 to 1	RBB	WP_041688235.1	0	N/A	
397673576	RVBD_1716	WP_003916848.1	arylformamidase	0	N/A		0	N/A		0	N/A		0	N/A	
397673577	RVBD_1717	WP_003898986.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673578	RVBD_1718	WP_003408456.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673579	RVBD_1719	WP_003408460.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397673580	RVBD_1719A	YP_006515115	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673581	RVBD_1720c	WP_003408465.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A	
397673582	RVBD_1721c	WP_003408469.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A	
397673583	RVBD_1722	WP_003915556.1	carboxylase	0	N/A		0	N/A		0	N/A		0	N/A	
397673584	RVBD_1723	WP_003408476.1	hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
397673585	RVBD_1724c	WP_003408483.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673586	RVBD_1725c	WP_003408486.1	hypothetical protein	1 to 1	RBB	WP_005684245.1	2 to 1	RBB	WP_005842561.1	1 to 1	RBB	WP_022097110.1	0	N/A	
397673587	RVBD_1726	WP_003900395.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397673588	RVBD_1727	WP_003408493.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673589	RVBD_1728c	WP_003898988.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673590	RVBD_1729c	WP_003408497.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673591	RVBD_1730c	WP_003408499.1	hypothetical protein	0	N/A		3 to 1	RBB	WP_005843072.1	4 to 1	RBB	WP_012738633.1	3 to 1	RBB	WP_012741575.1
397673592	RVBD_1731	WP_003898989.1	succinate-semialdehyde dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
397673593	RVBD_1732c	WP_003408503.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673595	RVBD_1733A	YP_006515130	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673594	RVBD_1733c	WP_003911592.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673596	RVBD_1734c	WP_003408509.1	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	0	N/A		0	N/A		0	N/A		0	N/A	
397673598	RVBD_1735Ac	WP_003408513.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
561108344	RVBD_1735c	WP_003898991.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673599	RVBD_1736c	WP_023637526.1	nitrate reductase-like protein narX	0	N/A		0	N/A		0	N/A		0	N/A	
397673600	RVBD_1737c	WP_003898992.1	MFS transporter, NNP family, nitrate/nitrite transporter	0	N/A		0	N/A		0	N/A		0	N/A	
397673601	RVBD_1738	WP_003408522.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673602	RVBD_1739c	WP_003916850.1	sulfate permease	0	N/A		0	N/A		1 to 1	RBB	WP_041688417.1	1 to 1	RBB	WP_012741185.1
397673603	RVBD_1740	WP_003408528.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A	
397673604	RVBD_1741	WP_003898996.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A	
397673605	RVBD_1742	WP_003898997.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673606	RVBD_1743	WP_003898998.1	serine/threonine-protein kinase pknE	0	N/A		0	N/A		0	N/A		0	N/A	
397673607	RVBD_1744c	WP_003408538.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673608	RVBD_1745c	WP_003898999.1	isopentenyl-diphosphate Delta-isomerase	0	N/A		1 to 1	RBB	WP_011964714.1	0	N/A		1 to 1	RBB	WP_041254458.1
397673609	RVBD_1746	WP_003899000.1	serine/threonine-protein kinase pknF	0	N/A		0	N/A		0	N/A		0	N/A	
397673610	RVBD_1747	WP_003408545.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673611	RVBD_1748	WP_003899001.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673612	RVBD_1749c	WP_003911630.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673613	RVBD_1750c	WP_003408558.1	fatty-acid-CoA ligase FadD1	0	N/A		0	N/A		0	N/A		0	N/A	
397673614	RVBD_1751	WP_003408560.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397673615	RVBD_1752	WP_003408562.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673616	RVBD_1753c	WP_010886126.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673617	RVBD_1754c	WP_003906670.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673618	RVBD_1755c	WP_003901245.1	phospholipase C 4	0	N/A		0	N/A		0	N/A		0	N/A	
397673619	RVBD_1756c	WP_003899492.1	transposase	16 to 1	RBB	WP_014569096.1	0	N/A		0	N/A		16 to 1	RBB	WP_041254642.1
397673620	RVBD_1757c	WP_003899493.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A	
397673621	RVBD_1758	WP_003917521.1	esterase/lipase	0	N/A		0	N/A		0	N/A		0	N/A	
397673622	RVBD_1759c	WP_010886128.1	WAG22 antigen	0	N/A		0	N/A		0	N/A		0	N/A	
397673623	RVBD_1760	WP_003911649.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A	
397673624	RVBD_1761c	WP_003899008.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673626	RVBD_1762Ac	YP_006515161	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673625	RVBD_1762c	WP_003899009.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673627	RVBD_1763	WP_003899493.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A	
397673628	RVBD_1764	WP_003899492.1	transposase	16 to 1	RBB	WP_014569096.1	0	N/A		0	N/A		16 to 1	RBB	WP_041254642.1
397673630	RVBD_1765A	WP_003408734.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673629	RVBD_1765c	WP_010886130.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673631	RVBD_1766	WP_003899012.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673632	RVBD_1767	WP_003408743.1	alkylhydroperoxidase AhpD family core domain-containing protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673633	RVBD_1768	WP_003905649.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673634	RVBD_1769	WP_003904700.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673635	RVBD_1770	WP_003911655.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673636	RVBD_1771	WP_014848107.1	FAD-linked oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397673637	RVBD_1772	WP_003899015.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673638	RVBD_1773c	WP_003408754.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673639	RVBD_1774	WP_003899017.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397673640	RVBD_1775	WP_003408760.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673641	RVBD_1776c	WP_003899018.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397673642	RVBD_1777	WP_003911660.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673643	RVBD_1778c	WP_003408775.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673644	RVBD_1779c	WP_003408781.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673645	RVBD_1780	WP_003408792.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673646	RVBD_1781c	WP_003408795.1	4-alpha-glucanotransferase	0	N/A		1 to 1	RBB	WP_011965164.1	1 to 1	RBB	WP_012738640.1	1 to 2	RBB	YP_002936465;WP_041254060.1
397673647	RVBD_1782	WP_003899021.1	ESX-5 secretion system protein eccB5	0	N/A		0	N/A		0	N/A		0	N/A	
397673648	RVBD_1784	YP_006515183	ESX-5 secretion system protein eccCa5	0	N/A		0	N/A		0	N/A		5 to 1	RBB	WP_041254435.1
397673649	RVBD_1785c	WP_003408802.1	cytochrome P450 143 cyp143	0	N/A		0	N/A		0	N/A		0	N/A	
397673650	RVBD_1786	WP_003408803.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397673651	RVBD_1787	WP_003901254.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673652	RVBD_1788	WP_003408976.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673653	RVBD_1789	WP_003408979.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673654	RVBD_1790	WP_003408805.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673655	RVBD_1791	WP_003408807.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673656	RVBD_1792	YP_006515191	ESAT-6-like protein esxK	0	N/A		0	N/A		0	N/A		0	N/A	
397673657	RVBD_1792A	WP_003905653.1	ESAT-6-like protein esxM	0	N/A		0	N/A		0	N/A		0	N/A	
397673658	RVBD_1793	WP_003408840.1	ESAT-6-like protein esxN	0	N/A		0	N/A		0	N/A		0	N/A	
397673659	RVBD_1794	WP_003408846.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673660	RVBD_1795	WP_003900411.1	ESX-5 secretion system protein eccD5	0	N/A		0	N/A		0	N/A		0	N/A	
397673661	RVBD_1796	WP_003408854.1	type VII secretion-associated serine protease mycosin	0	N/A		0	N/A		0	N/A		0	N/A	
397673662	RVBD_1797	WP_003408859.1	ESX-5 secretion system protein EccE5	0	N/A		0	N/A		0	N/A		0	N/A	
397673663	RVBD_1798	WP_003408868.1	ESX-5 secretion system protein EccA5	0	N/A		0	N/A		4 to 1	RBB	WP_012738622.1	0	N/A	
397673664	RVBD_1799	WP_003899024.1	lipoprotein LppT	0	N/A		0	N/A		0	N/A		0	N/A	
397673665	RVBD_1800	WP_003901256.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673666	RVBD_1801	WP_003899026.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673667	RVBD_1802	WP_003409061.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673668	RVBD_1803c	WP_003899028.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673669	RVBD_1804c	WP_003409065.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673670	RVBD_1805c	WP_003902196.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673671	RVBD_1806	WP_003900412.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673672	RVBD_1807	WP_003916893.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673673	RVBD_1808	WP_003899029.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673674	RVBD_1809	WP_003911666.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673675	RVBD_1810	WP_015288168.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673676	RVBD_1811	WP_003899032.1	Mg2+ transporter-C (MgtC) family protein	1 to 1	RBB	WP_014569223.1	1 to 1	RBB	WP_007835476.1	0	N/A		0	N/A	
397673677	RVBD_1812c	WP_003916895.1	NADH dehydrogenase-like protein	0	N/A		0	N/A		0	N/A		0	N/A	
