Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130617	b2710	NP_417190.1	anaerobic nitric oxide reductase flavorubredoxin	170532	Mycobacterium tuberculosis H37Rv	397675191	RVBD_3250c	WP_003417044.1	rubredoxin-2				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	345452722	b2714	NP_417194.2	DNA-binding transcriptional repressor	170532	Mycobacterium tuberculosis H37Rv	397675530	RVBD_3575c	WP_003419400.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130626	b2719	NP_417199.1	hydrogenase 3 and formate hydrogenase complex, HycG subunit	170532	Mycobacterium tuberculosis H37Rv	397671865	RVBD_0082	WP_003400658.1	oxidoreductase	1	b2489[hydrogenase 4, Fe-S subunit]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130628	b2721	NP_417201.1	hydrogenase 3, large subunit	170532	Mycobacterium tuberculosis H37Rv	397671870	RVBD_0087	WP_003400663.1	oxidoreductase	1	b2487[hydrogenase 4, subunit]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130629	b2722	NP_417202.1	hydrogenase 3, membrane subunit	170532	Mycobacterium tuberculosis H37Rv	397671867	RVBD_0084	WP_003900802.1	formate hydrogenlyase hycD	1	b2483[hydrogenase 4, membrane subunit]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130630	b2723	NP_417203.1	hydrogenase 3, membrane subunit	170532	Mycobacterium tuberculosis H37Rv	397671866	RVBD_0083	WP_003907280.1	oxidoreductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130634	b2727	NP_417207.1	GTP hydrolase involved in nickel liganding into hydrogenases	170532	Mycobacterium tuberculosis H37Rv	397674773	RVBD_2856B	WP_003414566.1	hydrogenase nickel incorporation protein HypB				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130643	b2736	NP_417216.1	predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain	170532	Mycobacterium tuberculosis H37Rv	397672562	RVBD_0751c	WP_003403844.1	3-hydroxyisobutyrate dehydrogenase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130649	b2742	NP_417222.1	activator of AmiC murein hydrolase activity, lipoprotein	170532	Mycobacterium tuberculosis H37Rv	397672772	RVBD_0950c	WP_003404862.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130653	b2746	NP_417226.1	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	170532	Mycobacterium tuberculosis H37Rv	397675536	RVBD_3581c	WP_003419432.1	2-C-methyl-D-erythritol 2,4-cyclo diphosphate synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130654	b2747	NP_417227.1	4-diphosphocytidyl-2C-methyl-D-erythritol synthase	170532	Mycobacterium tuberculosis H37Rv	397675537	RVBD_3582c	WP_003419436.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130658	b2751	NP_417231.1	sulfate adenylyltransferase, subunit 1	170532	Mycobacterium tuberculosis H37Rv	397673126	RVBD_1286	WP_003406621.1	bifunctional enzyme CysN/CysC				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130659	b2752	NP_417232.1	sulfate adenylyltransferase, subunit 2	170532	Mycobacterium tuberculosis H37Rv	397673125	RVBD_1285	WP_003911471.1	sulfate adenylyltransferase subunit 2				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130660	b2753	NP_417233.1	aminopeptidase in alkaline phosphatase isozyme conversion	170532	Mycobacterium tuberculosis H37Rv	397672209	RVBD_0418	WP_003402133.1	aminopeptidase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130669	b2762	NP_417242.1	3'-phosphoadenosine 5'-phosphosulfate reductase	170532	Mycobacterium tuberculosis H37Rv	397674292	RVBD_2392	WP_003412303.1	phosphoadenosine phosphosulfate reductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130670	b2763	NP_417243.1	sulfite reductase, beta subunit, NAD(P)-binding, heme-binding	170532	Mycobacterium tuberculosis H37Rv	397674291	RVBD_2391	WP_003412298.1	sulfite reductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	49176267	b4463	YP_026183.1	predicted FAD containing dehydrogenase	170532	Mycobacterium tuberculosis H37Rv	397674139	RVBD_2251	WP_003905793.1	alkyl-dihydroxyacetonephosphate synthase	1		RVBD_3107c[alkyl-dihydroxyacetonephosphate synthase]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	49176267	b4463	YP_026183.1	predicted FAD containing dehydrogenase	170532	Mycobacterium tuberculosis H37Rv	397675035	RVBD_3107c	WP_003899914.1	alkyl-dihydroxyacetonephosphate synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130686	b2779	NP_417259.1	enolase	170532	Mycobacterium tuberculosis H37Rv	397672849	RVBD_1023	WP_003898693.1	enolase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130687	b2780	NP_417260.1	CTP synthetase	170532	Mycobacterium tuberculosis H37Rv	397673556	RVBD_1699	WP_003408396.1	CTP synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130688	b2781	NP_417261.1	nucleoside triphosphate pyrophosphohydrolase	170532	Mycobacterium tuberculosis H37Rv	397672847	RVBD_1021	WP_003405276.1	nucleoside triphosphate pyrophosphohydrolase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130689	b2782	NP_417262.1	mRNA interferase toxin, antitoxin is MazE	170532	Mycobacterium tuberculosis H37Rv	397672249	RVBD_0456A	WP_003402288.1	toxin				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130689	b2782	NP_417262.1	mRNA interferase toxin, antitoxin is MazE	170532	Mycobacterium tuberculosis H37Rv	397674712	RVBD_2801c	WP_003414166.1	toxin	1		RVBD_0456A[toxin]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130692	b2785	NP_417265.1	23S rRNA m(5)U1939 methyltransferase, SAM-dependent	170532	Mycobacterium tuberculosis H37Rv	397674598	RVBD_2689c	WP_003900550.1	methyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130704	b2797	NP_417277.1	L-serine deaminase II	170532	Mycobacterium tuberculosis H37Rv	397671850	RVBD_0069c	WP_003400600.1	L-serine dehydratase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130707	b2800	NP_417280.1	L-fuculose-1-phosphate aldolase	170532	Mycobacterium tuberculosis H37Rv	397672536	RVBD_0727c	WP_003911249.1	L-ribulose-5-phosphate 4-epimerase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130718	b2811	NP_417291.1	CsdA-binding activator; Fe-S protein	170532	Mycobacterium tuberculosis H37Rv	397675226	RVBD_3284	WP_003417152.1	cysteine desulfuration protein SufE				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130719	b2812	NP_417292.1	sulfur acceptor for CsdA	170532	Mycobacterium tuberculosis H37Rv	397674237	RVBD_2338c	WP_003412005.1	molybdopterin biosynthesis protein MoeW				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111492	b2817	NP_417294.4	N-acetylmuramoyl-L-alanine amidase	170532	Mycobacterium tuberculosis H37Rv	397675880	RVBD_3915	WP_003400168.1	hydrolase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130723	b2819	NP_417296.1	exonuclease V (RecBCD complex), alpha chain	170532	Mycobacterium tuberculosis H37Rv	397672433	RVBD_0629c	WP_003900979.1	exodeoxyribonuclease V subunit alpha				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130724	b2820	NP_417297.1	exonuclease V (RecBCD complex), beta subunit	170532	Mycobacterium tuberculosis H37Rv	397672434	RVBD_0630c	WP_003905355.1	exodeoxyribonuclease V subunit beta				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130726	b2822	NP_417299.1	exonuclease V (RecBCD complex), gamma chain	170532	Mycobacterium tuberculosis H37Rv	397672435	RVBD_0631c	WP_003900193.1	exodeoxyribonuclease V subunit gamma				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130731	b2827	NP_417304.1	thymidylate synthetase	170532	Mycobacterium tuberculosis H37Rv	397674674	RVBD_2764c	WP_003911953.1	thymidylate synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130732	b2828	NP_417305.1	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase	170532	Mycobacterium tuberculosis H37Rv	397673468	RVBD_1614	WP_003408002.1	prolipoprotein diacylglyceryl transferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130741	b2837	NP_417314.1	DNA-binding transcriptional repressor	170532	Mycobacterium tuberculosis H37Rv	397675530	RVBD_3575c	WP_003419400.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130742	b2838	NP_417315.1	diaminopimelate decarboxylase, PLP-binding	170532	Mycobacterium tuberculosis H37Rv	397673134	RVBD_1293	WP_003406632.1	diaminopimelate decarboxylase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130745	b2841	NP_417318.1	arabinose transporter	170532	Mycobacterium tuberculosis H37Rv	397675276	RVBD_3331	WP_003912183.1	sugar porter (SP) family MFS transporter				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111494	b2844	NP_417321.2	predicted acyltransferase	170532	Mycobacterium tuberculosis H37Rv	397673166	RVBD_1323	WP_023637385.1	acetyl-CoA C-acetyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130768	b2866	NP_417342.1	xanthine dehydrogenase, molybdenum binding subunit	170532	Mycobacterium tuberculosis H37Rv	397672164	RVBD_0373c	WP_003900133.1	carbon-monoxide dehydrogenase, large subunit	1	b2881[probable hypoxanthine oxidase, molybdopterin-binding/Fe-S binding]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130769	b2867	NP_417343.1	xanthine dehydrogenase, FAD-binding subunit	170532	Mycobacterium tuberculosis H37Rv	561108327	RVBD_0375c	WP_003898419.1	carbon-monoxide dehydrogenase medium subunit				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130774	b2872	NP_417348.1	predicted peptidase	170532	Mycobacterium tuberculosis H37Rv	397673042	RVBD_1202	WP_003406235.1	succinyl-diaminopimelate desuccinylase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111504	b2873	NP_417349.4	D-stereospecific phenylhydantoinase	170532	Mycobacterium tuberculosis H37Rv	397673226	RVBD_1381	WP_003407204.1	dihydroorotase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130777	b2875	NP_417351.1	conserved protein with NAD(P)-binding Rossman fold	170532	Mycobacterium tuberculosis H37Rv	397672167	RVBD_0376c	WP_003401873.1	xanthine dehydrogenase accessory factor				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130783	b2881	NP_417357.1	probable hypoxanthine oxidase, molybdopterin-binding/Fe-S binding	170532	Mycobacterium tuberculosis H37Rv	397672164	RVBD_0373c	WP_003900133.1	carbon-monoxide dehydrogenase, large subunit				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130785	b2883	NP_417359.1	guanine deaminase	170532	Mycobacterium tuberculosis H37Rv	397673929	RVBD_2052c	WP_003410605.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111509	b2887	NP_417363.2	fused predicted oxidoreductase: Fe-S subunit/nucleotide-binding subunit	170532	Mycobacterium tuberculosis H37Rv	397675822	RVBD_3858c	WP_003899732.1	glutamate synthase NADH/NADPH small subunit				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130791	b2889	NP_417365.1	isopentenyl diphosphate isomerase	170532	Mycobacterium tuberculosis H37Rv	397673608	RVBD_1745c	WP_003898999.1	isopentenyl-diphosphate Delta-isomerase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130792	b2890	NP_417366.1	lysine tRNA synthetase, constitutive	170532	Mycobacterium tuberculosis H37Rv	397675553	RVBD_3598c	WP_003419514.1	lysyl-tRNA synthetase	1	b4129[lysine tRNA synthetase, inducible]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130793	b2891	NP_417367.1	peptide chain release factor RF-2	170532	Mycobacterium tuberculosis H37Rv	397675033	RVBD_3105c	WP_003416129.1	peptide chain release factor 2				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130796	b2894	NP_417370.1	site-specific tyrosine recombinase	170532	Mycobacterium tuberculosis H37Rv	397673558	RVBD_1701	WP_003408401.1	tyrosine recombinase XerD				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130801	b2899	NP_417375.1	inner membrane protein, hemolysin III family HylIII	170532	Mycobacterium tuberculosis H37Rv	397672917	RVBD_1085c	WP_003901993.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130805	b2903	NP_417379.1	glycine decarboxylase, PLP-dependent, subunit (protein P) of glycine cleavage complex	170532	Mycobacterium tuberculosis H37Rv	397673697	RVBD_1832	WP_003900418.1	glycine dehydrogenase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130806	b2904	NP_417380.1	glycine cleavage complex lipoylprotein	170532	Mycobacterium tuberculosis H37Rv	397673691	RVBD_1826	WP_003899040.1	glycine cleavage system H protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130807	b2905	NP_417381.1	aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex	170532	Mycobacterium tuberculosis H37Rv	397674096	RVBD_2211c	WP_003899219.1	aminomethyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	49176282	b2912	NP_417387.3	conserved protein, 5-formyltetrahydrofolate cyclo-ligase family	170532	Mycobacterium tuberculosis H37Rv	397672817	RVBD_0992c	WP_003901063.1	5-formyltetrahydrofolate cyclo-ligase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130814	b2913	NP_417388.1	D-3-phosphoglycerate dehydrogenase	170532	Mycobacterium tuberculosis H37Rv	397674917	RVBD_2996c	WP_003899578.1	D-3-phosphoglycerate dehydrogenase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130817	b2916	NP_417391.1	DNA-binding transcriptional activator, replication initiation inhibitor	170532	Mycobacterium tuberculosis H37Rv	397673859	RVBD_1985c	WP_003409986.1	ArgP family transcriptional regulator				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130818	b2917	NP_417392.1	methylmalonyl-CoA mutase	170532	Mycobacterium tuberculosis H37Rv	397673343	RVBD_1493	WP_003407587.1	methylmalonyl-CoA mutase domain-containing protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130819	b2918	NP_417393.1	membrane ATPase/protein kinase	170532	Mycobacterium tuberculosis H37Rv	397673346	RVBD_1496	WP_003407596.1	LAO/AO transporter ATPase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130823	b2922	NP_417397.1	oxidative stress defense protein	170532	Mycobacterium tuberculosis H37Rv	397675577	RVBD_3623	WP_003899606.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130824	b2923	NP_417398.1	arginine transporter	170532	Mycobacterium tuberculosis H37Rv	397673860	RVBD_1986	WP_003409989.1	L-lysine exporter	1		RVBD_0488[L-lysine exporter]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130824	b2923	NP_417398.1	arginine transporter	170532	Mycobacterium tuberculosis H37Rv	397672283	RVBD_0488	WP_003402377.1	L-lysine exporter				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130826	b2925	NP_417400.1	fructose-bisphosphate aldolase, class II	170532	Mycobacterium tuberculosis H37Rv	397672154	RVBD_0363c	WP_003401856.1	fructose-bisphosphate aldolase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130827	b2926	NP_417401.1	phosphoglycerate kinase	170532	Mycobacterium tuberculosis H37Rv	397673282	RVBD_1437	WP_003900339.1	phosphoglycerate kinase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130831	b2930	NP_417405.1	fructose 1,6 bisphosphatase isozyme	170532	Mycobacterium tuberculosis H37Rv	397672933	RVBD_1099c	WP_003405806.1	fructose-1,6-bisphosphatase class 2				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	49176286	b2935	YP_026188.1	transketolase 1, thiamin-binding	170532	Mycobacterium tuberculosis H37Rv	397673297	RVBD_1449c	WP_003916819.1	transketolase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130843	b2942	NP_417417.1	S-adenosylmethionine synthetase	170532	Mycobacterium tuberculosis H37Rv	397673237	RVBD_1392	WP_003900333.1	S-adenosylmethionine synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130844	b2943	NP_417418.1	D-galactose transporter	170532	Mycobacterium tuberculosis H37Rv	397675276	RVBD_3331	WP_003912183.1	sugar porter (SP) family MFS transporter	2	b2841[arabinose transporter];b4031[D-xylose transporter]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111516	b2948	NP_417423.4	predicted protein	170532	Mycobacterium tuberculosis H37Rv	397671818	RVBD_0038	WP_003901777.1	transcriptional regulator				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130852	b2951	NP_417426.1	predicted enzyme, binds pyridoxal 5'-phosphate	170532	Mycobacterium tuberculosis H37Rv	397674032	RVBD_2148c	WP_003900478.1	alanine racemase domain-containing protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130855	b2954	NP_417429.1	dITP/XTP pyrophosphatase	170532	Mycobacterium tuberculosis H37Rv	397673184	RVBD_1341	WP_003911498.1	nucleoside-triphosphatase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130856	b2955	NP_417430.1	predicted oxidoreductase, HemN family	170532	Mycobacterium tuberculosis H37Rv	397674288	RVBD_2388c	WP_003412290.1	oxygen-independent coproporphyrinogen III oxidase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130858	b2957	NP_417432.1	periplasmic L-asparaginase II	170532	Mycobacterium tuberculosis H37Rv	397673391	RVBD_1538c	WP_003407720.1	L-asparaginase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130861	b2960	NP_417435.1	tRNA m(7)G46 methyltransferase, SAM-dependent	170532	Mycobacterium tuberculosis H37Rv	397671995	RVBD_0208c	WP_003401204.1	tRNA (guanine-N(7)-)-methyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130862	b2961	NP_417436.1	adenine DNA glycosylase	170532	Mycobacterium tuberculosis H37Rv	397675544	RVBD_3589	WP_003419495.1	A/G-specific adenine glycosylase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111522	b2965	NP_417440.4	ornithine decarboxylase, constitutive	170532	Mycobacterium tuberculosis H37Rv	397674437	RVBD_2531c	WP_003899363.1	arginine decarboxylase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130876	b2976	NP_417450.1	malate synthase G	170532	Mycobacterium tuberculosis H37Rv	397673702	RVBD_1837c	WP_003409271.1	malate synthase G				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130879	b2979	NP_417453.1	glycolate oxidase subunit, FAD-linked	170532	Mycobacterium tuberculosis H37Rv	397673097	RVBD_1257c	WP_003406358.1	glycolate oxidase subunit GlcD				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130880	b2980	NP_417454.1	DNA-binding transcriptional dual regulator, glycolate-binding	170532	Mycobacterium tuberculosis H37Rv	397672290	RVBD_0494	WP_003898483.1	GntR family transcriptional regulator				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130887	b2987	NP_417461.1	phosphate transporter	170532	Mycobacterium tuberculosis H37Rv	397672343	RVBD_0545c	WP_003911224.1	PiT family inorganic phosphate transporter				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111527	b3012	NP_417485.4	2,5-diketo-D-gluconate reductase A	170532	Mycobacterium tuberculosis H37Rv	397674891	RVBD_2971	WP_003899563.1	oxidoreductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130914	b3018	NP_417490.1	1-acyl-sn-glycerol-3-phosphate acyltransferase	170532	Mycobacterium tuberculosis H37Rv	397674386	RVBD_2483c	WP_003899343.1	HAD hydrolase, family IB				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130916	b3020	NP_417492.1	predicted transporter subunit: periplasmic-binding component of ABC superfamily	170532	Mycobacterium tuberculosis H37Rv	397675617	RVBD_3666c	WP_003899629.1	peptide/nickel transporter substrate-binding protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130928	b3032	NP_417504.1	3',5' cAMP phosphodiesterase	170532	Mycobacterium tuberculosis H37Rv	397672619	RVBD_0805	WP_003404120.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130949	b3053	NP_417525.1	fused deadenylyltransferase/adenylyltransferase for glutamine synthetase	170532	Mycobacterium tuberculosis H37Rv	397674107	RVBD_2221c	WP_003411478.1	glutamate-ammonia-ligase adenylyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130952	b3056	NP_417528.1	fused tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase and phosphatase	170532	Mycobacterium tuberculosis H37Rv	397675872	RVBD_3907c	WP_003400120.1	tRNA adenylyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130953	b3057	NP_417529.1	undecaprenyl pyrophosphate phosphatase	170532	Mycobacterium tuberculosis H37Rv	397674018	RVBD_2136c	WP_003411105.1	undecaprenyl-diphosphatase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111533	b3058	NP_417530.2	bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase	170532	Mycobacterium tuberculosis H37Rv	397675561	RVBD_3607c	WP_003419537.1	dihydroneopterin aldolase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130960	b3064	NP_417536.1	glycation-binding protein, predicted protease/chaperone; essential for genome maintenance	170532	Mycobacterium tuberculosis H37Rv	397675370	RVBD_3419c	WP_003900052.1	glycoprotease/Kae1 family metallohydrolase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130962	b3066	NP_417538.1	DNA primase	170532	Mycobacterium tuberculosis H37Rv	397674242	RVBD_2343c	WP_003412049.1	DNA primase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130963	b3067	NP_417539.1	RNA polymerase, sigma 70 (sigma D) factor	170532	Mycobacterium tuberculosis H37Rv	397674612	RVBD_2703	WP_003413944.1	RNA polymerase sigma factor rpoD	1		RVBD_2710[RNA polymerase sigma factor sigB]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130963	b3067	NP_417539.1	RNA polymerase, sigma 70 (sigma D) factor	170532	Mycobacterium tuberculosis H37Rv	397674619	RVBD_2710	WP_003413958.1	RNA polymerase sigma factor sigB				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130965	b3070	NP_417541.1	predicted siderophore interacting protein	170532	Mycobacterium tuberculosis H37Rv	397674813	RVBD_2895c	WP_003900590.1	mycobactin utilization protein viuB				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16130976	b3081	NP_417552.1	2,4-dienoyl-CoA reductase, NADH and FMN-linked	170532	Mycobacterium tuberculosis H37Rv	397673016	RVBD_1175c	WP_003911416.1	2,4-dienoyl-CoA reductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	49176311	b3088	YP_026201.1	inner membrane protein, part of terminus	170532	Mycobacterium tuberculosis H37Rv	397674632	RVBD_2723	WP_003413979.1	TerC family integral membrane protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111537	b3094	NP_417565.2	DNA-binding transcriptional repressor	170532	Mycobacterium tuberculosis H37Rv	397672290	RVBD_0494	WP_003898483.1	GntR family transcriptional regulator				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	49176314	b4471	YP_026204.1	L-serine dehydratase 3	170532	Mycobacterium tuberculosis H37Rv	397671850	RVBD_0069c	WP_003400600.1	L-serine dehydratase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111542	b3113	NP_417583.4	predicted L-PSP (mRNA) endoribonuclease	170532	Mycobacterium tuberculosis H37Rv	397674613	RVBD_2704	WP_003899440.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	145698313	b3115	NP_417585.2	propionate kinase/acetate kinase C, anaerobic	170532	Mycobacterium tuberculosis H37Rv	397672200	RVBD_0409	WP_003402097.1	acetate kinase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16131010	b3117	NP_417587.1	catabolic threonine dehydratase, PLP-dependent	170532	Mycobacterium tuberculosis H37Rv	397673413	RVBD_1559	WP_003407781.1	threonine dehydratase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	145698314	b3124	NP_417593.4	glycerate kinase I	170532	Mycobacterium tuberculosis H37Rv	397674090	RVBD_2205c	WP_003899216.1	glycerate kinase	1	b0514[glycerate kinase II]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	145698315	b3125	NP_417594.3	tartronate semialdehyde reductase	170532	Mycobacterium tuberculosis H37Rv	397672562	RVBD_0751c	WP_003403844.1	3-hydroxyisobutyrate dehydrogenase	3	b0509[tartronate semialdehyde reductase, NADH-dependent];b2736[predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain];b3882[gamma-hydroxybutyrate dehydrogenase, NADH-dependent]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16131038	b3146	NP_417615.1	16S rRNA C1402 ribose 2'-O-methyltransferase, SAM-dependent	170532	Mycobacterium tuberculosis H37Rv	397672829	RVBD_1003	WP_003405173.1	ribosomal RNA small subunit methyltransferase I				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16131040	b3148	NP_417617.1	conserved protein, UPF0102 family	170532	Mycobacterium tuberculosis H37Rv	397674816	RVBD_2898c	WP_003414702.1	endonuclease				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16131041	b3149	NP_417618.1	DnaA initiator-associating factor for replication initiation	170532	Mycobacterium tuberculosis H37Rv	397671897	RVBD_0113	WP_003400839.1	phosphoheptose isomerase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16131043	b3151	NP_417620.1	predicted permease	170532	Mycobacterium tuberculosis H37Rv	397674881	RVBD_2963	WP_003912046.1	ABC transporter permease				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16131052	b3160	NP_417629.1	predicted enzyme	170532	Mycobacterium tuberculosis H37Rv	397675572	RVBD_3618	WP_003899601.1	monooxygenase	1		RVBD_1936[oxidoreductase]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16131052	b3160	NP_417629.1	predicted enzyme	170532	Mycobacterium tuberculosis H37Rv	397673804	RVBD_1936	WP_003904740.1	oxidoreductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111550	b3162	NP_417631.2	ATP-dependent RNA helicase	170532	Mycobacterium tuberculosis H37Rv	397673093	RVBD_1253	WP_003898793.1	ATP-dependent RNA helicase DeaD				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	145698316	b3164	NP_417633.4	polynucleotide phosphorylase/polyadenylase	170532	Mycobacterium tuberculosis H37Rv	397674694	RVBD_2783c	WP_003414124.1	polyribonucleotide nucleotidyltransferase				
