Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Mycobacterium intracellulare ATCC 13950 - ortholog count (reference : comparison)	Mycobacterium intracellulare ATCC 13950 - ortholuge status	Mycobacterium intracellulare ATCC 13950 - ortholog NCBI RefSeq accession	Mycobacterium abscessus ATCC 19977 - ortholog count (reference : comparison)	Mycobacterium abscessus ATCC 19977 - ortholuge status	Mycobacterium abscessus ATCC 19977 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus N315 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus N315 - ortholuge status	Staphylococcus aureus subsp. aureus N315 - ortholog NCBI RefSeq accession	Mycobacterium marinum M - ortholog count (reference : comparison)	Mycobacterium marinum M - ortholuge status	Mycobacterium marinum M - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Mycobacterium avium 104 - ortholog count (reference : comparison)	Mycobacterium avium 104 - ortholuge status	Mycobacterium avium 104 - ortholog NCBI RefSeq accession	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog count (reference : comparison)	Mycobacterium avium subsp. paratuberculosis K-10 - ortholuge status	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog NCBI RefSeq accession	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog count (reference : comparison)	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholuge status	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog NCBI RefSeq accession	Enterococcus faecium Aus0004 - ortholog count (reference : comparison)	Enterococcus faecium Aus0004 - ortholuge status	Enterococcus faecium Aus0004 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholuge status	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog NCBI RefSeq accession	Acinetobacter baumannii AYE - ortholog count (reference : comparison)	Acinetobacter baumannii AYE - ortholuge status	Acinetobacter baumannii AYE - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholuge status	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog NCBI RefSeq accession	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholog count (reference : comparison)	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholuge status	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholog NCBI RefSeq accession
16131807	b3973	NP_418404.1	"bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/ DNA-binding transcriptional repressor, bio-5'-AMP-binding"	1 to 1	RBB	WP_003899999.1	1 to 1	SSD	YP_005240421	1 to 1	SSD	WP_014380986.1	1 to 1	SSD	YP_001704354	1 to 1	SSD	NP_463012.1	1 to 1	SSD	NP_252970.1	1 to 1	RBB	YP_001083834	1 to 1	RBB	YP_002389446	1 to 1	SSD	WP_000049921.1	1 to 1	RBB	WP_012393131.1	1 to 1	SSD	WP_003112012.1	1 to 1	SSD	WP_031353823.1	1 to 1	SSD	WP_003874527.1	1 to 1	Borderline-SSD	YP_886193.1	1 to 1	RBB	WP_002297289.1	1 to 1	SSD	WP_014908110.1	1 to 1	SSD	YP_001575283	1 to 1	RBB	WP_000362827.1	1 to 1	Borderline-SSD	YP_499991.1	1 to 1	SSD	YP_003615416
16131808	b3974	NP_418405.1	pantothenate kinase	1 to 1	RBB	WP_003405790.1	1 to 1	SSD	YP_005240422	1 to 1	RBB	WP_008254336.1	1 to 1	RBB	YP_001701976	1 to 1	SSD	NP_463013.1	0	N/A		0	N/A		1 to 1	RBB	YP_002389447	0	N/A		1 to 1	RBB	WP_011738565.1	0	N/A		1 to 1	RBB	WP_003875370.1	1 to 1	RBB	WP_003875370.1	1 to 1	RBB	YP_889497.1	1 to 1	RBB	WP_002288627.1	1 to 1	SSD	WP_015959237.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003610752
16131810	b3980	NP_418407.1	protein chain elongation factor EF-Tu (duplicate of tufA)	1 to 2	RBB	WP_003403463.1	2 to 2	RBB	YP_005239636;YP_005240424	1 to 2	SSD	WP_008260847.1	1 to 2	SSD	YP_001704576	2 to 2	RBB	NP_462349.1;NP_463015.1	2 to 2	SSD	NP_252967.1;NP_252955.1	2 to 2	SSD	YP_001083903;YP_001083352	1 to 1	RBB	YP_002389448	1 to 2	SSD	WP_001040568.1	1 to 2	RBB	WP_011739036.1	2 to 2	SSD	WP_003115146.1	2 to 1	RBB	WP_003873538.1	2 to 1	RBB	WP_003873538.1	2 to 1	SSD	YP_885786.1	2 to 2	RBB	WP_002289463.1;WP_002290442.1	2 to 2	RBB	WP_014906848.1;WP_004174069.1	1 to 2	SSD	YP_001574446	2 to 2	SSD	WP_001029610.1	1 to 2	SSD	YP_499102.1	2 to 1	RBB	YP_003610753
16131811	b3981	NP_418408.1	preprotein translocase membrane subunit	0	N/A		1 to 1	SSD	YP_005240426	0	N/A		0	N/A		1 to 1	SSD	NP_463016.1	1 to 1	RBB	NP_252966.1	1 to 1	RBB	YP_001083353	1 to 1	RBB	YP_002389449	0	N/A		0	N/A		1 to 1	SSD	WP_003108030.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002883772.1	0	N/A		1 to 1	RBB	WP_000063880.1	0	N/A		1 to 1	SSD	YP_003610755
16131812	b3982	NP_418409.1	transcription termination factor	1 to 1	RBB	WP_003403288.1	1 to 1	SSD	YP_005240427	1 to 1	RBB	WP_009957382.1	1 to 1	SSD	YP_001704622	1 to 1	SSD	NP_463017.1	1 to 1	SSD	NP_252965.1	1 to 1	SSD	YP_001083354	1 to 1	RBB	YP_002389450	1 to 1	RBB	WP_001288302.1	1 to 1	RBB	WP_012392887.1	1 to 1	SSD	WP_003108028.1	1 to 1	RBB	WP_003873570.1	1 to 1	RBB	WP_003873570.1	1 to 1	RBB	YP_885732.1	1 to 1	SSD	WP_002294580.1	1 to 1	SSD	WP_001287521.1	1 to 1	RBB	YP_001574435	1 to 1	SSD	WP_000832994.1	1 to 1	SSD	YP_499090.1	1 to 1	SSD	YP_003610756
16131813	b3983	NP_418410.1	50S ribosomal subunit protein L11	1 to 1	RBB	WP_003403291.1	1 to 1	SSD	YP_005240428	1 to 1	SSD	WP_007767860.1	1 to 1	SSD	YP_001704621	1 to 1	SSD	NP_463018.1	1 to 1	SSD	NP_252964.1	1 to 1	SSD	YP_001083355	1 to 1	RBB	YP_002389451	1 to 1	SSD	WP_001085792.1	1 to 1	RBB	WP_011739001.1	1 to 1	SSD	WP_003093751.1	1 to 1	SSD	WP_003873569.1	1 to 1	SSD	WP_003873569.1	1 to 1	SSD	YP_885733.1	1 to 1	SSD	WP_002291638.1	1 to 1	SSD	WP_002884034.1	1 to 1	SSD	YP_001574436	1 to 1	SSD	WP_001074682.1	1 to 1	SSD	YP_499091.1	1 to 1	SSD	YP_003610757
16131814	b3984	NP_418411.1	50S ribosomal subunit protein L1	1 to 1	RBB	WP_003403292.1	1 to 1	SSD	YP_005240429	1 to 1	RBB	WP_008260906.1	1 to 1	SSD	YP_001704620	1 to 1	SSD	NP_463019.1	1 to 1	SSD	NP_252963.1	1 to 1	SSD	YP_001083356	1 to 1	RBB	YP_002389452	1 to 1	SSD	WP_001074622.1	1 to 1	RBB	WP_012392888.1	1 to 1	SSD	WP_003093749.1	1 to 1	SSD	WP_003873568.1	1 to 1	SSD	WP_003873568.1	1 to 1	SSD	YP_885734.1	1 to 1	SSD	WP_002294587.1	1 to 1	SSD	WP_002884036.1	1 to 1	SSD	YP_001574437	1 to 1	SSD	WP_001096694.1	1 to 1	SSD	YP_499092.1	1 to 1	SSD	YP_003610758
16131815	b3985	NP_418412.1	50S ribosomal subunit protein L10	1 to 1	RBB	WP_003403341.1	1 to 1	SimNSSD	YP_005240430	1 to 1	RBB	WP_014381143.1	1 to 1	RBB	YP_001704605	1 to 1	SimNSSD	NP_463020.1	1 to 1	SSD	NP_252962.1	1 to 1	SSD	YP_001083357	1 to 1	RBB	YP_002389453	1 to 1	RBB	WP_001273085.1	1 to 1	RBB	WP_011739013.1	1 to 1	SSD	WP_003093748.1	1 to 1	RBB	WP_011726097.1	1 to 1	RBB	WP_003873556.1	1 to 1	RBB	YP_885750.1	1 to 1	RBB	WP_002291634.1	1 to 1	SSD	WP_001207203.1	1 to 1	RBB	YP_001574438	1 to 1	SSD	WP_001196213.1	1 to 1	SSD	YP_499093.1	1 to 1	SSD	YP_003610759
16131816	b3986	NP_418413.1	50S ribosomal subunit protein L7/L12	1 to 1	RBB	WP_003403353.1	1 to 1	Borderline-SSD	YP_005240431	1 to 1	RBB	WP_008260886.1	1 to 1	Borderline-SSD	YP_001704604	1 to 1	Borderline-SSD	NP_463021.1	1 to 1	SSD	NP_252961.1	1 to 1	SSD	YP_001083358	1 to 1	RBB	YP_002389454	1 to 1	RBB	WP_001273586.1	1 to 1	RBB	WP_012392902.1	1 to 1	SSD	WP_003093747.1	1 to 1	RBB	WP_003873555.1	1 to 1	RBB	WP_003873555.1	1 to 1	RBB	YP_885751.1	1 to 1	RBB	WP_002294588.1	1 to 1	SSD	WP_002884142.1	1 to 1	RBB	YP_001574439	1 to 1	SSD	WP_001229360.1	1 to 1	RBB	YP_499094.1	1 to 1	SSD	YP_003610760
16131817	b3987	NP_418414.1	"RNA polymerase, beta subunit"	1 to 1	RBB	WP_003900201.1	1 to 1	SSD	YP_005240432	1 to 1	SSD	WP_009957075.1	1 to 1	SSD	YP_001704597	1 to 1	SSD	NP_463022.1	1 to 1	SSD	NP_252960.1	1 to 1	SSD	YP_001083359	1 to 1	RBB	YP_002389455	1 to 1	SSD	WP_000918667.1	1 to 1	RBB	WP_020727440.1	1 to 1	SSD	WP_011666539.1	1 to 1	SSD	WP_003873551.1	1 to 1	SSD	WP_003873551.1	1 to 1	SSD	YP_885753.1	1 to 1	RBB	WP_002320801.1	1 to 1	SSD	WP_004901914.1	1 to 1	SSD	YP_001574441	1 to 1	SSD	WP_000331899.1	1 to 1	RBB	YP_499096.2	1 to 1	SSD	YP_003610761
16131818	b3988	NP_418415.1	"RNA polymerase, beta prime subunit"	1 to 1	RBB	WP_003403413.1	1 to 1	SSD	YP_005240433	1 to 1	SSD	WP_014381138.1	1 to 1	SSD	YP_001704596	1 to 1	SSD	NP_463023.1	1 to 1	SSD	NP_252959.1	1 to 1	SSD	YP_001083360	1 to 1	RBB	YP_002389456	1 to 1	SSD	WP_000567961.1	1 to 1	RBB	WP_012392907.1	1 to 1	SSD	WP_003093745.1	1 to 1	SSD	WP_011726094.1	1 to 1	SSD	WP_003873550.1	1 to 1	SSD	YP_885754.1	1 to 1	SSD	WP_002295965.1	1 to 1	SSD	WP_002884146.1	1 to 1	SSD	YP_001574442	1 to 1	SSD	WP_000653927.1	1 to 1	SSD	YP_499097.1	1 to 1	SSD	YP_003610762
16131819	b3989	NP_418416.1	stationary phase growth adaptation protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002389457	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131820	b3990	NP_418417.1	"tyrosine lyase, involved in thiamin-thiazole moiety synthesis"	0	N/A		1 to 1	Borderline-SSD	YP_005240441	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_463028.1	0	N/A		0	N/A		1 to 1	RBB	YP_002389458	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004177872.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003610766
33347812	b3991	NP_418418.2	thiamin biosynthesis ThiGH complex subunit	1 to 1	RBB	WP_003916659.1	1 to 1	SSD	YP_005240442	1 to 1	RBB	WP_014381284.1	1 to 1	SSD	YP_001704943	1 to 1	SSD	NP_463029.1	1 to 1	SSD	NP_249072.1	1 to 1	SSD	YP_001085290	1 to 1	RBB	YP_002389459	0	N/A		1 to 1	RBB	WP_012392668.1	1 to 1	Non-SSD	WP_003084517.1	1 to 1	RBB	WP_009979401.1	1 to 1	RBB	WP_003873810.1	1 to 1	RBB	YP_885198.1	0	N/A		1 to 1	SSD	WP_004152308.1	0	N/A		1 to 1	SSD	WP_001154366.1	0	N/A		1 to 1	SSD	YP_003610767
90111672	b3992	NP_418420.4	"adenylyltransferase, modifies ThiS C-terminus"	0	N/A		1 to 1	SSD	YP_005240444	1 to 2	RBB	WP_014380918.1	1 to 2	RBB	YP_001704255	1 to 1	SSD	NP_463031.1	0	N/A		1 to 2	RBB	YP_001085175	1 to 1	RBB	YP_002389461	1 to 2	RBB	WP_000076930.1	1 to 2	RBB	WP_012393218.1	0	N/A		2 to 1	RBB	WP_011725916.1	2 to 1	RBB	WP_003874621.1	2 to 1	RBB	YP_886303.1	0	N/A		1 to 1	SSD	WP_004177871.1	1 to 2	RBB	YP_001576130	1 to 2	RBB	WP_000137900.1	1 to 2	RBB	YP_501008.1	1 to 1	SSD	YP_003610769
16131823	b3993	NP_418421.1	thiamin phosphate synthase (thiamin phosphate pyrophosphorylase)	1 to 1	RBB	WP_003402115.1	1 to 1	SSD	YP_005240445	1 to 1	RBB	WP_009952603.1	1 to 1	RBB	YP_001704946	1 to 1	SSD	NP_463032.1	1 to 1	RBB	NP_252665.1	1 to 1	RBB	YP_001085485	1 to 1	RBB	YP_002389462	1 to 1	SSD	WP_000483153.1	1 to 1	RBB	WP_012392666.1	1 to 1	Borderline-SSD	WP_003132524.1	1 to 1	RBB	WP_011726221.1	1 to 1	Borderline-SSD	WP_003879273.1	1 to 1	SSD	YP_885195.1	0	N/A		1 to 1	SSD	WP_004152310.1	0	N/A		1 to 1	RBB	WP_001214806.1	1 to 1	RBB	YP_500807.1	1 to 1	SSD	YP_003610770
16131824	b3994	NP_418422.1	thiamin (pyrimidine moiety) biosynthesis protein	1 to 1	RBB	WP_003900143.1	1 to 1	Borderline-SSD	YP_005240446	1 to 1	SSD	WP_008261381.1	1 to 1	SSD	YP_001704923	1 to 1	Borderline-SSD	NP_463033.1	1 to 1	RBB	NP_253660.1	1 to 1	SSD	YP_001083328	1 to 1	RBB	YP_002389463	0	N/A		1 to 1	RBB	WP_012392684.1	1 to 1	SSD	WP_003135615.1	1 to 1	RBB	WP_009979387.1	1 to 1	SSD	WP_010950164.1	1 to 1	SSD	YP_885230.1	0	N/A		1 to 1	SSD	WP_009485012.1	0	N/A		1 to 1	SSD	WP_001072861.1	0	N/A		1 to 1	SSD	YP_003610771
16131825	b3995	NP_418423.1	"stationary phase protein, binds sigma 70 RNA polymerase subunit"	0	N/A		1 to 1	SSD	YP_005240447	0	N/A		0	N/A		1 to 1	SSD	NP_463034.1	1 to 1	RBB	NP_253942.1	0	N/A		1 to 1	RBB	YP_002389464	0	N/A		0	N/A		1 to 1	RBB	WP_003120370.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002884324.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003610772
49176450	b3996	YP_026280.1	NADH pyrophosphatase	1 to 1	RBB	WP_003899965.1	1 to 1	SSD	YP_005240448	1 to 1	RBB	WP_008259652.1	1 to 1	RBB	YP_001704243	1 to 1	SSD	NP_463035.1	1 to 1	RBB	NP_250514.1	1 to 1	RBB	YP_001084086	1 to 1	RBB	YP_002389465	0	N/A		1 to 1	RBB	WP_012393227.1	1 to 1	RBB	WP_003139928.1	1 to 1	RBB	WP_011725910.1	1 to 1	RBB	NP_962233.1	1 to 1	RBB	YP_886312.1	0	N/A		1 to 1	SSD	WP_002884327.1	0	N/A		1 to 1	RBB	WP_001292948.1	0	N/A		1 to 1	SSD	YP_003610773
16131827	b3997	NP_418425.1	uroporphyrinogen decarboxylase	1 to 1	RBB	WP_003413873.1	1 to 1	SSD	YP_005240449	1 to 1	RBB	WP_009955815.1	1 to 1	RBB	YP_001703718	1 to 1	Borderline-SSD	NP_463036.1	1 to 1	SSD	NP_253721.1	1 to 1	SSD	YP_001085391	1 to 1	RBB	YP_002389466	1 to 1	RBB	WP_000233526.1	1 to 1	RBB	WP_012393815.1	1 to 1	SSD	WP_003141773.1	1 to 1	RBB	WP_011725548.1	1 to 1	RBB	WP_003875263.1	1 to 1	RBB	YP_887111.1	0	N/A		1 to 1	SSD	WP_004178235.1	1 to 1	RBB	YP_001575707	1 to 1	SSD	WP_000209397.1	1 to 1	SSD	YP_500461.1	1 to 1	SSD	YP_003610774
90111673	b3998	NP_418426.2	endonuclease V	0	N/A		1 to 1	SSD	YP_005240450	0	N/A		0	N/A		1 to 1	SSD	NP_463037.1	0	N/A		0	N/A		1 to 1	RBB	YP_002389467	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_012737143.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003610775
16131829	b3999	NP_418427.1	conserved protein	0	N/A		1 to 1	Borderline-SSD	YP_005240451	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_463038.1	0	N/A		0	N/A		1 to 1	RBB	YP_002389468	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002884331.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003610776
16131830	b4000	NP_418428.1	"HU, DNA-binding transcriptional regulator, alpha subunit"	1 to 3	RBB	WP_003415107.1	1 to 1	SSD	YP_005240452	1 to 3	RBB	WP_014380732.1	0	N/A		1 to 1	SSD	NP_463039.1	0	N/A		0	N/A		1 to 1	RBB	YP_002389469	0	N/A		1 to 3	RBB	WP_012393541.1	0	N/A		3 to 1	RBB	WP_003878740.1	3 to 1	RBB	WP_003878740.1	3 to 1	RBB	YP_886729.1	1 to 2	RBB	WP_002290178.1	1 to 1	SimNSSD	WP_002884342.1	0	N/A		0	N/A		0	N/A		1 to 1	SimNSSD	YP_003610777
16131831	b4001	NP_418429.1	conserved protein	0	N/A		1 to 1	Borderline-SSD	YP_005240453	0	N/A		0	N/A		1 to 1	SSD	NP_463040.1	0	N/A		0	N/A		1 to 1	RBB	YP_002389470	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002884344.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003610778
90111674	b4002	NP_418430.2	Zn-binding periplasmic protein	0	N/A		1 to 1	SSD	YP_005240454	0	N/A		0	N/A		1 to 1	SSD	NP_463041.1	0	N/A		0	N/A		1 to 1	RBB	YP_002389471	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737144.1	0	N/A		0	N/A		0	N/A		0	N/A	
16131833	b4003	NP_418431.1	sensory histidine kinase in two-component regulatory system with ZraR	0	N/A		1 to 1	SSD	YP_005240455	0	N/A		0	N/A		1 to 1	SSD	NP_463042.1	0	N/A		0	N/A		1 to 1	RBB	YP_002389472	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		3 to 1	RBB	YP_885897.1	0	N/A		1 to 1	RBB	WP_004895017.1	0	N/A		0	N/A		0	N/A		0	N/A	
16131834	b4004	NP_418432.1	fused DNA-binding response regulator in two-component regulatory system with ZraS: response regulator/sigma54 interaction protein	0	N/A		1 to 1	SSD	YP_005240456	0	N/A		0	N/A		1 to 1	SSD	NP_463043.1	1 to 2	Non-SSD	NP_253237.1	0	N/A		1 to 1	RBB	YP_002389473	0	N/A		0	N/A		1 to 2	RBB	WP_003094694.1	0	N/A		0	N/A		0	N/A		1 to 10	RBB	WP_002302892.1	1 to 1	RBB	WP_012737145.1	0	N/A		0	N/A		0	N/A		0	N/A	
16131835	b4005	NP_418433.1	phosphoribosylglycinamide synthetase phosphoribosylamine-glycine ligase	1 to 1	RBB	WP_003898580.1	1 to 1	Non-SSD	YP_005240457	1 to 1	SSD	WP_014379077.1	1 to 1	SSD	YP_001701433	1 to 1	Non-SSD	NP_463044.1	1 to 1	SSD	NP_253542.1	1 to 1	SSD	YP_001085218	1 to 1	RBB	YP_002389474	1 to 1	SSD	WP_001101899.1	1 to 1	RBB	WP_012396454.1	1 to 1	SSD	WP_004365431.1	1 to 1	SSD	WP_009974887.1	1 to 1	SSD	WP_003877184.1	1 to 1	SSD	YP_890079.1	1 to 1	SSD	WP_002288007.1	1 to 1	SSD	WP_002884357.1	1 to 1	SSD	YP_001574917	1 to 1	SSD	WP_001024112.1	1 to 1	SSD	YP_499568.1	1 to 1	SSD	YP_003610779
16131836	b4006	NP_418434.1	fused IMP cyclohydrolase/phosphoribosylaminoimidazolecarboxamide formyltransferase	1 to 1	RBB	WP_003404890.1	1 to 1	SimNSSD	YP_005240458	1 to 1	SSD	WP_008254027.1	1 to 1	SSD	YP_001701808	1 to 1	SimNSSD	NP_463045.1	1 to 1	SSD	NP_253541.1	1 to 1	SSD	YP_001085216	1 to 1	RBB	YP_002389475	1 to 1	RBB	WP_000709277.1	1 to 1	RBB	WP_012396092.1	1 to 1	SSD	WP_004365428.1	1 to 1	SSD	WP_024636987.1	1 to 1	SSD	WP_040963270.1	1 to 1	SSD	YP_889752.1	1 to 1	SSD	WP_002288009.1	1 to 1	SSD	WP_002884359.1	1 to 1	RBB	YP_001574916	1 to 1	SSD	WP_000153210.1	1 to 1	SSD	YP_499567.1	1 to 1	SSD	YP_003610780
16131837	b4011	NP_418435.1	conserved stress-induced protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131838	b4012	NP_418436.1	predicted acetyltransferase	1 to 1	RBB	WP_003900571.1	1 to 1	Borderline-SSD	YP_005240464	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_463046.1	1 to 1	RBB	NP_250119.1	0	N/A		1 to 1	RBB	YP_002389476	0	N/A		1 to 1	RBB	WP_012394682.1	1 to 1	RBB	WP_003140292.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004178258.1	1 to 2	RBB	YP_001574512	0	N/A		1 to 2	RBB	YP_499168.1	1 to 1	Non-SSD	YP_003610616
16131839	b4013	NP_418437.1	homoserine O-transsuccinylase	0	N/A		1 to 1	SSD	YP_005240465	0	N/A		0	N/A		1 to 1	SSD	NP_463047.1	0	N/A		0	N/A		1 to 1	RBB	YP_002389477	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004146576.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003610781
16131840	b4014	NP_418438.1	malate synthase A	0	N/A		1 to 1	Borderline-SSD	YP_005240466	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_463048.1	0	N/A		0	N/A		1 to 1	RBB	YP_002389478	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002884559.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003610782
16131841	b4015	NP_418439.1	isocitrate lyase	1 to 1	RBB	WP_003402316.1	1 to 1	Borderline-SSD	YP_005240467	1 to 1	RBB	WP_014381239.1	1 to 1	RBB	YP_001704822	1 to 1	Borderline-SSD	NP_463049.1	1 to 1	RBB	NP_251324.1	1 to 1	Non-SSD	YP_001084042	1 to 1	RBB	YP_002389479	0	N/A		1 to 1	RBB	WP_012392736.1	1 to 1	RBB	WP_003090447.1	1 to 1	RBB	WP_011726191.1	1 to 1	RBB	WP_010950181.1	1 to 1	RBB	YP_885314.1	0	N/A		1 to 1	SSD	WP_004192658.1	0	N/A		1 to 1	Non-SSD	WP_000214787.1	0	N/A		1 to 1	SSD	YP_003610783
16131842	b4016	NP_418440.1	isocitrate dehydrogenase kinase/phosphatase	0	N/A		1 to 1	SSD	YP_005240469	0	N/A		0	N/A		1 to 1	SSD	NP_463050.1	1 to 1	RBB	NP_250067.1	0	N/A		1 to 1	RBB	YP_002389481	0	N/A		0	N/A		1 to 1	RBB	WP_003140319.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002884575.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003610784
16131843	b4017	NP_418441.1	ankyrin repeat protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111675	b4018	NP_418442.2	DNA-binding transcriptional repressor	1 to 5	RBB	WP_003408460.1	1 to 1	Borderline-SSD	YP_005240471	0	N/A		1 to 2	RBB	YP_001705216	1 to 1	Borderline-SSD	NP_463052.1	0	N/A		2 to 3	RBB	YP_001084904;YP_001084385	1 to 1	RBB	YP_002389482	0	N/A		1 to 7	RBB	WP_012395980.1	0	N/A		0	N/A		0	N/A		2 to 1	RBB	YP_889713.1	1 to 4	RBB	WP_002294170.1	1 to 1	SSD	WP_002884578.1	0	N/A		1 to 1	RBB	WP_000996083.1	0	N/A		1 to 1	SSD	YP_003610785
