Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession
16129771	b1817	NP_416331.1	fused mannose-specific PTS enzymes: IIA component/IIB component	1 to 1	RBB	WP_005685036.1	0	N/A		0	N/A		0	N/A	
16129772	b1818	NP_416332.1	mannose-specific enzyme IIC component of PTS	1 to 1	RBB	WP_005685035.1	0	N/A		0	N/A		0	N/A	
49176154	b1819	NP_416333.3	mannose-specific enzyme IID component of PTS	0	N/A		0	N/A		0	N/A		0	N/A	
345452720	b1819	NP_416333.4	mannose-specific enzyme IID component of PTS	1 to 1	RBB	WP_005685034.1	0	N/A		0	N/A		0	N/A	
16129774	b1820	NP_416334.1	inner membrane protein, UPF0266 family	0	N/A		0	N/A		0	N/A		0	N/A	
162135903	b1821	NP_416335.4	conserved inner membrane protein	0	N/A		1 to 1	RBB	WP_022293515.1	1 to 1	RBB	WP_011965660.1	0	N/A	
16129776	b1822	NP_416336.1	23S rRNA m(1)G745 methyltransferase	1 to 1	RBB	WP_014569344.1	0	N/A		0	N/A		1 to 1	RBB	WP_012738670.1
16129777	b1823	NP_416337.1	stress protein, member of the CspA-family	1 to 4	RBB	WP_005685812.1	1 to 6	RBB	WP_012743213.1	1 to 5	RBB	WP_005847295.1	1 to 6	RBB	WP_041687948.1
16129778	b1824	NP_416338.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129779	b1825	NP_416339.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129780	b1826	NP_416340.1	regulatory peptide for PhoPQ, feedback inhibition	0	N/A		0	N/A		0	N/A		0	N/A	
16129781	b1827	NP_416341.1	DNA-binding transcriptional regulator f kdgK, kdgT, eda	0	N/A		0	N/A		0	N/A		0	N/A	
90111339	b1828	NP_416342.4	predicted transporter	4 to 1	RBB	WP_005713821.1;WP_005685029.1;WP_032953764.1;WP_014569049.1	0	N/A		1 to 1	RBB	WP_005849911.1	0	N/A	
16129783	b1829	NP_416343.1	predicted endopeptidase	0	N/A		0	N/A		0	N/A		0	N/A	
16129784	b1830	NP_416344.1	carboxy-terminal protease for penicillin-binding protein 3	1 to 1	RBB	WP_014569638.1	1 to 1	RBB	WP_012741618.1	3 to 1	RBB	WP_005848162.1;WP_011964907.1;WP_011965100.1	1 to 1	RBB	WP_012740032.1
49176156	b1831	YP_026161.1	regulator of ProP expression, post-translational	0	N/A		0	N/A		0	N/A		0	N/A	
171701682	b1832	NP_416346.4	free methionine-(R)-sulfoxide reductase	1 to 1	RBB	WP_014569569.1	0	N/A		1 to 1	RBB	WP_012055800.1	0	N/A	
16129786	b1833	NP_416347.1	inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111340	b1834	NP_416348.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111341	b1835	NP_416349.2	16S rRNA m(5)C1407 methyltransferase, SAM-dependent	1 to 1	RBB	WP_014569664.1	1 to 1	SSD	WP_012742824.1	1 to 1	SSD	WP_011965389.1	1 to 1	RBB	WP_041688088.1
90111342	b1836	NP_416350.4	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111343	b1837	NP_416351.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111344	b1838	NP_416352.4	serine/threonine-specific protein phosphatase 1	1 to 1	RBB	WP_005688043.1	0	N/A		0	N/A		0	N/A	
16129792	b1839	NP_416353.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129793	b1840	NP_416354.1	inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129794	b1841	NP_416355.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129795	b1842	NP_416356.1	DNA polymerase III, theta subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129796	b1843	NP_416357.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129797	b1844	NP_416358.1	DNA exonuclease X	0	N/A		0	N/A		1 to 1	RBB	WP_005843449.1	1 to 1	RBB	WP_012740084.1
16129798	b1845	NP_416359.1	protease II	0	N/A		0	N/A		0	N/A		0	N/A	
16129799	b1846	NP_416360.1	inner membrane protein, DUF533 family	0	N/A		0	N/A		0	N/A		0	N/A	
145698278	b1847	NP_416361.2	secreted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129801	b1848	NP_416362.1	conserved protein regulated by LexA	0	N/A		0	N/A		0	N/A		0	N/A	
16129802	b1849	NP_416363.1	phosphoribosylglycinamide formyltransferase 2	0	N/A		0	N/A		1 to 1	RBB	WP_005843331.1	0	N/A	
16129803	b1850	NP_416364.1	multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase	0	N/A		0	N/A		1 to 1	RBB	WP_008668653.1	1 to 1	RBB	WP_022097684.1
16129804	b1851	NP_416365.1	6-phosphogluconate dehydratase	0	N/A		0	N/A		0	N/A		0	N/A	
16129805	b1852	NP_416366.1	glucose-6-phosphate 1-dehydrogenase	1 to 1	RBB	WP_005685510.1	0	N/A		1 to 1	RBB	WP_005843394.1	0	N/A	
16129806	b1853	NP_416367.1	predicted DNA-binding transcriptional regulator	1 to 1	RBB	WP_005685343.1	1 to 2	RBB	WP_041254022.1	0	N/A		1 to 4	RBB	WP_012739163.1
16129807	b1854	NP_416368.1	pyruvate kinase II	0	N/A		0	N/A		0	N/A		0	N/A	
16129808	b1855	NP_416369.1	myristoyl-acyl carrier protein (ACP)-dependent acyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
90111345	b1856	NP_416370.2	predicted peptidase	0	N/A		0	N/A		2 to 1	RBB	WP_011964961.1;WP_005845796.1	1 to 1	RBB	WP_041688796.1
90111346	b1857	NP_416371.4	zinc transporter subunit: periplasmic-binding component of ABC superfamily	0	N/A		1 to 1	SSD	WP_012741856.1	0	N/A		0	N/A	
16129811	b1858	NP_416372.1	zinc transporter subunit: ATP-binding component of ABC superfamily	1 to 1	RBB	WP_005685357.1	1 to 1	RBB	WP_012741857.1	1 to 1	RBB	WP_005844145.1	0	N/A	
16129812	b1859	NP_416373.1	zinc transporter subunit: membrane component of ABC superfamily	1 to 1	RBB	WP_005686804.1	0	N/A		1 to 1	SSD	WP_005839906.1	0	N/A	
16129813	b1860	NP_416374.1	ATP-dependent DNA helicase, component of RuvABC resolvasome	1 to 1	RBB	WP_005685502.1	1 to 1	RBB	YP_002937535	1 to 1	RBB	WP_005838742.1	1 to 1	RBB	WP_041688073.1
16129814	b1861	NP_416375.1	component of RuvABC resolvasome, regulatory subunit	1 to 1	RBB	WP_005685501.1	1 to 1	RBB	WP_012742497.1	1 to 1	RBB	WP_005838686.1	1 to 1	RBB	WP_012739179.1
90111347	b1862	NP_416376.2	conserved protein, DUF830 family	0	N/A		0	N/A		0	N/A		0	N/A	
16129816	b1863	NP_416377.1	component of RuvABC resolvasome, endonuclease	0	N/A		0	N/A		1 to 1	RBB	WP_005846654.1	0	N/A	
16129817	b1864	NP_416378.1	conserved protein, UPF0082 family	1 to 1	RBB	WP_005684587.1	1 to 1	RBB	WP_012742800.1	1 to 2	RBB	WP_005839937.1	1 to 1	RBB	WP_012739140.1
16129818	b1865	NP_416379.1	dihydroneopterin triphosphate pyrophosphatase	1 to 1	RBB	WP_015765103.1	0	N/A		0	N/A		0	N/A	
16129819	b1866	NP_416380.1	aspartyl-tRNA synthetase	1 to 1	RBB	WP_005687670.1	1 to 1	RBB	WP_012743676.1	1 to 1	RBB	WP_012055606.1	1 to 1	RBB	WP_012738696.1
90111348	b1867	NP_416381.2	predicted hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
16129821	b1868	NP_416382.1	conserved protein, UPF0759 family	1 to 1	RBB	WP_015765072.1	0	N/A		0	N/A		0	N/A	
90111349	b1869	NP_416383.4	inner membrane protein, MAPEG family	0	N/A		0	N/A		0	N/A		0	N/A	
16129823	b1870	NP_416384.1	tRNA cmo(5)U34 methyltransferase, SAM-dependent	0	N/A		0	N/A		0	N/A		0	N/A	
16129824	b1871	NP_416385.1	tRNA mo(5)U34 methyltransferase, SAM-dependent	0	N/A		0	N/A		0	N/A		0	N/A	
90111350	b1872	NP_416386.4	trimethylamine N-oxide reductase system III, catalytic subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129826	b1873	NP_416387.1	TMAO reductase III (TorYZ), cytochrome c-type subunit	0	N/A		0	N/A		0	N/A		0	N/A	
90111351	b1874	YP_025309.2	copper homeostasis protein	1 to 1	RBB	WP_015764886.1	1 to 1	RBB	WP_012741751.1	1 to 1	RBB	WP_005851598.1	0	N/A	
90111352	b1875	NP_416389.4	predicted metal-binding enzyme	0	N/A		0	N/A		0	N/A		0	N/A	
16129828	b1876	NP_416390.1	arginyl-tRNA synthetase	1 to 1	RBB	WP_014569745.1	1 to 1	SSD	WP_012743073.1	1 to 1	SSD	WP_005850079.1	1 to 1	RBB	WP_012738775.1
90111353	b1877	NP_416391.4	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129830	b1878	NP_416392.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129831	b1879	NP_416393.1	predicted flagellar export pore protein	0	N/A		1 to 1	RBB	WP_012742630.1	0	N/A		1 to 1	RBB	WP_012739074.1
16129832	b1880	NP_416394.1	flagellin export apparatus, substrate specificity protein	0	N/A		1 to 1	RBB	WP_012742631.1	0	N/A		1 to 1	RBB	WP_012739073.1
16129833	b1881	NP_416395.1	chemotaxis regulator, protein phosphatase for CheY	0	N/A		0	N/A		0	N/A		0	N/A	
16129834	b1882	NP_416396.1	chemotaxis regulator transmitting signal to flagellar motor component	0	N/A		0	N/A		0	N/A		0	N/A	
16129835	b1883	NP_416397.1	fused chemotaxis regulator: protein-glutamate methylesterase in two-component regulatory system with CheA	0	N/A		1 to 1	SSD	WP_012742626.1	0	N/A		1 to 1	RBB	WP_012739078.1
16129836	b1884	NP_416398.1	chemotaxis regulator, protein-glutamate methyltransferase	0	N/A		1 to 1	SSD	WP_012742481.1	0	N/A		1 to 1	RBB	WP_012739169.1
16129837	b1885	NP_416399.1	methyl-accepting protein IV	0	N/A		3 to 4	RBB	WP_012741418.1;WP_012741860.1;WP_041253819.1	0	N/A		1 to 5	RBB	WP_012739866.1
16129838	b1886	NP_416400.1	methyl-accepting chemotaxis protein II	0	N/A		3 to 4	RBB	WP_012741418.1;WP_041253819.1;WP_012741860.1	0	N/A		1 to 5	RBB	WP_012739866.1
16129839	b1887	NP_416401.1	purine-binding chemotaxis protein	0	N/A		1 to 1	SSD	WP_015516404.1	0	N/A		2 to 1	RBB	WP_041688545.1;WP_012738639.1
16129840	b1888	NP_416402.1	fused chemotactic sensory histidine kinase in two-component regulatory system with CheB and CheY: sensory histidine kinase/signal sensing protein	0	N/A		1 to 1	SSD	WP_012742625.1	0	N/A		1 to 1	RBB	WP_041688045.1
16129841	b1889	NP_416403.1	protein that enables flagellar motor rotation	0	N/A		0	N/A		0	N/A		0	N/A	
16129842	b1890	NP_416404.1	proton conductor component of flagella motor	0	N/A		0	N/A		0	N/A		0	N/A	
16129843	b1891	NP_416405.1	DNA-binding transcriptional dual regulator with FlhD	0	N/A		0	N/A		0	N/A		0	N/A	
145698279	b1892	NP_416406.4	DNA-binding transcriptional dual regulator with FlhC	0	N/A		0	N/A		0	N/A		0	N/A	
16129845	b1893	NP_416407.1	IS1 transposase B	0	N/A		0	N/A		0	N/A		0	N/A	
16129846	b1894	NP_416408.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A	
16129847	b1895	NP_416409.1	universal stress protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129848	b1896	NP_416410.1	trehalose-6-phosphate synthase	0	N/A		0	N/A		1 to 1	SSD	WP_012055616.1	0	N/A	
16129849	b1897	NP_416411.1	trehalose-6-phosphate phosphatase, biosynthetic	0	N/A		0	N/A		0	N/A		0	N/A	
16129850	b1900	NP_416413.1	fused L-arabinose transporter subunits of ABC superfamily: ATP-binding components	0	N/A		0	N/A		0	N/A		0	N/A	
16129851	b1901	NP_416414.1	L-arabinose transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129852	b1902	NP_416415.1	ferritin B, probable ferrous iron reservoir	0	N/A		0	N/A		0	N/A		0	N/A	
16129854	b1904	NP_416417.1	lipoprotein, function unknown	0	N/A		0	N/A		0	N/A		0	N/A	
16129855	b1905	NP_416418.1	ferritin iron storage protein (cytoplasmic)	0	N/A		0	N/A		2 to 1	RBB	WP_011965728.1;WP_005842443.1	0	N/A	
16129856	b1906	NP_416419.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129857	b1907	NP_416420.1	tyrosine transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129858	b1908	NP_416421.1	conserved protein, UPF0149 family	0	N/A		0	N/A		0	N/A		0	N/A	
16129859	b1912	NP_416422.1	phosphatidylglycerophosphate synthetase	1 to 1	RBB	WP_014569351.1	1 to 1	RBB	WP_012742518.1	0	N/A		1 to 1	RBB	WP_012739358.1
90111354	b1913	NP_416423.4	excinuclease UvrABC, endonuclease subunit	1 to 1	RBB	WP_005685661.1	1 to 1	SSD	WP_012741596.1	1 to 1	SSD	WP_011965089.1	1 to 1	RBB	WP_012740214.1
16129861	b1914	NP_416424.1	DNA-binding response regulator in two-component regulatory system with BarA	1 to 1	RBB	WP_005684424.1	0	N/A		0	N/A		0	N/A	
16129862	b1915	NP_416425.1	conserved protein, DUF2594 family	0	N/A		0	N/A		0	N/A		0	N/A	
16129863	b1916	NP_416426.1	quorum-sensing transcriptional activator	0	N/A		0	N/A		1 to 1	RBB	WP_005845430.1	0	N/A	
16129864	b1917	NP_416427.1	predicted transporter subunit: ATP-binding component of ABC superfamily	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041688663.1
16129865	b1918	NP_416428.1	inner membrane protein, predicted transporter subunit: membrane component of ABC superfamily	1 to 1	RBB	WP_014569173.1	1 to 1	RBB	WP_012741109.1	0	N/A		2 to 1	RBB	WP_041688665.1;WP_012739922.1
90111355	b1919	NP_416429.4	D-cysteine desulfhydrase, PLP-dependent	0	N/A		0	N/A		0	N/A		0	N/A	
16129867	b1920	NP_416430.1	cystine transporter subunit	1 to 1	RBB	WP_014569172.1	0	N/A		0	N/A		0	N/A	
90111356	b1921	NP_416431.2	RpoS antagonist; putative regulator of FliA activity	0	N/A		0	N/A		0	N/A		0	N/A	
49176170	b1922	NP_416432.3	RNA polymerase, sigma 28 (sigma F) factor	0	N/A		1 to 1	RBB	WP_012742620.1	0	N/A		1 to 1	RBB	WP_012739084.1
16129870	b1923	NP_416433.1	flagellar filament structural protein (flagellin)	0	N/A		3 to 1	RBB	WP_012740966.1;WP_012744006.1;WP_012744138.1	0	N/A		4 to 1	RBB	WP_012740256.1;WP_041687881.1;WP_012738675.1;WP_012738537.1
16129871	b1924	NP_416434.1	flagellar filament capping protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129872	b1925	NP_416435.1	flagellar protein potentiates polymerization	0	N/A		1 to 1	RBB	WP_012744009.1	0	N/A		0	N/A	
16129873	b1926	NP_416436.1	predicted chaperone	0	N/A		0	N/A		0	N/A		0	N/A	
16129874	b1927	NP_416437.1	cytoplasmic alpha-amylase	0	N/A		0	N/A		0	N/A		0	N/A	
16129875	b1928	NP_416438.1	lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A	
16129876	b1929	NP_416439.1	predicted inner membrane protein	1 to 1	RBB	WP_005687429.1	0	N/A		0	N/A		0	N/A	
16129877	b1930	NP_416440.1	conserved protein, UPF0033 family	0	N/A		0	N/A		0	N/A		0	N/A	
49176171	b1931	YP_025310.1	predicted protein	0	N/A		1 to 1	Borderline-SSD	WP_012744277.1	0	N/A		0	N/A	
16129879	b1932	NP_416442.1	predicted acyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
16129884	b1937	NP_416447.1	flagellar basal-body component	0	N/A		1 to 1	RBB	WP_012742651.1	0	N/A		0	N/A	
16129885	b1938	NP_416448.1	flagellar basal-body MS-ring and collar protein	0	N/A		1 to 1	RBB	WP_012742650.1	0	N/A		0	N/A	
16129886	b1939	NP_416449.1	flagellar motor switching and energizing component	0	N/A		1 to 1	RBB	WP_012742649.1	0	N/A		1 to 1	RBB	WP_041688039.1
90111357	b1940	NP_416450.2	negative regulator of FliI ATPase activity	0	N/A		0	N/A		0	N/A		0	N/A	
16129888	b1941	NP_416451.1	flagellum-specific ATP synthase	0	N/A		1 to 1	RBB	WP_012742647.1	0	N/A		1 to 1	RBB	WP_041688537.1
16129889	b1942	NP_416452.1	flagellar protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129890	b1943	NP_416453.1	flagellar hook-length control protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041688539.1
16129891	b1944	NP_416454.1	flagellar biosynthesis protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129892	b1945	NP_416455.1	flagellar motor switching and energizing component	0	N/A		1 to 1	RBB	WP_012742637.1	0	N/A		1 to 1	RBB	WP_012739066.1
16129893	b1946	NP_416456.1	flagellar motor switching and energizing component	0	N/A		1 to 1	RBB	WP_012742636.1	0	N/A		1 to 1	RBB	WP_012739067.1
90111358	b1947	NP_416457.4	flagellar biosynthesis protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129895	b1948	NP_416458.1	flagellar biosynthesis protein	0	N/A		1 to 1	RBB	WP_012742634.1	0	N/A		1 to 1	RBB	WP_012739070.1
16129896	b1949	NP_416459.1	flagellar biosynthesis protein	0	N/A		1 to 1	RBB	WP_012742633.1	0	N/A		0	N/A	
16129897	b1950	NP_416460.1	flagellar export pore protein	0	N/A		1 to 1	RBB	WP_012742632.1	0	N/A		1 to 1	RBB	WP_012739072.1
16129898	b1951	NP_416461.1	DNA-binding transcriptional activator, co-regulator with RcsB	0	N/A		0	N/A		0	N/A		0	N/A	
16129899	b1952	NP_416462.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111359	b1953	NP_416463.4	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129901	b1955	NP_416464.1	predicted mannosyl-3-phosphoglycerate phosphatase	0	N/A		0	N/A		0	N/A		0	N/A	
90111360	b1956	NP_416465.2	predicted diguanylate cyclase	0	N/A		1 to 1	RBB	WP_012742847.1	0	N/A		0	N/A	
16129903	b1957	NP_416466.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129904	b1958	NP_416467.1	conserved inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129905	b1959	NP_416468.1	inner membrane protein, predicted transporter, DMT superfamily	0	N/A		0	N/A		0	N/A		0	N/A	
16129906	b1960	NP_416469.1	DNA mismatch endonuclease of very short patch repair	0	N/A		1 to 1	RBB	WP_041254391.1	0	N/A		1 to 1	RBB	WP_012740012.1
16129907	b1961	NP_416470.1	DNA cytosine methyltransferase	0	N/A		1 to 1	RBB	WP_041253770.1	0	N/A		1 to 1	RBB	WP_012740016.1
16129908	b1962	NP_416471.1	predicted hydrolase, HD superfamily	1 to 1	RBB	WP_005717291.1	0	N/A		0	N/A		0	N/A	
90111361	b1963	NP_416472.2	inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129913	b1967	NP_416476.1	Hsp31 molecular chaperone	0	N/A		0	N/A		1 to 1	SSD	WP_008667973.1	0	N/A	
16129914	b1968	NP_416477.1	predicted sensory kinase in two-component regulatory system with YedW	0	N/A		1 to 2	RBB	WP_012744045.1	0	N/A		0	N/A	
90111362	b1969	NP_416478.2	predicted DNA-binding response regulator in two-component system with YedV	1 to 1	RBB	WP_003565833.1	0	N/A		0	N/A		0	N/A	
16129916	b1970	NP_416479.1	Hydroxyisourate hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
16129917	b1971	NP_416480.1	membrane-anchored, periplasmic TMAO, DMSO reductase	0	N/A		0	N/A		0	N/A		0	N/A	
16129918	b1972	NP_416481.1	inner membrane heme subunit for periplasmic YedYZ reductase	0	N/A		0	N/A		0	N/A		0	N/A	
16129919	b1973	NP_416482.1	zinc and cadmium binding protein, periplasmic	0	N/A		0	N/A		0	N/A		0	N/A	
90111363	b1974	NP_416483.4	cytochrome b561 homolog	0	N/A		0	N/A		0	N/A		0	N/A	
90111364	b1976	NP_416484.2	anti-repressor for DgsA(Mlc)	0	N/A		0	N/A		0	N/A		0	N/A	
145698281	b1978	NP_416485.4	probable adhesin	0	N/A		0	N/A		0	N/A		0	N/A	
16129925	b1981	NP_416488.1	shikimate transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129926	b1982	NP_416489.1	AMP nucleosidase	0	N/A		0	N/A		1 to 1	RBB	WP_005842027.1	0	N/A	
16129927	b1983	NP_416490.1	conserved protein, UPF0082 family	0	N/A		0	N/A		1 to 2	RBB	WP_005839937.1	0	N/A	
226524727	b1985	NP_416491.2	predicted multdrug exporter, MATE family	0	N/A		1 to 1	RBB	WP_012741568.1	1 to 1	RBB	WP_005839178.1	2 to 1	RBB	WP_041688257.1;WP_012739623.1
16129929	b1987	NP_416492.1	DNA-binding transcriptional activator for the ssuEADCB and tauABCD operons	0	N/A		0	N/A		0	N/A		0	N/A	
16129930	b1988	NP_416493.1	DNA-binding transcriptional dual regulator of nitrogen assimilation	0	N/A		0	N/A		0	N/A		0	N/A	
16129931	b1990	NP_416494.1	L,D-transpeptidase linking Lpp to murein	0	N/A		1 to 2	RBB	WP_041254636.1	0	N/A		0	N/A	
16129932	b1991	NP_416495.1	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	0	N/A		1 to 1	RBB	WP_012742766.1	1 to 1	RBB	WP_005846445.1	0	N/A	
16129933	b1992	NP_416496.1	cobalamin synthase	0	N/A		1 to 1	RBB	WP_041254070.1	1 to 1	RBB	WP_012055562.1	0	N/A	
16129934	b1993	NP_416497.1	bifunctional cobinamide kinase/ cobinamide phosphate guanylyltransferase	0	N/A		1 to 1	RBB	WP_012742765.1	1 to 1	RBB	WP_012055563.1	0	N/A	
16129935	b1994	NP_416498.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A		0	N/A	
16129937	b1996	NP_416500.1	IS2 transposase TnpB	0	N/A		0	N/A		0	N/A		0	N/A	
145698282	b1997	YP_026163.2	IS2 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A	
49176177	b2000	YP_026164.1	CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter	0	N/A		0	N/A		0	N/A		0	N/A	
90111368	b2001	NP_416505.2	CP4-44 prophage; predicted membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129943	b2002	NP_416506.1	CP4-44 prophage; predicted DNA repair protein	0	N/A		0	N/A		2 to 3	RBB	WP_005841800.1;WP_012055582.1	0	N/A	
16129944	b2003	NP_416507.1	CP4-44 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129945	b2004	NP_416508.1	CP4-44 prophage; antitoxin of the YeeV-YeeU toxin-antitoxin system	0	N/A		0	N/A		0	N/A		0	N/A	
16129946	b2005	NP_416509.1	CP4-44 prophage; toxin of the YeeV-YeeU toxin-antitoxin system	0	N/A		0	N/A		0	N/A		0	N/A	
145698283	b2007	NP_416511.4	conserved protein, UPF0265 family	0	N/A		0	N/A		0	N/A		0	N/A	
16129949	b2008	NP_416512.1	inner membrane protein, FUSC family	0	N/A		0	N/A		0	N/A		0	N/A	
16129950	b2009	NP_416513.1	DNA gyrase inhibitor	0	N/A		0	N/A		0	N/A		0	N/A	
162135904	b2010	NP_416514.4	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6b)	1 to 3	RBB	WP_005685321.1	1 to 2	RBB	WP_041254704.1	0	N/A		1 to 3	RBB	WP_041688858.1
16129952	b2011	NP_416515.1	exonuclease I	0	N/A		0	N/A		0	N/A		0	N/A	
16129953	b2012	NP_416516.1	conserved protein	0	N/A		1 to 1	RBB	WP_012741768.1	0	N/A		1 to 1	RBB	WP_012738889.1
16129954	b2013	NP_416517.1	inner membrane protein, UPF0394 family	0	N/A		0	N/A		0	N/A		0	N/A	
90111370	b2014	NP_416518.2	predicted amino-acid transporter	0	N/A		1 to 5	RBB	WP_012741025.1	1 to 2	RBB	WP_008669383.1	0	N/A	
90111371	b2015	NP_416519.4	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16129957	b2016	NP_416520.1	predicted epimerase, with NAD(P)-binding Rossmann-fold domain	0	N/A		0	N/A		0	N/A		0	N/A	
90111372	b2017	NP_416521.2	antitoxin of the YoeB-YefM toxin-antitoxin system	0	N/A		0	N/A		0	N/A		0	N/A	
16129959	b2018	NP_416522.1	his operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A	
16129960	b2019	NP_416523.1	ATP phosphoribosyltransferase	1 to 1	RBB	WP_005687483.1	1 to 1	SSD	WP_012742528.1	1 to 1	SSD	WP_005846273.1	1 to 1	RBB	WP_012739259.1
16129961	b2020	NP_416524.1	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase	1 to 1	RBB	WP_014569645.1	1 to 1	SSD	WP_012742529.1	1 to 1	SSD	WP_005846275.1	1 to 1	RBB	WP_012739258.1
16129962	b2021	NP_416525.1	histidinol-phosphate aminotransferase	2 to 1	RBB	WP_005687479.1;WP_005687500.1	1 to 1	RBB	WP_012742249.1	1 to 1	SSD	WP_005846277.1	1 to 1	RBB	WP_041687991.1
90111373	b2022	NP_416526.4	fused histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase	1 to 1	RBB	WP_005687487.1	1 to 1	SSD	WP_012742530.1	1 to 1	SSD	WP_011965571.1	1 to 1	RBB	WP_012739257.1
16129964	b2023	NP_416527.1	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit with HisF	1 to 1	RBB	WP_005687489.1	1 to 1	SSD	WP_012742320.1	1 to 1	SSD	WP_005841208.1	1 to 1	RBB	WP_012739124.1
90111374	b2024	NP_416528.2	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1- (5'-phosphoribosyl)-4-imidazolecarboxamide isomerase	1 to 1	RBB	WP_005687491.1	0	N/A		1 to 1	SSD	WP_005841209.1	1 to 1	RBB	WP_012739256.1
16129966	b2025	NP_416529.1	imidazole glycerol phosphate synthase, catalytic subunit with HisH	1 to 1	RBB	WP_005687493.1	1 to 1	SSD	WP_012742321.1	1 to 1	SSD	WP_005841210.1	1 to 1	RBB	WP_012739125.1
16129967	b2026	NP_416530.1	fused phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase	1 to 1	RBB	WP_005687495.1	1 to 1	SSD	WP_012742531.1	1 to 1	SSD	WP_005841211.1	0	N/A	
90111375	b2027	NP_416531.4	regulator of length of O-antigen component of lipopolysaccharide chains	0	N/A		0	N/A		0	N/A		0	N/A	
