Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog count (reference : comparison)	Mycobacterium avium subsp. paratuberculosis K-10 - ortholuge status	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus N315 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus N315 - ortholuge status	Staphylococcus aureus subsp. aureus N315 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Mycobacterium abscessus ATCC 19977 - ortholog count (reference : comparison)	Mycobacterium abscessus ATCC 19977 - ortholuge status	Mycobacterium abscessus ATCC 19977 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Mycobacterium intracellulare ATCC 13950 - ortholog count (reference : comparison)	Mycobacterium intracellulare ATCC 13950 - ortholuge status	Mycobacterium intracellulare ATCC 13950 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Mycobacterium marinum M - ortholog count (reference : comparison)	Mycobacterium marinum M - ortholuge status	Mycobacterium marinum M - ortholog NCBI RefSeq accession	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog count (reference : comparison)	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholuge status	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Mycobacterium avium 104 - ortholog count (reference : comparison)	Mycobacterium avium 104 - ortholuge status	Mycobacterium avium 104 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholuge status	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholuge status	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog NCBI RefSeq accession	Acinetobacter baumannii AYE - ortholog count (reference : comparison)	Acinetobacter baumannii AYE - ortholuge status	Acinetobacter baumannii AYE - ortholog NCBI RefSeq accession	Enterococcus faecium Aus0004 - ortholog count (reference : comparison)	Enterococcus faecium Aus0004 - ortholuge status	Enterococcus faecium Aus0004 - ortholog NCBI RefSeq accession
397673556	RVBD_1699	WP_003408396.1	CTP synthase	1 to 1	SSD	YP_005239067	1 to 1	SSD	WP_003876320.1	1 to 1	RBB	WP_000159960.1	1 to 1	RBB	NP_417260.1	1 to 1	SSD	NP_252327.1	1 to 1	SSD	YP_001703099	1 to 1	SSD	WP_003092366.1	1 to 1	SSD	NP_461874.1	1 to 1	SSD	WP_014380300.1	1 to 1	SSD	YP_001084929	1 to 1	SSD	WP_012394244.1	1 to 1	SSD	YP_888045.1	1 to 1	RBB	YP_002388244	1 to 1	SSD	WP_003876320.1	1 to 1	SSD	WP_004142808.1	1 to 1	RBB	YP_001575991	1 to 1	RBB	YP_500844.1	1 to 1	SSD	WP_000148658.1	1 to 1	RBB	WP_002286999.1
397673557	RVBD_1700	WP_003408399.1	ADP-ribose pyrophosphatase	0	N/A		1 to 1	SSD	WP_003876321.1	1 to 1	RBB	WP_000365240.1	0	N/A		1 to 1	RBB	NP_253863.1	1 to 1	Borderline-SSD	YP_001703100	1 to 1	RBB	WP_003096206.1	0	N/A		1 to 1	SSD	WP_009955788.1	0	N/A		1 to 1	SSD	WP_012394245.1	1 to 1	SSD	YP_888044.1	0	N/A		1 to 1	SSD	WP_003876321.1	1 to 1	SSD	WP_014906752.1	1 to 1	RBB	YP_001575386	1 to 1	RBB	YP_500108.1	0	N/A		1 to 1	RBB	WP_002325125.1
397673558	RVBD_1701	WP_003408401.1	tyrosine recombinase XerD	1 to 2	RBB	YP_005239179;YP_005240209	1 to 1	SSD	WP_003876322.1	1 to 1	RBB	WP_000447733.1	1 to 1	RBB	NP_417370.1	1 to 1	SSD	NP_252427.1	1 to 1	SSD	YP_001703101	1 to 1	SSD	WP_003092629.1	1 to 2	RBB	NP_461960.1;NP_462834.1	1 to 1	SSD	WP_014380299.1	2 to 1	RBB	YP_001085648	1 to 1	SSD	WP_012394246.1	1 to 1	SSD	YP_888043.1	1 to 1	RBB	YP_002388355	1 to 1	SSD	WP_009977243.1	2 to 1	RBB	WP_002883396.1;WP_004144729.1	1 to 1	RBB	YP_001575384	1 to 1	RBB	YP_500106.1	2 to 1	SSD	WP_000445479.1	1 to 2	RBB	WP_002288415.1;WP_002294386.1
397673560	RVBD_1702Ac	YP_006515095	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673559	RVBD_1702c	WP_003898977.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		4 to 1	RBB	YP_001701147	0	N/A		0	N/A		2 to 4	RBB	WP_014380151.1;WP_014380269.1;WP_014380470.1;WP_008260048.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_033722709.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673561	RVBD_1703c	WP_014848103.1	catechol O-methyltransferase	0	N/A		1 to 1	SSD	WP_003876323.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001702060	0	N/A		0	N/A		1 to 1	SSD	WP_014380298.1	0	N/A		1 to 1	SSD	WP_012394247.1	0	N/A		0	N/A		1 to 1	SSD	WP_011725231.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673562	RVBD_1704c	WP_009936386.1	AAT family amino acid transporter	1 to 1	RBB	YP_005240713	0	N/A		1 to 2	RBB	WP_000818525.1;NP_375549.1	1 to 1	RBB	NP_418629.1	1 to 4	RBB	NP_249480.1;NP_249557.1;NP_251690.1;NP_253784.1	1 to 2	RBB	YP_001703270;YP_001704594	1 to 4	RBB	WP_003091187.1;WP_003085884.1;WP_003140920.1;WP_003141829.1	1 to 1	RBB	NP_463259.1	0	N/A		1 to 4	RBB	YP_001083189;YP_001083190;YP_001084126;YP_001085652	1 to 1	RBB	WP_012392980.1	1 to 1	Non-SSD	YP_887890.1	1 to 1	RBB	YP_002389675	0	N/A		1 to 1	RBB	WP_002886688.1	1 to 2	RBB	YP_001575569;YP_001576293	1 to 2	RBB	YP_500308.1;YP_501192.1	1 to 3	RBB	WP_000070815.1;WP_000178999.1;WP_000205436.1	1 to 2	RBB	WP_002294242.1;WP_002286847.1
397673563	RVBD_1705c	WP_003898979.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012392981.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673566	RVBD_1706A	WP_003408420.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673564	RVBD_1706c	WP_003898980.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012394257.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673565	RVBD_1706Xc	YP_006515100	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673567	RVBD_1707	WP_003898981.1	SulP family sulfate permease	1 to 1	RBB	YP_005237713	0	N/A		0	N/A		1 to 1	RBB	NP_415724.2	1 to 1	RBB	NP_251253.1	0	N/A		1 to 1	RBB	WP_003139042.1	1 to 1	RBB	NP_460737.2	0	N/A		1 to 2	RBB	YP_001083293;YP_001084982	1 to 1	RBB	WP_041325515.1	1 to 2	RBB	YP_885626.1;YP_890665.1	1 to 1	RBB	YP_002386673	0	N/A		1 to 1	RBB	WP_004175549.1	0	N/A		0	N/A		1 to 2	RBB	WP_000957176.1;WP_000492599.1	1 to 1	RBB	WP_002294025.1
397673568	RVBD_1708	WP_003911586.1	chromosome partitioning protein	3 to 1	RBB	YP_005238743	1 to 1	SSD	WP_003876324.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001703102	0	N/A		3 to 1	RBB	NP_460771.1	1 to 1	SSD	WP_008257550.1	3 to 1	RBB	YP_001084580	1 to 1	SSD	WP_041324617.1	1 to 1	SSD	YP_888042.1	0	N/A		1 to 1	SSD	WP_009977240.1	1 to 1	RBB	WP_004173940.1	0	N/A		0	N/A		0	N/A		0	N/A	
397673569	RVBD_1709	WP_003408432.1	segregation and condensation protein A	0	N/A		1 to 1	SSD	WP_003876325.1	1 to 1	RBB	WP_000273371.1	0	N/A		1 to 1	SSD	NP_251888.1	1 to 1	SSD	YP_001703103	1 to 1	SSD	WP_003452803.1	0	N/A		1 to 1	SSD	WP_008257548.1	0	N/A		1 to 1	SSD	WP_011741055.1	1 to 1	SSD	YP_888041.1	0	N/A		1 to 1	SSD	WP_003876325.1	0	N/A		1 to 1	RBB	YP_001575382	1 to 1	RBB	YP_500104.1	1 to 1	RBB	WP_001076479.1	1 to 1	RBB	WP_033583401.1
397673570	RVBD_1710	WP_003408436.1	segregation and condensation protein B	0	N/A		1 to 1	SSD	WP_003877803.1	1 to 1	RBB	WP_000368656.1	0	N/A		1 to 1	SSD	NP_251887.1	1 to 1	SSD	YP_001703104	1 to 1	SSD	WP_003138436.1	0	N/A		1 to 1	SSD	WP_026071366.1	1 to 1	RBB	YP_001083851	1 to 1	SSD	WP_011741054.1	1 to 1	SSD	YP_888040.1	0	N/A		1 to 1	SSD	WP_009977237.1	0	N/A		0	N/A		1 to 1	RBB	YP_500103.1	1 to 1	RBB	WP_000093856.1	1 to 1	RBB	WP_002296975.1
397673571	RVBD_1711	WP_003898983.1	pseudouridine synthase	1 to 1	RBB	YP_005237646	1 to 1	SSD	WP_003876327.1	1 to 1	RBB	WP_000159577.1	1 to 1	RBB	NP_415785.1	1 to 1	RBB	NP_251869.1	1 to 1	SSD	YP_001703105	1 to 1	SSD	WP_003113439.1	1 to 1	RBB	NP_460678.1	1 to 1	SSD	WP_014380296.1	1 to 1	RBB	YP_001083850	1 to 1	SSD	WP_011741053.1	1 to 1	SSD	YP_888039.1	1 to 1	RBB	YP_002386733	1 to 1	SSD	WP_031344368.1	1 to 1	RBB	WP_002901746.1	1 to 1	RBB	YP_001575381	1 to 1	RBB	YP_500102.1	1 to 1	RBB	WP_001291249.1	1 to 2	RBB	WP_002294391.1;WP_002285969.1
397673572	RVBD_1712	WP_003408441.1	cytidylate kinase	1 to 1	RBB	YP_005236699	1 to 1	SSD	WP_003876328.1	1 to 1	RBB	WP_000644391.1	1 to 1	RBB	NP_415430.1	1 to 1	SSD	NP_251853.1	1 to 1	SSD	YP_001703106	1 to 1	SSD	WP_003106707.1	1 to 1	RBB	NP_459955.1	1 to 1	SSD	WP_014380295.1	1 to 1	RBB	YP_001084600	1 to 1	SSD	WP_041325254.1	1 to 1	SSD	YP_888038.1	1 to 1	RBB	YP_002386410	1 to 1	SSD	WP_011725229.1	1 to 1	RBB	WP_041168980.1	1 to 1	RBB	YP_001575304	1 to 1	RBB	YP_500015.2	1 to 1	RBB	WP_000218021.1	1 to 1	RBB	WP_002303123.1
397673573	RVBD_1713	WP_003898984.1	GTPase Der	1 to 1	RBB	YP_005238616	1 to 1	SSD	WP_003877804.1	1 to 1	RBB	WP_000165530.1	1 to 1	RBB	NP_417006.2	1 to 1	SSD	NP_252488.1	1 to 1	SSD	YP_001703107	1 to 1	SSD	WP_003137857.1	1 to 1	RBB	NP_461454.1	1 to 1	SSD	WP_014380294.1	1 to 1	RBB	YP_001083561	1 to 1	SSD	WP_012394265.1	1 to 1	SSD	YP_888037.1	1 to 1	RBB	YP_002387949	1 to 1	SSD	WP_009977234.1	1 to 1	RBB	WP_004144309.1	1 to 1	RBB	YP_001575301	1 to 1	RBB	YP_500010.1	1 to 1	RBB	WP_000805592.1	1 to 1	RBB	WP_002296982.1
397673574	RVBD_1714	WP_003408444.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001705213	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673575	RVBD_1715	WP_003898985.1	3-hydroxybutyryl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001705212	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001084291	1 to 1	RBB	WP_011740515.1	1 to 1	RBB	YP_890999.1	1 to 1	RBB	YP_002386923	0	N/A		1 to 1	RBB	WP_004184318.1	0	N/A		0	N/A		0	N/A		0	N/A	
397673576	RVBD_1716	WP_003916848.1	arylformamidase	0	N/A		0	N/A		1 to 1	RBB	WP_000195907.1	0	N/A		1 to 1	RBB	NP_250771.1	1 to 1	RBB	YP_001705215	1 to 1	SSD	WP_003139623.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_888277.1	0	N/A		0	N/A		1 to 1	RBB	WP_014907081.1	1 to 1	RBB	YP_001574285	1 to 1	RBB	YP_498927.1	1 to 1	RBB	WP_031944284.1	0	N/A	
397673577	RVBD_1717	WP_003898986.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001705214	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673578	RVBD_1718	WP_003408456.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_254074.1	0	N/A		1 to 1	RBB	WP_003142066.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	YP_890586.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673579	RVBD_1719	WP_003408460.1	transcriptional regulator	1 to 3	RBB	YP_005237787;YP_005239903;YP_005240471	1 to 1	RBB	WP_003875328.1	0	N/A		1 to 5	RBB	NP_414806.1;NP_415039.1;NP_416341.1;NP_418031.1;NP_418442.2	0	N/A		1 to 1	Borderline-SSD	YP_001705216	0	N/A		1 to 3	RBB	NP_460798.1;NP_462567.1;NP_463052.1	1 to 2	RBB	WP_044059206.1;WP_014380542.1	1 to 1	RBB	YP_001084385	1 to 1	RBB	WP_012395980.1	1 to 1	RBB	YP_886822.1	1 to 4	RBB	YP_002385984;YP_002387314;YP_002389048;YP_002389482	1 to 1	RBB	WP_011725512.1	4 to 1	RBB	WP_002911378.1;WP_012737529.1;WP_002913046.1;WP_002884578.1	0	N/A		0	N/A		1 to 3	RBB	WP_000081481.1;WP_000996083.1;WP_001139492.1	1 to 1	RBB	WP_002294170.1
397673580	RVBD_1719A	YP_006515115	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673581	RVBD_1720c	WP_003408465.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673582	RVBD_1721c	WP_003408469.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673583	RVBD_1722	WP_003915556.1	carboxylase	0	N/A		1 to 1	RBB	WP_003876687.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012395031.1	0	N/A		0	N/A		1 to 1	RBB	WP_009976816.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673584	RVBD_1723	WP_003408476.1	hydrolase	0	N/A		1 to 1	RBB	WP_003876686.1	0	N/A		0	N/A		1 to 2	RBB	NP_250918.1;NP_254229.1	0	N/A		1 to 1	RBB	WP_003142163.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012395030.1	0	N/A		0	N/A		1 to 1	RBB	WP_011724996.1	1 to 1	RBB	WP_014907180.1	0	N/A		0	N/A		0	N/A		0	N/A	
397673585	RVBD_1724c	WP_003408483.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673586	RVBD_1725c	WP_003408486.1	hypothetical protein	2 to 1	RBB	YP_005240717	0	N/A		0	N/A		2 to 1	RBB	NP_418633.4	0	N/A		0	N/A		0	N/A		2 to 1	RBB	NP_463263.1	1 to 1	RBB	WP_009954862.1	0	N/A		1 to 1	RBB	WP_012393456.1	1 to 1	RBB	YP_889283.1	2 to 1	RBB	YP_002389679	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673587	RVBD_1726	WP_003900395.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	YP_886118.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673588	RVBD_1727	WP_003408493.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	YP_001703165	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673589	RVBD_1728c	WP_003898988.1	hypothetical protein	0	N/A		1 to 1	Borderline-SSD	WP_003877283.1	0	N/A		0	N/A		0	N/A		2 to 1	RBB	YP_001702534	0	N/A		0	N/A		1 to 1	Non-SSD	WP_029384887.1	0	N/A		1 to 1	SSD	WP_012394296.1	1 to 1	RBB	YP_888015.1	0	N/A		1 to 1	Borderline-SSD	WP_003877283.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673590	RVBD_1729c	WP_003408497.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_003873489.1	0	N/A		0	N/A		0	N/A		4 to 1	RBB	YP_001704516	0	N/A		0	N/A		1 to 1	RBB	WP_009952586.1	0	N/A		1 to 1	RBB	WP_012392955.1	1 to 1	RBB	YP_885861.1	0	N/A		1 to 1	RBB	WP_011726070.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673591	RVBD_1730c	WP_003408499.1	hypothetical protein	3 to 1	RBB	YP_005236056	0	N/A		1 to 1	RBB	WP_000208563.1	1 to 2	RBB	NP_414910.1;NP_418574.1	1 to 1	RBB	NP_250488.1	0	N/A		1 to 1	RBB	WP_003139940.1	3 to 1	RBB	NP_459370.2	1 to 1	RBB	WP_009952584.1	1 to 1	RBB	YP_001085388	0	N/A		0	N/A		1 to 2	RBB	YP_002385848;YP_002389621	0	N/A		0	N/A		1 to 1	RBB	YP_001576298	1 to 1	RBB	YP_501197.1	1 to 1	SSD	WP_001211205.1	2 to 1	RBB	WP_002287263.1
397673592	RVBD_1731	WP_003898989.1	succinate-semialdehyde dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	YP_001704863	0	N/A		0	N/A		1 to 1	SSD	WP_014380284.1	0	N/A		1 to 1	RBB	WP_012394298.1	1 to 1	SSD	YP_890138.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673593	RVBD_1732c	WP_003408503.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_011740216.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673595	RVBD_1733A	YP_006515130	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673594	RVBD_1733c	WP_003911592.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_041787183.1	0	N/A		1 to 1	Borderline-SSD	WP_012395133.1	1 to 2	RBB	YP_885521.1;YP_890884.1	0	N/A		1 to 1	Borderline-SSD	WP_033722543.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673596	RVBD_1734c	WP_003408509.1	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012395123.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673598	RVBD_1735Ac	WP_003408513.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108344	RVBD_1735c	WP_003898991.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	WP_008263842.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673599	RVBD_1736c	WP_023637526.1	nitrate reductase-like protein narX	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673600	RVBD_1737c	WP_003898992.1	"MFS transporter, NNP family, nitrate/nitrite transporter"	0	N/A		0	N/A		1 to 1	RBB	WP_000278556.1	0	N/A		1 to 1	RBB	NP_250474.1	0	N/A		1 to 1	RBB	WP_003087861.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_889387.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001576239	1 to 1	RBB	YP_501133.1	0	N/A		0	N/A	
397673601	RVBD_1738	WP_003408522.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673602	RVBD_1739c	WP_003916850.1	sulfate permease	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_250338.1	1 to 1	RBB	YP_001705171	1 to 1	RBB	WP_003140117.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673603	RVBD_1740	WP_003408528.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673604	RVBD_1741	WP_003898996.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673605	RVBD_1742	WP_003898997.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012394307.1	1 to 1	RBB	YP_891034.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673606	RVBD_1743	WP_003898998.1	serine/threonine-protein kinase pknE	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_014711780.1	0	N/A		1 to 1	RBB	WP_012394308.1	2 to 1	RBB	YP_888641.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673607	RVBD_1744c	WP_003408538.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673608	RVBD_1745c	WP_003898999.1	isopentenyl-diphosphate Delta-isomerase	1 to 1	RBB	YP_005239174	0	N/A		0	N/A		1 to 1	RBB	NP_417365.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	NP_461955.1	0	N/A		0	N/A		1 to 1	Non-SSD	WP_012394881.1	0	N/A		1 to 1	RBB	YP_002388350	0	N/A		1 to 1	SSD	WP_002916298.1	0	N/A		0	N/A		0	N/A		0	N/A	
