Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Streptococcus pneumoniae D39 - ortholog count (reference : comparison)	Streptococcus pneumoniae D39 - ortholuge status	Streptococcus pneumoniae D39 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus str. Newman - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus str. Newman - ortholuge status	Staphylococcus aureus subsp. aureus str. Newman - ortholog NCBI RefSeq accession	Bacillus subtilis subsp. subtilis str. 168 - ortholog count (reference : comparison)	Bacillus subtilis subsp. subtilis str. 168 - ortholuge status	Bacillus subtilis subsp. subtilis str. 168 - ortholog NCBI RefSeq accession
16130588	b2674	NP_417160.1	flavodoxin required for NrdEF cluster assembly	1 to 1	Non-SSD	YP_815679.1	1 to 1	RBB	WP_000692521.1	1 to 2	RBB	NP_389619.1;NP_389889.1
16130589	b2675	NP_417161.1	ribonucleoside-diphosphate reductase 2, alpha subunit	1 to 1	Non-SSD	YP_816516.1	1 to 1	RBB	WP_000855505.1	1 to 2	RBB	NP_389620.1;NP_389888.2
16130590	b2676	NP_417162.1	ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like protein	1 to 1	Non-SSD	YP_816517.1	1 to 1	RBB	WP_000562498.1	1 to 2	RBB	NP_389621.1;NP_389886.2
16130591	b2677	NP_417163.1	glycine betaine transporter subunit	0	N/A		0	N/A		1 to 1	RBB	NP_388180.2
16130592	b2678	NP_417164.1	glycine betaine transporter subunit	0	N/A		0	N/A		1 to 1	RBB	NP_388181.1
16130593	b2679	NP_417165.1	glycine betaine transporter subunit	0	N/A		0	N/A		0	N/A	
16130594	b2682	NP_417167.1	probable L-valine exporter, norvaline resistance	0	N/A		1 to 1	RBB	WP_000207095.1	1 to 1	RBB	NP_390548.1
16130595	b2683	NP_417168.1	probable L-valine exporter, norvaline resistance	0	N/A		0	N/A		0	N/A	
16130596	b2684	NP_417169.1	DNA-binding transcriptional repressor of microcin B17 synthesis and multidrug efflux	0	N/A		1 to 1	RBB	WP_000376235.1	1 to 2	RBB	NP_389217.1;NP_389250.1
16130597	b2685	NP_417170.1	multidrug efflux system	1 to 2	RBB	YP_816180.1	1 to 4	RBB	WP_000738247.1	4 to 1	RBB	NP_388781.1
16130598	b2686	NP_417171.1	multidrug efflux system protein	0	N/A		2 to 1	RBB	WP_000128093.1;WP_000213874.1	2 to 2	RBB	NP_388266.1;NP_388782.1
16130599	b2687	NP_417172.1	S-ribosylhomocysteine lyase	1 to 1	RBB	YP_815826.1	1 to 1	RBB	WP_000164421.1	1 to 1	RBB	NP_390945.1
16130600	b2688	NP_417173.1	glutamate-cysteine ligase	0	N/A		0	N/A		0	N/A	
16130601	b2689	NP_417174.1	inner membrane protein, COG1238 family	0	N/A		0	N/A		0	N/A	
16130602	b2690	NP_417175.1	fructose-1-P and 6-phosphogluconate phosphatase	0	N/A		1 to 2	RBB	WP_000285450.1	0	N/A	
16130603	b2696	NP_417176.1	pleiotropic regulatory protein for carbon source metabolism	0	N/A		0	N/A		1 to 1	SSD	NP_391417.1
16130604	b2697	NP_417177.1	alanyl-tRNA synthetase	1 to 1	SSD	YP_816683.1	1 to 1	SSD	WP_000734064.1	1 to 1	SSD	NP_390618.1
16130605	b2698	NP_417178.1	regulatory protein for RecA	0	N/A		0	N/A		0	N/A	
16130606	b2699	NP_417179.1	DNA strand exchange and recombination protein with protease and nuclease activity	1 to 1	SSD	YP_817162.1	1 to 1	RBB	WP_000368166.1	1 to 1	SSD	NP_389576.2
16130607	b2700	NP_417180.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130608	b2701	NP_417181.1	membrane-bound lytic murein transglycosylase B	0	N/A		0	N/A		0	N/A	
49176260	b2702	YP_026180.1	glucitol/sorbitol-specific enzyme IIC component of PTS	0	N/A		0	N/A		0	N/A	
49176261	b2703	YP_026181.1	glucitol/sorbitol-specific enzyme IIB component of PTS	0	N/A		0	N/A		0	N/A	
16130611	b2704	NP_417184.1	glucitol/sorbitol-specific enzyme IIA component of PTS	0	N/A		0	N/A		0	N/A	
16130612	b2705	NP_417185.1	sorbitol-6-phosphate dehydrogenase	0	N/A		0	N/A		0	N/A	
16130613	b2706	NP_417186.1	DNA-binding transcriptional activator of glucitol operon	0	N/A		0	N/A		0	N/A	
16130614	b2707	NP_417187.1	DNA-bindng transcriptional repressor	0	N/A		0	N/A		2 to 1	RBB	NP_390999.1
90111480	b2708	NP_417188.4	D-arabinose 5-phosphate isomerase	0	N/A		0	N/A		0	N/A	
90111481	b2709	NP_417189.2	Anaerobic nitric oxide reductase DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A	
16130617	b2710	NP_417190.1	anaerobic nitric oxide reductase flavorubredoxin	0	N/A		0	N/A		0	N/A	
16130618	b2711	NP_417191.1	NADH:flavorubredoxin oxidoreductase	1 to 1	RBB	YP_816764.1	0	N/A		0	N/A	
16130619	b2712	NP_417192.1	carbamoyl phosphate phosphatase and maturation protein for [NiFe] hydrogenases	0	N/A		0	N/A		0	N/A	
16130620	b2713	NP_417193.1	formate dehydrogenase-H, [4Fe-4S] ferredoxin subunit	0	N/A		0	N/A		0	N/A	
16130621	b2714	NP_417194.1	DNA-binding transcriptional repressor	0	N/A		0	N/A		0	N/A	
345452722	b2714	NP_417194.2	DNA-binding transcriptional repressor	0	N/A		0	N/A		0	N/A	
49176263	b2715	YP_026182.1	fused cellobiose/arbutin/salicin-specific PTS enzymes: IIB component/IC component	0	N/A		0	N/A		0	N/A	
16130623	b2716	NP_417196.1	cryptic 6-phospho-beta-glucosidase	0	N/A		0	N/A		0	N/A	
16130624	b2717	NP_417197.1	protease involved in processing C-terminal end of HycE	0	N/A		0	N/A		0	N/A	
16130625	b2718	NP_417198.1	protein required for maturation of hydrogenase 3	0	N/A		0	N/A		0	N/A	
16130626	b2719	NP_417199.1	hydrogenase 3 and formate hydrogenase complex, HycG subunit	0	N/A		0	N/A		0	N/A	
16130627	b2720	NP_417200.1	formate hydrogenlyase complex iron-sulfur protein	0	N/A		0	N/A		0	N/A	
16130628	b2721	NP_417201.1	hydrogenase 3, large subunit	0	N/A		0	N/A		0	N/A	
16130629	b2722	NP_417202.1	hydrogenase 3, membrane subunit	0	N/A		0	N/A		0	N/A	
16130630	b2723	NP_417203.1	hydrogenase 3, membrane subunit	0	N/A		0	N/A		0	N/A	
16130631	b2724	NP_417204.1	hydrogenase 3, Fe-S subunit	0	N/A		0	N/A		0	N/A	
16130632	b2725	NP_417205.1	regulator of the transcriptional regulator FhlA	0	N/A		0	N/A		0	N/A	
16130633	b2726	NP_417206.1	protein involved in nickel insertion into hydrogenases 3	0	N/A		0	N/A		0	N/A	
16130634	b2727	NP_417207.1	GTP hydrolase involved in nickel liganding into hydrogenases	0	N/A		1 to 1	SSD	WP_000002973.1	0	N/A	
16130635	b2728	NP_417208.1	protein required for maturation of hydrogenases 1 and 3	0	N/A		0	N/A		0	N/A	
16130636	b2729	NP_417209.1	protein required for maturation of hydrogenases	0	N/A		0	N/A		0	N/A	
226524740	b2730	NP_417210.2	carbamoyl dehydratase, hydrogenases 1,2,3 maturation protein	0	N/A		0	N/A		0	N/A	
16130638	b2731	NP_417211.1	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A	
16130639	b2732	NP_417212.1	predicted protein	0	N/A		0	N/A		0	N/A	
16130640	b2733	NP_417213.1	methyl-directed mismatch repair protein	1 to 1	RBB	YP_817292.1	1 to 1	RBB	WP_000073352.1	1 to 1	SSD	NP_389586.2
16130641	b2734	NP_417214.1	serine/threonine-specific protein phosphatase 2	0	N/A		0	N/A		0	N/A	
226524741	b2735	NP_417215.2	predicted transcriptional regulator, DeoR family	0	N/A		1 to 2	RBB	WP_000587344.1	0	N/A	
16130643	b2736	NP_417216.1	predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain	0	N/A		0	N/A		0	N/A	
16130644	b2737	NP_417217.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130645	b2738	NP_417218.1	predicted class II aldolase	0	N/A		0	N/A		0	N/A	
16130646	b2739	NP_417219.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130647	b2740	NP_417220.1	predicted transporter	0	N/A		0	N/A		0	N/A	
16130648	b2741	NP_417221.1	RNA polymerase, sigma S (sigma 38) factor	0	N/A		0	N/A		0	N/A	
16130649	b2742	NP_417222.1	activator of AmiC murein hydrolase activity, lipoprotein	0	N/A		0	N/A		0	N/A	
16130650	b2743	NP_417223.1	L-isoaspartate protein carboxylmethyltransferase type II	0	N/A		0	N/A		0	N/A	
16130651	b2744	NP_417224.1	broad specificity 5'(3')-nucleotidase and polyphosphatase	0	N/A		0	N/A		0	N/A	
16130652	b2745	NP_417225.1	tRNA(Glu) U13 pseudouridine synthase	0	N/A		0	N/A		0	N/A	
16130653	b2746	NP_417226.1	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	0	N/A		0	N/A		1 to 1	SSD	NP_387972.1
16130654	b2747	NP_417227.1	4-diphosphocytidyl-2C-methyl-D-erythritol synthase	1 to 1	RBB	YP_816596.1	2 to 1	RBB	WP_000872486.1;WP_000638475.1	1 to 1	SSD	NP_387971.1
16130655	b2748	NP_417228.1	cell division protein	0	N/A		0	N/A		0	N/A	
16130656	b2749	NP_417229.1	conserved inner membrane protein	0	N/A		0	N/A		0	N/A	
16130657	b2750	NP_417230.1	adenosine 5'-phosphosulfate kinase	0	N/A		0	N/A		1 to 2	RBB	NP_388972.1;NP_389443.1
16130658	b2751	NP_417231.1	sulfate adenylyltransferase, subunit 1	0	N/A		0	N/A		0	N/A	
16130659	b2752	NP_417232.1	sulfate adenylyltransferase, subunit 2	0	N/A		0	N/A		0	N/A	
16130660	b2753	NP_417233.1	aminopeptidase in alkaline phosphatase isozyme conversion	0	N/A		0	N/A		1 to 1	RBB	NP_391726.1
90111482	b2754	NP_417234.2	probable ssRNA endonuclease, CRISP-associated protein	0	N/A		0	N/A		0	N/A	
16130662	b2755	NP_417235.1	CRISP-associated protein Cas1, predicted DNA endonuclease	0	N/A		0	N/A		0	N/A	
16130663	b2756	NP_417236.1	CRISPR RNA precursor cleavage enzyme; CRISP RNA (crRNA) containing Cascade antiviral complex protein	0	N/A		0	N/A		0	N/A	
90111483	b2757	NP_417237.2	CRISP RNA (crRNA) containing Cascade antiviral complex protein	0	N/A		0	N/A		0	N/A	
16130665	b2758	NP_417238.1	CRISP RNA (crRNA) containing Cascade antiviral complex protein	0	N/A		0	N/A		0	N/A	
16130666	b2759	NP_417239.1	CRISP RNA (crRNA) containing Cascade antiviral complex protein	0	N/A		0	N/A		0	N/A	
16130667	b2760	NP_417240.1	CRISP RNA (crRNA) containing Cascade antiviral complex protein	0	N/A		0	N/A		0	N/A	
16130668	b2761	NP_417241.1	Cas3 predicted helicase needed for Cascade anti-viral activity	0	N/A		0	N/A		0	N/A	
16130669	b2762	NP_417242.1	3'-phosphoadenosine 5'-phosphosulfate reductase	0	N/A		0	N/A		1 to 2	RBB	NP_388974.2;NP_389440.1
16130670	b2763	NP_417243.1	sulfite reductase, beta subunit, NAD(P)-binding, heme-binding	0	N/A		0	N/A		1 to 1	SSD	NP_391223.1
16130671	b2764	NP_417244.1	sulfite reductase, alpha subunit, flavoprotein	0	N/A		1 to 1	RBB	WP_000775152.1	1 to 1	SSD	NP_391224.1
16130672	b2765	NP_417245.1	6-pyruvoyl tetrahydrobiopterin synthase (PTPS)	0	N/A		1 to 1	SSD	WP_000941336.1	1 to 1	RBB	NP_389256.1
90111484	b2766	NP_417246.4	predicted oxidoreductase with FAD/NAD(P)-binding domain	0	N/A		0	N/A		0	N/A	
90111485	b2767	NP_417247.2	predicted 4Fe-4S cluster-containing protein	0	N/A		0	N/A		0	N/A	
16130675	b2768	NP_417248.1	predicted anti-terminator regulatory protein	0	N/A		1 to 1	RBB	WP_001077635.1	1 to 1	RBB	NP_388808.1
90111486	b2769	NP_417249.4	predicted flavoprotein	0	N/A		0	N/A		0	N/A	
90111487	b2770	NP_417250.4	predicted flavoprotein	0	N/A		0	N/A		0	N/A	
90111488	b2771	NP_417251.2	predicted transporter	0	N/A		0	N/A		0	N/A	
90111489	b2774	NP_417254.4	predicted dehydrogenase	0	N/A		0	N/A		0	N/A	
16130682	b2775	NP_417255.1	inner membrane protein, predicted transporter	0	N/A		0	N/A		0	N/A	
16130683	b2776	NP_417256.1	predicted kinase	0	N/A		0	N/A		0	N/A	
16130684	b2777	NP_417257.1	conserved protein	0	N/A		1 to 1	SSD	WP_001062972.1	1 to 1	Borderline-SSD	NP_389257.1
90111490	b2778	NP_417258.4	predicted protein	0	N/A		0	N/A		0	N/A	
16130686	b2779	NP_417259.1	enolase	1 to 1	SSD	YP_816486.1	1 to 1	SSD	WP_001121760.1	1 to 1	SSD	NP_391270.1
16130687	b2780	NP_417260.1	CTP synthetase	1 to 1	SSD	YP_815950.1	1 to 1	SSD	WP_000159960.1	1 to 1	SSD	NP_391596.1
16130688	b2781	NP_417261.1	nucleoside triphosphate pyrophosphohydrolase	0	N/A		1 to 1	RBB	WP_000951450.1	1 to 1	RBB	NP_387939.1
16130689	b2782	NP_417262.1	mRNA interferase toxin, antitoxin is MazE	0	N/A		0	N/A		0	N/A	
16130690	b2783	NP_417263.1	antitoxin of the ChpA-ChpR toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
16130691	b2784	NP_417264.1	(p)ppGpp synthetase I/GTP pyrophosphokinase	0	N/A		0	N/A		0	N/A	
16130692	b2785	NP_417265.1	23S rRNA m(5)U1939 methyltransferase, SAM-dependent	2 to 1	RBB	YP_817130.1;YP_816392.1	1 to 1	RBB	WP_001147868.1	1 to 2	RBB	NP_388555.1;NP_388683.1
16130693	b2786	NP_417266.1	hybrid sensory histidine kinase, in two-component regulatory system with UvrY	0	N/A		0	N/A		0	N/A	
16130694	b2787	NP_417267.1	(D)-glucarate dehydratase 1	0	N/A		0	N/A		1 to 1	RBB	NP_388131.2
16130695	b2788	NP_417268.1	glucarate dehydratase-related protein, substrate unknown	0	N/A		0	N/A		0	N/A	
16130696	b2789	NP_417269.1	predicted D-glucarate transporter	0	N/A		1 to 4	RBB	WP_000660709.1	1 to 1	SSD	NP_388130.2
16130697	b2790	NP_417270.1	predicted flavoprotein	1 to 2	RBB	YP_816620.1	0	N/A		0	N/A	
16130698	b2791	NP_417271.1	tRNA U65 pseudouridine synthase	0	N/A		0	N/A		0	N/A	
16130699	b2792	NP_417272.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130700	b2793	NP_417273.1	secY-interacting protein	0	N/A		0	N/A		0	N/A	
16130701	b2794	NP_417274.1	7-cyano-7-deazaguanine reductase (NADPH-dependent)	1 to 1	RBB	YP_817021.1	1 to 1	RBB	WP_000930014.1	1 to 1	Borderline-SSD	NP_389258.1
16130702	b2795	NP_417275.1	conserved protein, UPF0717 family	0	N/A		0	N/A		0	N/A	
16130703	b2796	NP_417276.1	predicted serine transporter	0	N/A		0	N/A		0	N/A	
16130704	b2797	NP_417277.1	L-serine deaminase II	1 to 3	RBB	YP_815591.1	1 to 3	RBB	WP_000460421.1	3 to 1	RBB	NP_389468.1
226524743	b2798	NP_417278.4	Ssb-binding protein, misidentified as ExoIX	0	N/A		0	N/A		0	N/A	
16130706	b2799	NP_417279.1	L-1,2-propanediol oxidoreductase	0	N/A		0	N/A		0	N/A	
345452723	b2799	NP_417279.2	L-1,2-propanediol oxidoreductase	0	N/A		0	N/A		3 to 1	RBB	NP_390983.2
16130707	b2800	NP_417280.1	L-fuculose-1-phosphate aldolase	1 to 1	SSD	YP_817380.1	0	N/A		0	N/A	
16130708	b2801	NP_417281.1	L-fucose transporter	0	N/A		0	N/A		0	N/A	
16130709	b2802	NP_417282.1	L-fucose isomerase	1 to 1	RBB	YP_817372.1	0	N/A		0	N/A	
16130710	b2803	NP_417283.1	L-fuculokinase	0	N/A		0	N/A		0	N/A	
16130711	b2804	NP_417284.1	L-fucose mutarotase	1 to 1	RBB	YP_817379.1	0	N/A		0	N/A	
16130712	b2805	NP_417285.1	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A	
16130713	b2806	NP_417286.1	23S rRNA C2498 ribose 2'-O-methyltransferase, SAM-dependent	0	N/A		0	N/A		0	N/A	
16130714	b2807	NP_417287.1	inner membrane protein, UPF0382 family	0	N/A		1 to 1	RBB	WP_000765183.1	1 to 1	SSD	NP_391672.2
16130715	b2808	NP_417288.1	DNA-binding transcriptional dual regulator	0	N/A		0	N/A		0	N/A	
90111491	b2809	NP_417289.2	novel lipoprotein	0	N/A		0	N/A		0	N/A	
16130717	b2810	NP_417290.1	cysteine sulfinate desulfinase	0	N/A		0	N/A		0	N/A	
16130718	b2811	NP_417291.1	CsdA-binding activator; Fe-S protein	0	N/A		0	N/A		0	N/A	
16130719	b2812	NP_417292.1	sulfur acceptor for CsdA	0	N/A		1 to 1	RBB	WP_000682646.1	1 to 1	RBB	NP_390632.3
16130720	b2813	NP_417293.1	membrane-bound lytic murein transglycosylase A	0	N/A		0	N/A		0	N/A	
90111492	b2817	NP_417294.4	N-acetylmuramoyl-L-alanine amidase	0	N/A		1 to 3	RBB	WP_000717800.1	1 to 1	RBB	NP_391442.1
16130722	b2818	NP_417295.1	fused acetylglutamate kinase homolog (inactive)/amino acid N-acetyltransferase	0	N/A		0	N/A		0	N/A	
16130723	b2819	NP_417296.1	exonuclease V (RecBCD complex), alpha chain	1 to 1	Non-SSD	YP_815876.1	1 to 1	RBB	WP_001283311.1	1 to 1	RBB	NP_390625.1
16130724	b2820	NP_417297.1	exonuclease V (RecBCD complex), beta subunit	0	N/A		0	N/A		0	N/A	
16130725	b2821	NP_417298.1	protease III	0	N/A		0	N/A		0	N/A	
16130726	b2822	NP_417299.1	exonuclease V (RecBCD complex), gamma chain	0	N/A		0	N/A		0	N/A	
16130727	b2823	NP_417300.1	predicted protein	0	N/A		0	N/A		0	N/A	
90111493	b2824	NP_417301.4	conserved protein, DUF2509 family	0	N/A		0	N/A		0	N/A	
16130729	b2825	NP_417302.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130730	b2826	NP_417303.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130731	b2827	NP_417304.1	thymidylate synthetase	1 to 1	RBB	YP_816080.1	1 to 1	RBB	WP_000934885.1	1 to 1	SSD	NP_390065.1
16130732	b2828	NP_417305.1	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase	1 to 1	SSD	YP_816710.1	1 to 1	RBB	WP_000513308.1	1 to 1	RBB	NP_391379.1
16130733	b2829	NP_417306.1	fused PTS enzyme: PEP-protein phosphotransferase (enzyme I)/GAF domain containing protein	0	N/A		0	N/A		0	N/A	
16130734	b2830	NP_417307.1	RNA pyrophosphohydrolase	0	N/A		0	N/A		0	N/A	
16130735	b2831	NP_417308.1	methyl-directed mismatch repair protein	0	N/A		0	N/A		0	N/A	
16130736	b2832	NP_417309.1	inner membrane protein, UPF0053 family	0	N/A		0	N/A		0	N/A	
16130737	b2833	NP_417310.1	novel lipoprotein	0	N/A		0	N/A		0	N/A	
16130738	b2834	NP_417311.1	predicted oxidoreductase, NADP(H)-dependent aldo-keto reductase; suppresses tyrosine requirement of tyrA14 O6 strain	0	N/A		0	N/A		0	N/A	
16130739	b2835	NP_417312.1	lysophospholipid transporter	0	N/A		0	N/A		0	N/A	
16130740	b2836	NP_417313.1	fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase	0	N/A		0	N/A		0	N/A	
16130741	b2837	NP_417314.1	DNA-binding transcriptional repressor	1 to 3	RBB	YP_817219.1	1 to 2	RBB	WP_000219066.1	0	N/A	
16130742	b2838	NP_417315.1	diaminopimelate decarboxylase, PLP-binding	1 to 1	RBB	YP_817197.1	1 to 1	SSD	WP_000216936.1	1 to 1	SSD	NP_390219.1
16130743	b2839	NP_417316.1	DNA-binding transcriptional dual regulator	0	N/A		0	N/A		0	N/A	
16130744	b2840	NP_417317.1	conserved protein, Asp/Glu_racemase family	0	N/A		0	N/A		1 to 1	RBB	NP_391323.1
16130745	b2841	NP_417318.1	arabinose transporter	0	N/A		0	N/A		2 to 4	RBB	NP_388504.1;NP_388707.1;NP_391464.2;NP_391860.1
16130746	b2842	NP_417319.1	2-deoxy-D-gluconate 3-dehydrogenase	0	N/A		0	N/A		1 to 1	RBB	NP_390096.1
16130747	b2843	NP_417320.1	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	0	N/A		0	N/A		1 to 1	RBB	NP_390095.1
90111494	b2844	NP_417321.2	predicted acyltransferase	0	N/A		1 to 2	RBB	WP_000199070.1	2 to 1	RBB	NP_390297.1
16130749	b2845	NP_417322.1	predicted transporter	0	N/A		0	N/A		0	N/A	
90111495	b2846	NP_417323.2	conserved protein with bipartite regulator domain	0	N/A		0	N/A		0	N/A	
16130751	b2847	NP_417324.1	predicted transcriptional regulator	0	N/A		0	N/A		0	N/A	
90111496	b2848	NP_417325.4	predicted protein	0	N/A		0	N/A		0	N/A	
90111497	b2849	NP_417326.2	predicted protein	0	N/A		0	N/A		0	N/A	
16130755	b2851	NP_417328.1	predicted chaperone	0	N/A		0	N/A		0	N/A	
16130756	b2852	NP_417329.1	predictedtranscriptional regulator	0	N/A		0	N/A		0	N/A	
16130757	b2853	NP_417330.1	predicted protein	0	N/A		0	N/A		0	N/A	
16130763	b2860	NP_417337.1	IS2 transposase TnpB	0	N/A		0	N/A		0	N/A	
145698306	b2861	NP_417338.3	IS2 repressor TnpA	0	N/A		0	N/A		0	N/A	
90111503	b2865	NP_417341.4	novel lipoprotein, function unknown	1 to 1	RBB	YP_815595.1	0	N/A		0	N/A	
16130768	b2866	NP_417342.1	xanthine dehydrogenase, molybdenum binding subunit	0	N/A		0	N/A		2 to 1	RBB	NP_391128.1
16130769	b2867	NP_417343.1	xanthine dehydrogenase, FAD-binding subunit	0	N/A		0	N/A		1 to 1	RBB	NP_391129.1
16130770	b2868	NP_417344.1	xanthine dehydrogenase, Fe-S binding subunit	0	N/A		0	N/A		1 to 1	RBB	NP_391127.1
16130771	b2869	NP_417345.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		2 to 1	RBB	NP_388691.1
49176276	b2870	YP_026185.1	predicted carbamoyltransferase	0	N/A		0	N/A		0	N/A	
16130773	b2871	NP_417347.1	2,3-diaminopropionate ammonia-lyase	0	N/A		0	N/A		0	N/A	
16130774	b2872	NP_417348.1	predicted peptidase	1 to 1	RBB	YP_816043.1	0	N/A		0	N/A	
90111504	b2873	NP_417349.4	D-stereospecific phenylhydantoinase	1 to 2	RBB	YP_816504.1	0	N/A		0	N/A	
16130776	b2874	NP_417350.1	predicted amino acid kinase	1 to 1	RBB	YP_817364.1	1 to 1	RBB	WP_001074342.1	0	N/A	
16130777	b2875	NP_417351.1	conserved protein with NAD(P)-binding Rossman fold	0	N/A		0	N/A		1 to 1	RBB	NP_391131.1
90111505	b2876	NP_417352.2	conserved protein	0	N/A		0	N/A		0	N/A	
16130779	b2877	NP_417353.1	CTP:molybdopterin cytidylyltransferase	0	N/A		0	N/A		0	N/A	
16130780	b2878	NP_417354.1	predicted oxidoreductase, Fe-S subunit	0	N/A		0	N/A		0	N/A	
90111506	b2879	NP_417355.4	predicted chlorohydrolase/aminohydrolase	0	N/A		0	N/A		0	N/A	
16130782	b2880	NP_417356.1	predicted oxidoreductase	0	N/A		0	N/A		0	N/A	
16130783	b2881	NP_417357.1	probable hypoxanthine oxidase, molybdopterin-binding/Fe-S binding	0	N/A		0	N/A		2 to 1	RBB	NP_391128.1
90111507	b2882	NP_417358.2	xanthine permease	0	N/A		0	N/A		0	N/A	
16130785	b2883	NP_417359.1	guanine deaminase	1 to 1	RBB	YP_816657.1	0	N/A		0	N/A	
90111508	b2886	NP_417362.4	predicted oxidoreductase, 4Fe-4S ferredoxin-type subunit	0	N/A		0	N/A		0	N/A	
90111509	b2887	NP_417363.2	fused predicted oxidoreductase: Fe-S subunit/nucleotide-binding subunit	0	N/A		1 to 3	RBB	WP_000503583.1	3 to 1	RBB	NP_389726.2
90111510	b2888	NP_417364.2	predicted transporter	1 to 1	RBB	YP_817080.1	1 to 1	RBB	WP_000793009.1	1 to 3	RBB	NP_390088.1;NP_391123.1;NP_391124.1
16130791	b2889	NP_417365.1	isopentenyl diphosphate isomerase	0	N/A		0	N/A		0	N/A	
16130792	b2890	NP_417366.1	lysine tRNA synthetase, constitutive	1 to 2	RBB	YP_816116.1	1 to 2	RBB	WP_001288202.1	2 to 1	RBB	NP_387963.1
16130793	b2891	NP_417367.1	peptide chain release factor RF-2	1 to 1	SSD	YP_816152.1	1 to 1	RBB	WP_000840125.1	1 to 1	SSD	NP_391409.1
16130794	b2892	NP_417368.1	ssDNA exonuclease, 5' --> 3'-specific	1 to 1	RBB	YP_816033.1	1 to 1	RBB	WP_000594993.1	1 to 1	SSD	NP_390640.1
16130795	b2893	NP_417369.1	protein disulfide isomerase II	0	N/A		0	N/A		0	N/A	
16130796	b2894	NP_417370.1	site-specific tyrosine recombinase	1 to 2	RBB	YP_816497.1	1 to 1	RBB	WP_000447733.1	1 to 1	SSD	NP_390232.2
16130797	b2895	NP_417371.1	flavodoxin 2	0	N/A		0	N/A		2 to 2	RBB	NP_389298.1;NP_389300.2
16130798	b2896	NP_417372.1	predicted protein	0	N/A		0	N/A		0	N/A	
16130799	b2897	NP_417373.1	conserved protein	0	N/A		0	N/A		0	N/A	
16130800	b2898	NP_417374.1	Hda suppressor; also involved in methylthio modification at 2-methylthio-6-iodeadenosine in tRNA	0	N/A		0	N/A		0	N/A	
16130801	b2899	NP_417375.1	inner membrane protein, hemolysin III family HylIII	1 to 1	SSD	YP_816761.1	1 to 1	RBB	WP_000047255.1	1 to 1	SSD	NP_390062.1
16130802	b2900	NP_417376.1	conserved protein, UPF0267 family	0	N/A		0	N/A		0	N/A	
16130803	b2901	NP_417377.1	6-phospho-beta-glucosidase A	1 to 1	RBB	YP_815795.1	1 to 1	RBB	WP_000163988.1	1 to 1	RBB	NP_391891.1
16130804	b2902	NP_417378.1	predicted NAD(P)-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain	0	N/A		0	N/A		1 to 1	RBB	NP_388165.1
16130805	b2903	NP_417379.1	glycine decarboxylase, PLP-dependent, subunit (protein P) of glycine cleavage complex	0	N/A		1 to 1	RBB	WP_000202192.1	1 to 1	Non-SSD	NP_390335.1
16130806	b2904	NP_417380.1	glycine cleavage complex lipoylprotein	0	N/A		1 to 1	RBB	WP_000290485.1	1 to 1	SSD	NP_391159.1
16130807	b2905	NP_417381.1	aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex	0	N/A		1 to 1	RBB	WP_000093349.1	1 to 1	SSD	NP_390337.2
16130808	b2906	NP_417382.1	predicted oxidoreductase with FAD/NAD(P)-binding domain	0	N/A		0	N/A		0	N/A	
16130809	b2907	NP_417383.1	2-octaprenyl-6-methoxyphenol hydroxylase, FAD/NAD(P)-binding	0	N/A		0	N/A		0	N/A	
16130810	b2908	NP_417384.1	proline aminopeptidase P II	0	N/A		0	N/A		0	N/A	
90111511	b2909	NP_417385.4	conserved protein, UPF0149 family	0	N/A		0	N/A		0	N/A	
16130812	b2910	NP_417386.1	protein that localizes to the cytokinetic ring	0	N/A		0	N/A		0	N/A	
49176282	b2912	NP_417387.3	conserved protein, 5-formyltetrahydrofolate cyclo-ligase family	1 to 1	RBB	YP_817309.1	0	N/A		1 to 1	SSD	NP_390369.1
