Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession
397673601	RVBD_1738	WP_003408522.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673602	RVBD_1739c	WP_003916850.1	sulfate permease	0	N/A		0	N/A		1 to 1	RBB	NP_743566.1	1 to 1	RBB	WP_013974017.1	1 to 1	RBB	WP_012076252.1	1 to 1	RBB	WP_003087559.1	1 to 1	RBB	WP_003140117.1	1 to 1	RBB	WP_012019439.1	0	N/A		0	N/A		1 to 1	RBB	WP_003087559.1	0	N/A	
397673603	RVBD_1740	WP_003408528.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673604	RVBD_1741	WP_003898996.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673605	RVBD_1742	WP_003898997.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673606	RVBD_1743	WP_003898998.1	serine/threonine-protein kinase pknE	0	N/A		0	N/A		8 to 1	RBB	NP_744241.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673607	RVBD_1744c	WP_003408538.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673608	RVBD_1745c	WP_003898999.1	isopentenyl-diphosphate Delta-isomerase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_024086195.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673609	RVBD_1746	WP_003899000.1	serine/threonine-protein kinase pknF	0	N/A		1 to 8	RBB	WP_014851691.1	8 to 1	RBB	NP_744241.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673610	RVBD_1747	WP_003408545.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673611	RVBD_1748	WP_003899001.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673612	RVBD_1749c	WP_003911630.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673613	RVBD_1750c	WP_003408558.1	fatty-acid-CoA ligase FadD1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673614	RVBD_1751	WP_003408560.1	oxidoreductase	0	N/A		1 to 1	RBB	WP_014854458.1	1 to 1	RBB	NP_747298.1	1 to 1	RBB	WP_013974719.1	1 to 1	RBB	WP_033997578.1	1 to 1	RBB	WP_003115267.1	1 to 1	RBB	WP_003110667.1	1 to 1	RBB	WP_012018091.1	0	N/A		0	N/A		1 to 1	RBB	WP_003110667.1	0	N/A	
397673615	RVBD_1752	WP_003408562.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673616	RVBD_1753c	WP_010886126.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673617	RVBD_1754c	WP_003906670.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673618	RVBD_1755c	WP_003901245.1	phospholipase C 4	0	N/A		0	N/A		0	N/A		0	N/A		4 to 2	RBB	WP_012076980.1;WP_012074913.1	4 to 2	RBB	WP_003117582.1;WP_014834095.1	4 to 2	RBB	WP_003138281.1;WP_003140852.1	0	N/A		0	N/A		0	N/A		4 to 2	RBB	WP_003085833.1;WP_003091692.1	0	N/A	
397673619	RVBD_1756c	WP_003899492.1	transposase	0	N/A		3 to 16	RBB	WP_014852999.1;WP_014853328.1	16 to 1	RBB	NP_745121.1	16 to 8	RBB	WP_013970401.1;WP_033694705.1;WP_044047268.1;WP_044047136.1	16 to 9	RBB	WP_012075643.1;WP_012076686.1;WP_012077066.1;WP_004352797.1;WP_012077889.1;WP_012075313.1;WP_003115187.1;WP_041025510.1	16 to 1	RBB	YP_006484750	16 to 2	RBB	WP_003137178.1;WP_023443521.1	0	N/A		0	N/A		16 to 2	RBB	YP_207993.1;YP_208019.1	16 to 7	RBB	WP_003115187.1;WP_041025738.1	0	N/A	
397673620	RVBD_1757c	WP_003899493.1	transposase	0	N/A		3 to 16	RBB	WP_003298990.1	16 to 1	RBB	NP_745120.1	16 to 3	RBB	WP_011535022.1	0	N/A		0	N/A		0	N/A		16 to 1	RBB	WP_012020325.1	0	N/A		0	N/A		0	N/A		0	N/A	
397673621	RVBD_1758	WP_003917521.1	esterase/lipase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673622	RVBD_1759c	WP_010886128.1	WAG22 antigen	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673623	RVBD_1760	WP_003911649.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673624	RVBD_1761c	WP_003899008.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673626	RVBD_1762Ac	YP_006515161	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673625	RVBD_1762c	WP_003899009.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673627	RVBD_1763	WP_003899493.1	transposase	0	N/A		3 to 16	RBB	WP_003298990.1	16 to 1	RBB	NP_745120.1	16 to 3	RBB	WP_011535022.1	0	N/A		0	N/A		0	N/A		16 to 1	RBB	WP_012020325.1	0	N/A		0	N/A		0	N/A		0	N/A	
397673628	RVBD_1764	WP_003899492.1	transposase	0	N/A		3 to 16	RBB	WP_014853328.1;WP_014852999.1	16 to 1	RBB	NP_745121.1	16 to 8	RBB	WP_013970401.1;WP_033694705.1;WP_044047268.1;WP_044047136.1	16 to 9	RBB	WP_012076686.1;WP_003115187.1;WP_012077889.1;WP_012075313.1;WP_012077066.1;WP_041025510.1;WP_004352797.1;WP_012075643.1	16 to 1	RBB	YP_006484750	16 to 2	RBB	WP_003137178.1;WP_023443521.1	0	N/A		0	N/A		16 to 2	RBB	YP_207993.1;YP_208019.1	16 to 7	RBB	WP_003115187.1;WP_041025738.1	0	N/A	
397673630	RVBD_1765A	WP_003408734.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673629	RVBD_1765c	WP_010886130.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673631	RVBD_1766	WP_003899012.1	hypothetical protein	1 to 1	RBB	WP_014846603.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003246772.1	0	N/A		0	N/A		0	N/A		0	N/A	
397673632	RVBD_1767	WP_003408743.1	alkylhydroperoxidase AhpD family core domain-containing protein	0	N/A		0	N/A		1 to 1	RBB	NP_744570.1	1 to 1	RBB	WP_013973174.1	1 to 1	RBB	WP_003084980.1	1 to 1	RBB	WP_003084980.1	1 to 1	RBB	WP_003084980.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003084980.1	0	N/A	
397673633	RVBD_1768	WP_003905649.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673634	RVBD_1769	WP_003904700.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_033997394.1	1 to 1	RBB	WP_003114362.1	1 to 1	RBB	WP_016254360.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003096577.1	1 to 1	RBB	WP_041629234.1
397673635	RVBD_1770	WP_003911655.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673636	RVBD_1771	WP_014848107.1	FAD-linked oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012077938.1	1 to 1	RBB	WP_023085875.1	1 to 1	RBB	WP_003096579.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003096579.1	0	N/A	
397673637	RVBD_1772	WP_003899015.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673638	RVBD_1773c	WP_003408754.1	hypothetical protein	0	N/A		1 to 2	RBB	WP_043942492.1	2 to 1	RBB	NP_744745.1	2 to 2	RBB	WP_023662480.1;WP_013972111.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673639	RVBD_1774	WP_003899017.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673640	RVBD_1775	WP_003408760.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673641	RVBD_1776c	WP_003899018.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673642	RVBD_1777	WP_003911660.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		8 to 1	RBB	WP_041025469.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673643	RVBD_1778c	WP_003408775.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673644	RVBD_1779c	WP_003408781.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673645	RVBD_1780	WP_003408792.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673646	RVBD_1781c	WP_003408795.1	4-alpha-glucanotransferase	1 to 1	RBB	WP_014846044.1	1 to 1	SSD	WP_014852804.1	1 to 1	RBB	NP_746178.1	1 to 1	RBB	WP_013973328.1	1 to 1	SSD	WP_012075902.1	1 to 1	RBB	WP_003116983.1	1 to 1	RBB	WP_003139558.1	1 to 1	SSD	WP_012018632.1	0	N/A		0	N/A		1 to 1	RBB	WP_014603805.1	1 to 1	RBB	WP_012731960.1
397673647	RVBD_1782	WP_003899021.1	ESX-5 secretion system protein eccB5	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		5 to 1	RBB	WP_041629585.1
397673648	RVBD_1784	YP_006515183	ESX-5 secretion system protein eccCa5	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_014603591.1	0	N/A	
397673649	RVBD_1785c	WP_003408802.1	cytochrome P450 143 cyp143	1 to 9	RBB	WP_014847027.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673650	RVBD_1786	WP_003408803.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673651	RVBD_1787	WP_003901254.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673652	RVBD_1788	WP_003408976.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673653	RVBD_1789	WP_003408979.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673654	RVBD_1790	WP_003408805.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673655	RVBD_1791	WP_003408807.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673656	RVBD_1792	YP_006515191	ESAT-6-like protein esxK	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673657	RVBD_1792A	WP_003905653.1	ESAT-6-like protein esxM	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673658	RVBD_1793	WP_003408840.1	ESAT-6-like protein esxN	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673659	RVBD_1794	WP_003408846.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673660	RVBD_1795	WP_003900411.1	ESX-5 secretion system protein eccD5	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673661	RVBD_1796	WP_003408854.1	type VII secretion-associated serine protease mycosin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		5 to 1	RBB	WP_041629584.1
397673662	RVBD_1797	WP_003408859.1	ESX-5 secretion system protein EccE5	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673663	RVBD_1798	WP_003408868.1	ESX-5 secretion system protein EccA5	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673664	RVBD_1799	WP_003899024.1	lipoprotein LppT	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673665	RVBD_1800	WP_003901256.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673666	RVBD_1801	WP_003899026.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673667	RVBD_1802	WP_003409061.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673668	RVBD_1803c	WP_003899028.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673669	RVBD_1804c	WP_003409065.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673670	RVBD_1805c	WP_003902196.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673671	RVBD_1806	WP_003900412.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673672	RVBD_1807	WP_003916893.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673673	RVBD_1808	WP_003899029.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673674	RVBD_1809	WP_003911666.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673675	RVBD_1810	WP_015288168.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673676	RVBD_1811	WP_003899032.1	Mg2+ transporter-C (MgtC) family protein	0	N/A		1 to 1	RBB	WP_014853891.1	1 to 1	RBB	NP_745387.1	1 to 1	RBB	WP_013972648.1	1 to 1	RBB	WP_003149962.1	1 to 1	RBB	WP_003094941.1	1 to 1	SSD	WP_003094941.1	1 to 1	SSD	WP_003246834.1	0	N/A		0	N/A		1 to 1	SSD	WP_003094941.1	0	N/A	
397673677	RVBD_1812c	WP_003916895.1	NADH dehydrogenase-like protein	0	N/A		0	N/A		1 to 1	RBB	NP_745011.1	1 to 2	RBB	WP_013972467.1;WP_013973025.1	1 to 1	RBB	WP_012076479.1	1 to 1	RBB	WP_003101497.1	1 to 1	RBB	WP_003138874.1	1 to 1	RBB	WP_041772880.1	0	N/A		0	N/A		1 to 1	RBB	WP_003090551.1	0	N/A	
397673678	RVBD_1813c	WP_003409199.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673679	RVBD_1814	WP_003899033.1	C-5 sterol desaturase	0	N/A		0	N/A		1 to 1	RBB	NP_747320.1	1 to 1	RBB	WP_013974737.1	1 to 1	RBB	WP_012077072.1	1 to 1	RBB	YP_006482863	0	N/A		1 to 1	RBB	WP_041772782.1	0	N/A		0	N/A		0	N/A		0	N/A	
397673680	RVBD_1815	WP_003409204.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673681	RVBD_1816	WP_003409205.1	hypothetical protein	1 to 1	SSD	WP_041698028.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673682	RVBD_1817	WP_003409207.1	flavoprotein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673683	RVBD_1818c	WP_010886133.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673684	RVBD_1819c	WP_003900416.1	ATP-binding protein	0	N/A		0	N/A		1 to 1	RBB	NP_744389.1	1 to 1	RBB	WP_013971851.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_274110.1	0	N/A		0	N/A		0	N/A	
397673685	RVBD_1820	WP_003409218.1	acetolactate synthase I/II/III large subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673686	RVBD_1821	WP_003911668.1	protein translocase subunit secA 2	1 to 1	RBB	WP_041698011.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012731508.1
397673687	RVBD_1822	WP_003409227.1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	1 to 1	SSD	WP_014846587.1	1 to 2	RBB	WP_014852898.1	0	N/A		0	N/A		2 to 1	RBB	WP_003090349.1	2 to 1	RBB	WP_003090349.1	2 to 1	RBB	WP_003090349.1	0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_003090349.1	1 to 1	RBB	WP_041629273.1
397673688	RVBD_1823	WP_003901262.1	hypothetical protein	1 to 1	RBB	WP_041697464.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673689	RVBD_1824	WP_003409231.1	hypothetical protein	1 to 1	RBB	WP_014846589.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673690	RVBD_1825	WP_003899038.1	hypothetical protein	1 to 1	RBB	WP_041697466.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673691	RVBD_1826	WP_003899040.1	glycine cleavage system H protein	1 to 1	Borderline-SSD	WP_041697587.1	1 to 1	SSD	WP_014854454.1	1 to 2	RBB	NP_743150.1;NP_747294.1	1 to 2	RBB	WP_003257943.1;WP_013974715.1	1 to 2	SSD	WP_034079797.1;WP_012075618.1	1 to 2	RBB	WP_003089718.1;WP_003107397.1	1 to 2	RBB	WP_003089718.1;WP_003107397.1	1 to 1	SSD	WP_011920606.1	1 to 1	RBB	NP_273619.1	1 to 1	RBB	YP_208461.1	1 to 2	RBB	WP_003089718.1;WP_003107397.1	1 to 1	Borderline-SSD	WP_012730971.1
397673692	RVBD_1827	WP_003899041.1	FHA domain-containing protein	1 to 1	SSD	WP_014846591.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012019293.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012731510.1
397673693	RVBD_1828	WP_003409239.1	hypothetical protein	1 to 1	SSD	WP_014846592.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_041629274.1
397673694	RVBD_1829	WP_003409242.1	hypothetical protein	1 to 1	SSD	WP_041696423.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012731512.1
397673695	RVBD_1830	WP_003911669.1	hypothetical protein	1 to 1	RBB	WP_014846594.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012731513.1
397673696	RVBD_1831	WP_003902191.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673697	RVBD_1832	WP_003900418.1	glycine dehydrogenase	1 to 1	SSD	WP_014846906.1	1 to 1	SSD	WP_014854453.1	1 to 2	RBB	NP_743149.1;NP_747293.1	1 to 2	RBB	WP_013971104.1;WP_013974714.1	1 to 2	RBB	WP_041025433.1;WP_012075619.1	1 to 2	RBB	WP_014833992.1;WP_003118035.1	1 to 2	RBB	WP_003139201.1;WP_003141946.1	1 to 1	SSD	WP_012017950.1	0	N/A		1 to 1	RBB	YP_208388.1	1 to 2	RBB	WP_003089715.1;WP_023098871.1	1 to 1	Borderline-SSD	WP_041629058.1
397673698	RVBD_1833c	WP_003409254.1	haloalkane dehalogenase 2	1 to 2	RBB	WP_041697188.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
