Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession
16130236	b2301	NP_416804.1	glutathione S-transferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130237	b2302	NP_416805.1	GSH-dependent disulfide bond oxidoreductase	0	N/A		1 to 1	RBB	WP_003112525.1	0	N/A		0	N/A		1 to 1	RBB	WP_003081964.1	0	N/A		0	N/A		1 to 1	RBB	WP_012076756.1	0	N/A		1 to 1	RBB	WP_003081964.1	0	N/A		0	N/A	
16130238	b2303	NP_416806.1	D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase	1 to 1	RBB	WP_014853856.1	1 to 1	RBB	WP_003091897.1	0	N/A		0	N/A		1 to 1	RBB	WP_003091897.1	0	N/A		1 to 1	RBB	WP_003245965.1	1 to 1	RBB	WP_003150326.1	0	N/A		1 to 1	RBB	WP_003091897.1	0	N/A		0	N/A	
16130239	b2304	NP_416807.1	conserved protein with NAD(P)-binding Rossmann-fold domain	0	N/A		1 to 1	SSD	WP_014834132.1	0	N/A		1 to 1	SSD	WP_013970919.1	1 to 1	SSD	WP_003094984.1	1 to 1	RBB	WP_041628949.1	1 to 1	SSD	WP_003246967.1	1 to 1	SSD	WP_012077380.1	0	N/A		1 to 1	SSD	WP_003141621.1	1 to 1	SSD	NP_742904.1	0	N/A	
16130240	b2305	NP_416808.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130241	b2306	NP_416809.1	histidine/lysine/arginine/ornithine transporter subunit	1 to 1	RBB	WP_014851172.1	1 to 1	RBB	WP_003085940.1	1 to 5	RBB	WP_014845727.1	1 to 1	RBB	WP_013973655.1	1 to 1	RBB	WP_003085940.1	0	N/A		2 to 1	RBB	WP_003244455.1;WP_011921146.1	1 to 1	RBB	WP_012076940.1	0	N/A		1 to 1	RBB	WP_003085940.1	1 to 1	RBB	NP_746594.1	0	N/A	
16130242	b2307	NP_416810.1	histidine/lysine/arginine/ornithine transporter subunit	0	N/A		1 to 1	RBB	WP_003091035.1	1 to 7	RBB	WP_014845728.1	2 to 1	RBB	WP_013970484.1;WP_003260115.1	1 to 1	RBB	WP_003091035.1	0	N/A		2 to 1	RBB	WP_003244453.1;WP_003246332.1	1 to 1	RBB	WP_003154026.1	0	N/A		1 to 1	RBB	WP_003091035.1	2 to 1	RBB	NP_742447.1;NP_746595.1	0	N/A	
16130243	b2308	NP_416811.1	histidine/lysine/arginine/ornithine transporter permease subunit	0	N/A		1 to 1	RBB	WP_003091034.1	0	N/A		1 to 1	RBB	WP_003260113.1	1 to 1	RBB	WP_003091034.1	0	N/A		2 to 1	RBB	WP_003244451.1;WP_012017777.1	1 to 1	RBB	WP_012076942.1	0	N/A		1 to 1	RBB	WP_003110298.1	1 to 1	RBB	NP_746596.1	0	N/A	
16130244	b2309	NP_416812.1	histidine/lysine/arginine/ornithine transporter subunit	0	N/A		1 to 2	RBB	WP_014833941.1	1 to 6	RBB	WP_014845729.1	1 to 2	RBB	WP_013973656.1	1 to 2	RBB	WP_003091033.1	0	N/A		3 to 2	RBB	WP_003244449.1;WP_003246393.1;WP_003246328.1	0	N/A		1 to 4	RBB	NP_274618.1	1 to 2	RBB	WP_003124439.1	1 to 2	RBB	NP_746597.1	4 to 1	RBB	YP_208231.1
16130245	b2310	NP_416813.1	lysine/arginine/ornithine transporter subunit	0	N/A		1 to 2	RBB	WP_014833941.1	1 to 6	RBB	WP_014845729.1	1 to 2	RBB	WP_013973656.1	1 to 2	RBB	WP_003091033.1	1 to 4	RBB	YP_002907018	3 to 2	RBB	WP_003246393.1;WP_003246328.1;WP_003244449.1	2 to 1	RBB	WP_012076943.1;WP_033997661.1	1 to 4	RBB	NP_274618.1	1 to 2	RBB	WP_003124439.1	1 to 2	RBB	NP_746597.1	4 to 1	RBB	YP_208231.1
16130246	b2311	NP_416814.1	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	1 to 1	Non-SSD	WP_014854002.1	1 to 1	Non-SSD	WP_003093227.1	0	N/A		1 to 1	Non-SSD	WP_013970698.1	1 to 1	Non-SSD	WP_003093227.1	0	N/A		1 to 1	Non-SSD	WP_012019739.1	1 to 1	Non-SSD	WP_012074415.1	1 to 1	SSD	NP_274939.1	1 to 1	Non-SSD	WP_003093227.1	1 to 1	Non-SSD	NP_742711.1	1 to 1	RBB	YP_209149.1
16130247	b2312	NP_416815.1	amidophosphoribosyltransferase	1 to 1	SSD	WP_014852288.1	1 to 1	SSD	WP_003091383.1	1 to 1	RBB	WP_014847504.1	1 to 1	SSD	WP_013971613.1	1 to 1	SSD	WP_003091383.1	1 to 1	RBB	WP_012731051.1	1 to 1	SSD	WP_012018939.1	1 to 1	SSD	WP_012075063.1	1 to 1	SSD	NP_273732.1	1 to 1	SSD	WP_003091383.1	1 to 1	SSD	NP_744150.1	1 to 1	SSD	YP_207426.1
16130248	b2313	NP_416816.1	membrane protein required for colicin V production	1 to 1	SSD	WP_014852287.1	1 to 1	SSD	WP_014833934.1	0	N/A		1 to 1	SSD	WP_013971612.1	1 to 1	SSD	WP_003091384.1	0	N/A		1 to 1	SSD	WP_003243640.1	1 to 1	SSD	WP_003154131.1	1 to 1	RBB	NP_273733.1	1 to 1	SSD	WP_003091384.1	1 to 1	RBB	NP_744149.1	1 to 1	RBB	YP_207427.1
90111417	b2314	NP_416817.2	membrane-anchored periplasmic protein involved in septation	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130250	b2315	NP_416818.1	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase	1 to 1	SSD	WP_014852284.1	1 to 1	SSD	WP_003116446.1	1 to 1	RBB	WP_014846839.1	1 to 1	SSD	WP_038409134.1	1 to 1	SSD	WP_003091387.1	1 to 1	RBB	WP_041629447.1	1 to 1	SSD	WP_012018941.1	1 to 1	SSD	WP_012075060.1	1 to 1	SSD	NP_273735.1	1 to 1	SSD	WP_003138507.1	1 to 1	SSD	NP_744147.1	1 to 1	SSD	YP_207429.1
16130251	b2316	NP_416819.1	acetyl-CoA carboxylase, beta (carboxyltransferase) subunit	1 to 1	SSD	WP_014852283.1	1 to 1	SSD	WP_003104199.1	2 to 1	RBB	WP_014845769.1;WP_014846018.1	1 to 1	SSD	WP_013971609.1	1 to 1	SSD	WP_003104199.1	1 to 1	RBB	WP_041629118.1	1 to 1	SSD	WP_003243635.1	1 to 1	SSD	WP_012075059.1	1 to 1	SSD	NP_273721.1	1 to 1	SSD	WP_003104199.1	1 to 1	SSD	NP_744146.1	1 to 1	SSD	YP_207414.1
16130252	b2317	NP_416820.1	conserved inner membrane protein	0	N/A		1 to 1	SSD	WP_003093241.1	1 to 2	RBB	WP_014846854.1	1 to 1	SSD	WP_015268798.1	1 to 1	SSD	WP_003093241.1	1 to 1	RBB	WP_041629063.1	0	N/A		1 to 1	SSD	WP_012074404.1	1 to 1	RBB	NP_274086.1	1 to 1	SSD	WP_003093241.1	1 to 1	SSD	NP_742703.1	1 to 1	SSD	YP_207982.1
16130253	b2318	NP_416821.1	pseudouridylate synthase I	1 to 1	SSD	WP_043942546.1	1 to 1	SSD	WP_003091390.1	1 to 1	RBB	WP_014847174.1	1 to 1	SSD	WP_031325625.1	1 to 1	SSD	WP_003091390.1	1 to 1	RBB	WP_041629587.1	1 to 1	SSD	WP_012018943.1	1 to 1	SSD	WP_003157954.1	1 to 1	SSD	NP_275027.1	1 to 1	SSD	WP_011666599.1	0	N/A		1 to 1	SSD	YP_208841.1
16130254	b2319	NP_416822.1	predicted semialdehyde dehydrogenase	0	N/A		1 to 1	RBB	WP_003115016.1	1 to 1	RBB	WP_041697070.1	1 to 1	RBB	WP_038409132.1	1 to 1	RBB	WP_003091393.1	1 to 1	RBB	WP_012730863.1	1 to 1	SSD	WP_012018945.1	1 to 1	RBB	WP_012075056.1	0	N/A		1 to 1	RBB	WP_003091393.1	1 to 1	RBB	NP_744143.1	0	N/A	
16130255	b2320	NP_416823.1	erythronate-4-phosphate dehydrogenase	1 to 1	SSD	WP_014853118.1	1 to 1	RBB	WP_003116057.1	0	N/A		1 to 1	RBB	WP_013971692.1	1 to 1	RBB	WP_003086963.1	0	N/A		1 to 1	SSD	WP_012018376.1	1 to 1	RBB	WP_012076517.1	0	N/A		1 to 1	RBB	WP_003140321.1	1 to 1	RBB	NP_744266.1	0	N/A	
16130256	b2321	NP_416824.1	predicted flagella assembly protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130257	b2322	NP_416825.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130258	b2323	NP_416826.1	3-oxoacyl-[acyl-carrier-protein] synthase I	1 to 1	RBB	WP_014853196.1	1 to 1	RBB	WP_003087471.1	0	N/A		1 to 1	RBB	WP_013973429.1	1 to 1	RBB	WP_003087471.1	0	N/A		1 to 1	RBB	WP_012018768.1	1 to 1	RBB	WP_012076279.1	0	N/A		1 to 1	RBB	WP_003087471.1	1 to 1	RBB	NP_746292.1	0	N/A	
90111418	b2324	NP_416827.4	fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase/FAD-dependent demodification enzyme	1 to 1	SSD	WP_014852190.1	1 to 1	RBB	WP_014833913.1	0	N/A		1 to 1	RBB	WP_013971439.1	1 to 1	RBB	WP_009877540.1	0	N/A		1 to 1	SSD	WP_012019339.1	1 to 1	RBB	WP_012074817.1	1 to 1	RBB	NP_273783.1	1 to 1	RBB	WP_003138195.1	1 to 1	RBB	NP_743907.1	1 to 1	RBB	YP_207478.1
16130260	b2325	NP_416828.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130261	b2326	NP_416829.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130262	b2327	NP_416830.1	inner membrane protein, UPF0721 family	1 to 1	RBB	WP_014852909.1	1 to 1	RBB	WP_003117686.1	0	N/A		1 to 1	RBB	WP_013970658.1	1 to 1	RBB	WP_003087979.1	1 to 1	RBB	WP_012730961.1	1 to 1	RBB	WP_041772871.1	1 to 1	RBB	WP_012076158.1	1 to 1	Borderline-SSD	NP_273480.1	1 to 1	RBB	WP_003139927.1	2 to 1	RBB	NP_746063.1;NP_742653.1	1 to 1	RBB	YP_208572.1
16130263	b2328	NP_416831.1	murein DD-endopeptidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130264	b2329	NP_416832.1	chorismate synthase	1 to 1	SSD	WP_014853130.1	1 to 1	SSD	WP_003087653.1	1 to 1	RBB	WP_014846651.1	1 to 1	SSD	WP_003260967.1	1 to 1	SSD	WP_003087653.1	1 to 1	RBB	WP_041628827.1	1 to 1	SSD	WP_012018354.1	1 to 1	SSD	WP_012076230.1	1 to 1	SSD	NP_274684.1	1 to 1	SSD	WP_003087653.1	1 to 1	SSD	NP_743985.1	1 to 1	SSD	YP_208393.1
90111419	b2330	NP_416833.4	N5-glutamine methyltransferase	1 to 1	SSD	WP_014853133.1	1 to 1	SSD	WP_003087648.1	0	N/A		1 to 1	SSD	WP_013971506.1	1 to 1	SSD	WP_003087648.1	0	N/A		1 to 1	SSD	WP_012018961.1	1 to 1	SSD	WP_003157420.1	1 to 1	RBB	NP_274660.1	1 to 1	SSD	WP_003087648.1	1 to 1	SSD	NP_743982.1	1 to 1	RBB	YP_208366.1
16130266	b2331	NP_416834.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_274050.1	0	N/A		0	N/A		1 to 1	RBB	YP_207992.1
90111420	b2332	NP_416835.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130268	b2333	NP_416836.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130269	b2334	NP_416837.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130270	b2335	NP_416838.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130271	b2336	NP_416839.1	predicted periplasmic pilus chaperone	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130272	b2339	NP_416841.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130273	b2340	NP_416842.1	phosphohistidine phosphatase	1 to 1	RBB	WP_014853192.1	1 to 1	RBB	WP_003117751.1	0	N/A		1 to 1	RBB	WP_013973423.1	1 to 1	RBB	WP_003087483.1	0	N/A		1 to 1	RBB	WP_012018763.1	1 to 1	RBB	WP_012076273.1	0	N/A		1 to 1	RBB	WP_003117751.1	1 to 1	RBB	NP_746284.1	0	N/A	
16130274	b2341	NP_416843.1	fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_012730932.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130275	b2342	NP_416844.1	beta-ketoacyl-CoA thiolase, anaerobic, subunit	0	N/A		1 to 1	RBB	WP_003102247.1	0	N/A		1 to 1	RBB	WP_013970731.1	1 to 1	RBB	WP_003095263.1	1 to 1	RBB	WP_012731461.1	1 to 1	SSD	WP_011920919.1	1 to 1	RBB	WP_012077515.1	0	N/A		1 to 1	RBB	WP_004365395.1	1 to 1	RBB	NP_742745.1	0	N/A	
90111421	b2343	NP_416845.2	conserved protein, UPF0381 family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698292	b2344	NP_416846.2	long-chain fatty acid outer membrane transporter	1 to 1	SSD	WP_014852132.1	1 to 1	SSD	WP_003082638.1	0	N/A		1 to 1	SSD	WP_013971392.1	1 to 1	SSD	WP_003082638.1	0	N/A		1 to 1	SSD	WP_012018267.1	1 to 1	SSD	WP_012076583.1	1 to 1	RBB	NP_273150.1	1 to 1	SSD	WP_003133490.1	1 to 1	SSD	NP_743846.1	0	N/A	
16130278	b2345	NP_416847.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130279	b2346	NP_416848.1	ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component	2 to 1	SSD	WP_043942740.1;WP_014852530.1	2 to 1	Borderline-SSD	WP_003114806.1;WP_024082493.1	0	N/A		3 to 1	SSD	WP_013971427.1;WP_041506154.1;WP_015269550.1	2 to 1	Borderline-SSD	WP_003091554.1;WP_003090872.1	0	N/A		2 to 1	SSD	WP_012017877.1;WP_012018390.1	2 to 1	RBB	WP_003152607.1;WP_012074973.1	1 to 1	RBB	NP_274955.1	2 to 1	RBB	WP_003090872.1;WP_003138398.1	2 to 1	Borderline-SSD	NP_743893.1;NP_744312.1	1 to 1	Borderline-SSD	YP_209131.1
16130280	b2347	NP_416849.1	predicted inner membrane protein	0	N/A		1 to 1	RBB	WP_003107204.1	0	N/A		1 to 1	RBB	WP_013973902.1	1 to 1	RBB	WP_003090842.1	0	N/A		0	N/A		1 to 1	RBB	WP_012075371.1	0	N/A		1 to 1	RBB	WP_003138815.1	1 to 1	RBB	NP_743317.1	0	N/A	
16130281	b2349	NP_416850.1	CPS-53 (KpLE1) prophage; predicted prophage CPS-53 integrase	1 to 3	SSD	WP_043942616.1	1 to 3	RBB	WP_014744326.1	0	N/A		0	N/A		1 to 2	RBB	WP_003096105.1	0	N/A		1 to 2	RBB	WP_012019848.1	1 to 2	RBB	WP_012077391.1	0	N/A		1 to 3	RBB	WP_011666563.1	0	N/A		3 to 1	RBB	YP_207612.1
16130282	b2350	NP_416851.1	CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase (flippase)	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130283	b2351	NP_416852.1	CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase	0	N/A		1 to 1	RBB	WP_014834142.1	0	N/A		0	N/A		1 to 1	RBB	WP_003095325.1	0	N/A		0	N/A		1 to 1	RBB	WP_012077539.1	0	N/A		1 to 1	RBB	WP_003107470.1	1 to 1	RBB	NP_742204.1	0	N/A	
16130284	b2352	NP_416853.1	serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130286	b2354	NP_416855.1	CPS-53 (KpLE1) prophage; conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130289	b2357	NP_416858.1	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698293	b2359	NP_416860.4	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130292	b2360	NP_416861.1	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111424	b2361	NP_416862.2	CPS-53 (KpLE1) prophage; conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012019843.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130294	b2362	NP_416863.1	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130295	b2363	NP_416864.1	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130296	b2364	NP_416865.1	DNA-binding transcriptional dual regulator	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013972698.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130297	b2365	NP_416866.1	D-serine permease	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 7	RBB	WP_012018016.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130298	b2366	NP_416867.1	D-serine dehydratase	0	N/A		1 to 1	RBB	WP_003117569.1	1 to 1	RBB	WP_014845860.1	1 to 1	RBB	WP_013973069.1	1 to 1	RBB	WP_003091739.1	0	N/A		1 to 1	RBB	WP_012019367.1	1 to 1	RBB	WP_012074892.1	0	N/A		1 to 1	RBB	WP_003138263.1	0	N/A		0	N/A	
16130299	b2367	NP_416868.1	predicted multidrug efflux system	1 to 2	RBB	WP_014852460.1	1 to 2	RBB	WP_014834164.1	0	N/A		1 to 2	RBB	WP_013972942.1	1 to 2	RBB	WP_003096173.1	0	N/A		1 to 2	RBB	WP_012018959.1	1 to 2	RBB	WP_012077798.1	1 to 2	RBB	NP_273368.1	1 to 2	RBB	WP_003141886.1	1 to 2	RBB	NP_745685.1	2 to 1	RBB	YP_208719.1
16130300	b2368	NP_416869.1	EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component	2 to 2	RBB	WP_014852461.1;WP_014852697.1	1 to 2	RBB	WP_003110594.1	0	N/A		1 to 2	RBB	WP_013972943.1	1 to 2	RBB	WP_003096171.1	0	N/A		1 to 2	RBB	WP_012018958.1	1 to 2	RBB	WP_033999894.1	1 to 2	RBB	NP_273367.1	1 to 2	RBB	WP_003135919.1	1 to 2	RBB	NP_745686.1	2 to 1	RBB	YP_208720.1
16130301	b2369	NP_416870.1	DNA-binding response regulator in two-component regulatory system with EvgS	0	N/A		1 to 1	RBB	WP_003091268.1	0	N/A		2 to 1	RBB	WP_023663311.1;WP_024086568.1	1 to 1	RBB	WP_003091268.1	0	N/A		0	N/A		1 to 1	RBB	WP_003152058.1	0	N/A		1 to 1	RBB	WP_003091268.1	2 to 1	RBB	NP_745550.1;NP_744251.1	0	N/A	
16130302	b2370	NP_416871.1	hybrid sensory histidine kinase in two-component regulatory system with EvgA	0	N/A		2 to 1	RBB	WP_003162445.1;WP_003118272.1	0	N/A		1 to 1	RBB	WP_013971679.1	2 to 1	RBB	WP_003091266.1;WP_003093089.1	0	N/A		0	N/A		2 to 1	RBB	WP_041025311.1;WP_012074461.1	0	N/A		2 to 1	RBB	WP_003138563.1;WP_003137721.1	1 to 1	RBB	NP_744250.1	0	N/A	
162135906	b2371	NP_416872.4	predicted CoA-transferase, NAD(P)-binding	1 to 1	SSD	WP_014854326.1	2 to 1	RBB	WP_003117496.1;WP_003084679.1	0	N/A		1 to 1	RBB	WP_013970350.1	2 to 1	RBB	WP_014603973.1;WP_003084679.1	0	N/A		1 to 1	SSD	WP_012020181.1	2 to 1	SSD	WP_012074029.1;WP_012074727.1	0	N/A		2 to 1	RBB	WP_003138047.1;WP_003084679.1	1 to 1	RBB	NP_742328.1	0	N/A	
16130304	b2372	NP_416873.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_011920467.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130305	b2373	NP_416874.1	oxalyl CoA decarboxylase, ThDP-dependent	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130306	b2374	NP_416875.1	formyl-CoA transferase, NAD(P)-binding	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130307	b2375	NP_416876.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130308	b2376	NP_416877.1	predicted lipoprotein involved in colanic acid biosynthesis	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130309	b2377	NP_416878.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111426	b2378	NP_416879.4	palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase	1 to 2	RBB	WP_014852176.1	1 to 2	RBB	WP_003114803.1	0	N/A		1 to 2	RBB	WP_013971425.1	1 to 2	RBB	WP_003091577.1	0	N/A		1 to 2	RBB	WP_012017874.1	1 to 2	RBB	WP_012074971.1	1 to 2	RBB	NP_274430.1	1 to 2	RBB	WP_003091577.1	1 to 2	RBB	NP_743891.1	2 to 1	RBB	YP_207324.1
16130311	b2379	NP_416880.1	valine-pyruvate aminotransferase 3	1 to 1	RBB	WP_014852320.1	1 to 1	RBB	WP_003100170.1	1 to 1	RBB	WP_014846231.1	1 to 1	RBB	WP_013970982.1	1 to 1	RBB	WP_003100170.1	1 to 1	RBB	WP_012731279.1	1 to 1	SSD	WP_003240994.1	1 to 1	RBB	WP_012077469.1	1 to 1	Non-SSD	NP_273935.1	1 to 1	RBB	WP_004365361.1	1 to 1	RBB	NP_742978.1	1 to 1	Non-SSD	YP_207610.1
16130312	b2380	NP_416881.1	predicted sensory kinase in two-component system with YpdB	1 to 2	RBB	WP_043942709.1	1 to 2	RBB	WP_003096404.1	0	N/A		0	N/A		1 to 2	RBB	WP_003096404.1	0	N/A		1 to 2	RBB	WP_011920567.1	1 to 2	RBB	WP_012077870.1	0	N/A		1 to 2	RBB	WP_003096404.1	0	N/A		0	N/A	
