Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession
16130141	b2204	NP_416708.1	ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB)	0	N/A		1 to 1	RBB	YP_005238323	1 to 1	RBB	NP_461200.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387685	0	N/A	
16130142	b2205	NP_416709.1	ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB)	0	N/A		1 to 1	RBB	YP_005238324	1 to 1	RBB	NP_461201.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387686	0	N/A	
16130143	b2206	NP_416710.1	nitrate reductase, periplasmic, large subunit	0	N/A		1 to 1	SSD	YP_005238325	1 to 1	SSD	NP_461202.1	1 to 1	RBB	NP_249865.1	1 to 1	Non-SSD	YP_001085031	1 to 1	RBB	YP_002387687	1 to 1	RBB	WP_011666721.1
16130144	b2207	NP_416711.1	assembly protein for periplasmic nitrate reductase	0	N/A		1 to 1	RBB	YP_005238326	1 to 1	RBB	NP_461203.1	1 to 1	RBB	NP_249866.1	0	N/A		1 to 1	RBB	YP_002387688	1 to 1	RBB	WP_003082422.1
16130145	b2208	NP_416712.1	ferredoxin-type protein, role in electron transfer to periplasmic nitrate reductase NapA	0	N/A		1 to 1	RBB	YP_005238327	1 to 1	RBB	NP_461204.1	1 to 1	RBB	NP_249867.1	0	N/A		1 to 1	RBB	YP_002387689	1 to 1	RBB	WP_003140527.1
16130146	b2209	NP_416713.1	ecotin, a serine protease inhibitor	0	N/A		1 to 1	SSD	YP_005238329	1 to 1	SSD	NP_461205.1	1 to 1	RBB	NP_251445.1	0	N/A		1 to 1	RBB	YP_002387691	1 to 1	RBB	WP_003138832.1
16130147	b2210	NP_416714.1	malate dehydrogenase, FAD/NAD(P)-binding domain	1 to 1	RBB	WP_003414545.1	0	N/A		0	N/A		1 to 1	RBB	NP_252142.1	1 to 1	RBB	YP_001083957	1 to 1	RBB	YP_002387692	1 to 1	RBB	WP_003091930.1
16130148	b2211	NP_416715.1	Microcin J25 efflux pump, TolC-dependent; fused ABC transporter permease and ATP-binding components	0	N/A		1 to 1	SSD	YP_005238330	1 to 1	SSD	NP_461206.1	1 to 1	RBB	NP_251087.1	0	N/A		1 to 1	RBB	YP_002387693	1 to 1	RBB	WP_003103601.1
16130149	b2212	NP_416716.1	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions	0	N/A		1 to 1	SSD	YP_005238331	1 to 1	SSD	NP_461207.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387694	0	N/A	
16130150	b2213	NP_416717.1	fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase	0	N/A		1 to 1	SSD	YP_005238332	1 to 1	SSD	NP_461208.1	1 to 1	RBB	NP_250808.1	0	N/A		1 to 1	RBB	YP_002387695	1 to 1	RBB	WP_003139588.1
16130151	b2214	NP_416718.1	predicted thiamine biosynthesis lipoprotein	0	N/A		1 to 1	SSD	YP_005238333	1 to 1	SSD	NP_461209.1	1 to 1	RBB	NP_251683.1	0	N/A		1 to 1	RBB	YP_002387696	1 to 1	SSD	WP_003130678.1
16130152	b2215	NP_416719.1	outer membrane porin protein C	0	N/A		1 to 1	SSD	YP_005238334	1 to 1	SSD	NP_461210.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387697	0	N/A	
16130153	b2216	NP_416720.1	phosphotransfer intermediate protein in two-component regulatory system with RcsBC	0	N/A		1 to 1	SSD	YP_005238336	1 to 1	SSD	NP_461211.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387698	0	N/A	
16130154	b2217	NP_416721.1	DNA-binding response regulator in two-component regulatory system with RcsC and YojN	0	N/A		1 to 1	SSD	YP_005238337	1 to 1	SSD	NP_461212.1	1 to 1	RBB	NP_252403.1	0	N/A		1 to 1	RBB	YP_002387699	1 to 1	RBB	WP_003092560.1
145698285	b2218	NP_416722.2	hybrid sensory kinase in two-component regulatory system with RcsB and YojN	0	N/A		1 to 1	SSD	YP_005238338	1 to 1	SSD	NP_461213.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387700	2 to 1	RBB	WP_003141504.1;WP_031632751.1
16130156	b2219	NP_416723.1	sensory histidine kinase in two-component regulatory system with AtoC	0	N/A		0	N/A		0	N/A		2 to 1	RBB	NP_251261.1;NP_253088.1	0	N/A		0	N/A		2 to 1	RBB	WP_003094087.1;WP_003138970.1
16130157	b2220	NP_416724.1	fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130158	b2221	NP_416725.1	acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit	1 to 1	RBB	WP_003412786.1	0	N/A		0	N/A		1 to 1	RBB	NP_250689.1	3 to 1	RBB	YP_001084875;YP_001084761;YP_001084923	1 to 1	RBB	YP_002386926	1 to 1	RBB	WP_003088566.1
16130159	b2222	NP_416726.1	acetyl-CoA:acetoacetyl-CoA transferase, beta subunit	1 to 1	RBB	WP_003412782.1	0	N/A		0	N/A		1 to 1	RBB	NP_250690.1	1 to 1	Non-SSD	YP_001084760	1 to 1	RBB	YP_002386925	1 to 1	RBB	WP_003088567.1
16130160	b2223	NP_416727.1	short chain fatty acid transporter	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_250692.1	1 to 1	Non-SSD	YP_001084759	0	N/A		1 to 1	RBB	WP_003088572.1
16130161	b2224	NP_416728.1	acetyl-CoA acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	YP_001085850	0	N/A		0	N/A	
16130162	b2225	NP_416729.1	conserved protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_253177.1	0	N/A		1 to 1	RBB	YP_002387701	1 to 1	RBB	WP_031632719.1
16130163	b2226	NP_416730.1	predicted protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_253178.1	0	N/A		1 to 1	RBB	YP_002387702	1 to 1	RBB	WP_009875892.1
90111404	b2229	NP_416732.4	predicted protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_253180.1	0	N/A		1 to 1	RBB	YP_002387704	1 to 1	RBB	WP_016254082.1
90111405	b2230	NP_416733.4	conserved protein, DUF2138 family	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_253181.1	0	N/A		1 to 1	RBB	YP_002387705	1 to 1	RBB	WP_003141329.1
16130166	b2231	NP_416734.1	DNA gyrase (type II topoisomerase), subunit A	1 to 1	RBB	WP_003917265.1	1 to 1	Non-SSD	YP_005238340	1 to 1	Non-SSD	NP_461214.1	1 to 1	SSD	NP_251858.1	1 to 1	SSD	YP_001085645	1 to 1	RBB	YP_002387707	1 to 1	SSD	WP_003116419.1
16130167	b2232	NP_416735.1	bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase	3 to 1	RBB	WP_003419793.1;WP_003898852.1;WP_003911240.1	1 to 1	Borderline-SSD	YP_005238346	1 to 1	Borderline-SSD	NP_461218.1	1 to 1	SSD	NP_251861.1	1 to 1	SSD	YP_001083133	1 to 1	RBB	YP_002387708	1 to 1	SSD	WP_003091451.1
16130168	b2233	NP_416736.1	adhesin	0	N/A		2 to 1	RBB	YP_005238606;YP_005240005	2 to 1	RBB	NP_461448.1;NP_462656.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387709	0	N/A	
16130169	b2234	NP_416737.1	ribonucleoside-diphosphate reductase 1, alpha subunit	0	N/A		1 to 1	SSD	YP_005238348	1 to 1	SSD	NP_461219.1	1 to 1	Non-SSD	NP_249847.1	1 to 1	Non-SSD	YP_001083789	1 to 1	RBB	YP_002387710	1 to 1	Non-SSD	WP_003082358.1
16130170	b2235	NP_416738.1	ribonucleoside-diphosphate reductase 1, beta subunit, ferritin-like protein	0	N/A		1 to 1	SSD	YP_005238349	1 to 1	SSD	NP_461220.1	1 to 1	Non-SSD	NP_249846.1	1 to 1	Non-SSD	YP_001083788	1 to 1	RBB	YP_002387711	1 to 1	Non-SSD	WP_003086547.1
16130171	b2236	NP_416739.1	ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical (Y*) cofactor maintenance	0	N/A		1 to 1	SSD	YP_005238350	1 to 1	SSD	NP_461221.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387712	0	N/A	
16130172	b2237	NP_416740.1	conserved protein, acid-induced	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_253068.1	0	N/A		1 to 1	RBB	YP_002387713	1 to 1	RBB	WP_003094029.1
16130174	b2239	NP_416742.1	periplasmic glycerophosphodiester phosphodiesterase	0	N/A		1 to 1	SSD	YP_005238353	1 to 1	SSD	NP_461224.1	1 to 1	RBB	NP_249038.1	1 to 1	RBB	YP_001085679	1 to 1	RBB	YP_002387715	1 to 1	RBB	WP_003110415.1
16130175	b2240	NP_416743.1	sn-glycerol-3-phosphate transporter	0	N/A		1 to 1	SSD	YP_005238354	1 to 1	SSD	NP_461225.1	1 to 1	RBB	NP_253922.1	0	N/A		1 to 1	RBB	YP_002387716	1 to 1	RBB	WP_003096330.1
16130176	b2241	NP_416744.1	sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding	0	N/A		1 to 1	SSD	YP_005238355	1 to 1	SSD	NP_461226.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387717	0	N/A	
16130177	b2242	NP_416745.1	sn-glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit	0	N/A		1 to 1	SSD	YP_005238356	1 to 1	SSD	NP_461227.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387718	0	N/A	
16130178	b2243	NP_416746.1	sn-glycerol-3-phosphate dehydrogenase (anaerobic), small subunit	0	N/A		1 to 1	SSD	YP_005238357	1 to 1	SSD	NP_461228.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387719	0	N/A	
16130179	b2244	NP_416747.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387720	0	N/A	
16130180	b2245	NP_416748.1	2-keto-3-deoxy-L-rhamnonate aldolase	0	N/A		1 to 1	SSD	YP_005238362	1 to 1	SSD	NP_461231.1	1 to 1	RBB	NP_252817.1	0	N/A		1 to 1	RBB	YP_002389798	1 to 1	RBB	WP_003137557.1
90111406	b2246	NP_416749.4	predicted L-rhamnonate transporter	1 to 1	RBB	WP_003408264.1	1 to 1	SSD	YP_005238363	1 to 1	SSD	NP_461232.1	1 to 1	RBB	NP_250904.1	2 to 1	Borderline-SSD	YP_001084820;YP_001084002	1 to 1	RBB	YP_002389797	1 to 1	RBB	WP_003123448.1
226524733	b2247	NP_416750.2	L-rhamnonate dehydratase	0	N/A		1 to 1	Borderline-SSD	YP_005238364	1 to 1	Borderline-SSD	NP_461233.1	1 to 1	RBB	NP_250905.1	0	N/A		0	N/A		1 to 1	RBB	WP_003111006.1
16130183	b2248	NP_416751.1	predicted DNA-binding transcriptional regulator for the rhm operon	0	N/A		1 to 1	SSD	YP_005238365	1 to 1	SSD	NP_461234.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130184	b2249	NP_416752.1	conserved protein	0	N/A		1 to 1	SSD	YP_005238366	1 to 1	SSD	NP_461235.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387721	0	N/A	
90111407	b2250	NP_416753.4	outer membrane protein, possible porin	0	N/A		1 to 1	Borderline-SSD	YP_005238367	1 to 1	Borderline-SSD	NP_461236.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387722	0	N/A	
16130186	b2251	NP_416754.1	nucleoside triphosphatase	0	N/A		1 to 1	Borderline-SSD	YP_005238368	1 to 1	Borderline-SSD	NP_461237.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387723	0	N/A	
16130187	b2252	NP_416755.1	predicted LPS core heptose(II)-phosphate phosphatase	0	N/A		1 to 1	RBB	YP_005238369	1 to 1	RBB	NP_461238.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387724	0	N/A	
145698288	b2253	NP_416756.5	uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, PLP-dependent	1 to 2	RBB	WP_003900048.1	1 to 1	SSD	YP_005238371	1 to 1	SSD	NP_461239.2	1 to 1	RBB	NP_252242.1	1 to 2	SSD	YP_001083152	1 to 1	RBB	YP_002387725	1 to 1	RBB	WP_003130049.1
16130189	b2254	NP_416757.1	undecaprenyl phosphate-L-Ara4FN transferase	1 to 2	RBB	WP_003407612.1	1 to 1	SSD	YP_005238372	1 to 1	SSD	NP_461240.1	1 to 1	RBB	NP_252243.1	1 to 2	RBB	YP_001085643	1 to 1	RBB	YP_002387726	1 to 1	SSD	WP_003092115.1
16130190	b2255	NP_416758.1	fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase	0	N/A		1 to 1	SSD	YP_005238373	1 to 1	SSD	NP_461241.1	1 to 1	RBB	NP_252244.1	0	N/A		1 to 1	RBB	YP_002387727	1 to 1	RBB	WP_003092116.1
16130191	b2256	NP_416759.1	Undecaprenyl phosphate-alpha-L-ara4FN deformylase	0	N/A		1 to 1	SSD	YP_005238374	1 to 1	SSD	NP_461242.1	1 to 1	RBB	NP_252245.1	0	N/A		1 to 1	RBB	YP_002387728	1 to 1	RBB	WP_003138080.1
16130192	b2257	NP_416760.1	4-amino-4-deoxy-L-arabinose transferase	0	N/A		1 to 1	SSD	YP_005238375	1 to 1	SSD	NP_461243.1	1 to 1	RBB	NP_252246.1	1 to 1	RBB	YP_001085644	1 to 1	RBB	YP_002387729	1 to 1	RBB	WP_003138078.1
90111409	b2258	NP_416761.4	undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit	0	N/A		1 to 1	SSD	YP_005238377	1 to 1	SSD	NP_461245.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387731	0	N/A	
90111410	b2259	NP_416762.2	inactive two-component system connector protein	0	N/A		1 to 1	SSD	YP_005238378	1 to 1	SSD	NP_461246.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387732	0	N/A	
16130195	b2260	NP_416763.1	o-succinylbenzoate-CoA ligase	0	N/A		1 to 1	SSD	YP_005238379	1 to 1	SSD	NP_461247.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387733	0	N/A	
16130196	b2261	NP_416764.1	o-succinylbenzoyl-CoA synthase	0	N/A		1 to 1	SSD	YP_005238380	1 to 1	SSD	NP_461248.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387734	0	N/A	
16130197	b2262	NP_416765.1	dihydroxynaphthoic acid synthetase	1 to 1	RBB	WP_003915439.1	1 to 1	Borderline-SSD	YP_005238381	1 to 1	Borderline-SSD	NP_461249.1	1 to 1	RBB	NP_250703.1	0	N/A		1 to 1	RBB	YP_002387735	1 to 1	RBB	WP_003088598.1
16130198	b2263	NP_416766.1	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	0	N/A		1 to 1	SSD	YP_005238382	1 to 1	SSD	NP_461250.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387736	0	N/A	
16130199	b2264	NP_416767.1	bifunctional 2-oxoglutarate decarboxylase/ SHCHC synthase	1 to 1	RBB	WP_003402927.1	1 to 1	SSD	YP_005238383	1 to 1	SSD	NP_461251.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387737	0	N/A	
90111411	b2265	NP_416768.4	isochorismate synthase 2	0	N/A		1 to 1	SSD	YP_005238384	1 to 1	SSD	NP_461252.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387738	0	N/A	
16130201	b2266	NP_416769.1	conserved protein	0	N/A		1 to 1	RBB	YP_005238385	1 to 1	RBB	NP_461253.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387739	0	N/A	
16130202	b2267	NP_416770.1	predicted acyltransferase with acyl-CoA N-acyltransferase domain	1 to 1	RBB	WP_003414543.1	1 to 1	SSD	YP_005238386	1 to 1	SSD	NP_461254.1	1 to 1	SSD	NP_248805.1	1 to 1	RBB	YP_001085865	1 to 1	RBB	YP_002387740	1 to 1	RBB	WP_003083750.1
90111412	b2268	NP_416771.4	RNase BN, tRNA processing enzyme	1 to 1	RBB	WP_003911863.1	1 to 1	Non-SSD	YP_005236847	1 to 1	SSD	NP_461255.1	0	N/A		1 to 1	RBB	YP_001085295	1 to 1	RBB	YP_002387741	0	N/A	
16130204	b2269	NP_416772.1	protease, capable of cleaving an AMC-ubiquitin model substrate	0	N/A		1 to 1	RBB	YP_005238360	1 to 1	RBB	NP_461229.2	0	N/A		0	N/A		1 to 1	RBB	YP_002387742	0	N/A	
16130205	b2270	NP_416773.1	conserved protein	1 to 1	RBB	WP_003407530.1	1 to 1	RBB	YP_005238388	1 to 1	RBB	NP_461257.1	0	N/A		0	N/A		0	N/A		0	N/A	
90111413	b2271	NP_416774.2	predicted peptidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387743	0	N/A	
16130207	b2272	NP_416775.1	conserved protein, DUF1877 family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387744	0	N/A	
16130208	b2273	NP_416776.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
226524734	b2274	NP_416777.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130210	b2275	NP_416778.1	TPR-like protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
345452721	b2275	NP_416778.2	TPR-like repeats-containing protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698289	b2276	NP_416779.2	NADH:ubiquinone oxidoreductase, membrane subunit N	1 to 1	RBB	WP_003900644.1	1 to 1	SSD	YP_005238392	1 to 1	SSD	NP_461258.2	1 to 1	SSD	NP_251339.1	1 to 1	SSD	YP_001083806	1 to 1	RBB	YP_002387745	1 to 1	SSD	WP_003090482.1
16130212	b2277	NP_416780.1	NADH:ubiquinone oxidoreductase, membrane subunit M	1 to 1	RBB	WP_003900643.1	1 to 1	SSD	YP_005238393	1 to 1	SSD	NP_461259.1	1 to 1	SSD	NP_251338.1	1 to 1	SSD	YP_001083805	1 to 1	RBB	YP_002387746	1 to 1	SSD	WP_003090479.1
16130213	b2278	NP_416781.1	NADH:ubiquinone oxidoreductase, membrane subunit L	1 to 1	RBB	WP_003900642.1	1 to 1	Borderline-SSD	YP_005238394	1 to 1	Borderline-SSD	NP_461260.1	1 to 1	SSD	NP_251337.1	1 to 1	SSD	YP_001083804	1 to 1	RBB	YP_002387747	1 to 1	SSD	WP_003138929.1
16130214	b2279	NP_416782.1	NADH:ubiquinone oxidoreductase, membrane subunit K	1 to 1	RBB	WP_003416452.1	1 to 1	SSD	YP_005238395	1 to 1	SSD	NP_461261.1	1 to 1	SSD	NP_251336.1	1 to 1	SSD	YP_001083803	1 to 1	RBB	YP_002387748	1 to 1	SSD	WP_003090475.1
16130215	b2280	NP_416783.1	NADH:ubiquinone oxidoreductase, membrane subunit J	0	N/A		1 to 1	SSD	YP_005238396	1 to 1	SSD	NP_461262.1	1 to 1	RBB	NP_251335.1	1 to 1	RBB	YP_001083802	1 to 1	RBB	YP_002387749	1 to 1	RBB	WP_003090473.1
16130216	b2281	NP_416784.1	NADH:ubiquinone oxidoreductase, chain I	1 to 1	RBB	WP_031647147.1	1 to 1	Borderline-SSD	YP_005238397	1 to 1	Borderline-SSD	NP_461263.1	1 to 1	SSD	NP_251334.1	1 to 1	SSD	YP_001083801	1 to 1	RBB	YP_002387750	1 to 1	SSD	WP_003090467.1
16130217	b2282	NP_416785.1	NADH:ubiquinone oxidoreductase, membrane subunit H	1 to 1	RBB	WP_003416445.1	1 to 1	Borderline-SSD	YP_005238398	1 to 1	Borderline-SSD	NP_461264.1	1 to 1	SSD	NP_251333.1	1 to 1	SSD	YP_001083800	1 to 1	RBB	YP_002387751	1 to 1	SSD	WP_003090465.1
145698290	b2283	NP_416786.4	NADH:ubiquinone oxidoreductase, chain G	1 to 1	RBB	WP_003916519.1	1 to 1	SSD	YP_005238399	1 to 1	SSD	NP_461265.2	1 to 1	SSD	NP_251332.1	1 to 1	SSD	YP_001083799	1 to 1	RBB	YP_002387752	1 to 1	SSD	WP_003138932.1
16130219	b2284	NP_416787.1	NADH:ubiquinone oxidoreductase, chain F	1 to 1	RBB	WP_003416439.1	1 to 1	SSD	YP_005238400	1 to 1	SSD	NP_461266.1	1 to 1	SSD	NP_251331.1	1 to 1	SSD	YP_001083798	1 to 1	RBB	YP_002387753	1 to 1	SSD	YP_790553.1
16130220	b2285	NP_416788.1	NADH:ubiquinone oxidoreductase, chain E	1 to 1	RBB	WP_003416434.1	1 to 1	SSD	YP_005238401	1 to 1	SSD	NP_461267.1	1 to 1	SSD	NP_251330.1	1 to 1	RBB	YP_001083797	1 to 1	RBB	YP_002387754	1 to 1	SSD	WP_003090460.1
145698291	b2286	NP_416789.2	NADH:ubiquinone oxidoreductase, fused CD subunit	1 to 1	RBB	WP_003416430.1	1 to 1	Borderline-SSD	YP_005238402	1 to 1	Borderline-SSD	NP_461268.1	1 to 1	SSD	NP_251329.1	1 to 1	SSD	YP_001083796	1 to 1	RBB	YP_002387755	1 to 1	SSD	WP_003090458.1
16130222	b2287	NP_416790.1	NADH:ubiquinone oxidoreductase, chain B	1 to 1	RBB	WP_003416420.1	1 to 1	SSD	YP_005238403	1 to 1	SSD	NP_461269.1	1 to 1	SSD	NP_251328.1	1 to 1	SSD	YP_001083795	1 to 1	RBB	YP_002387756	1 to 1	SSD	WP_003090455.1
49176207	b2288	NP_416791.3	NADH:ubiquinone oxidoreductase, membrane subunit A	1 to 1	RBB	WP_003416417.1	1 to 1	SSD	YP_005238404	1 to 1	SSD	NP_461270.1	1 to 1	SSD	NP_251327.1	1 to 1	SSD	YP_001083794	1 to 1	RBB	YP_002387757	1 to 1	SSD	WP_003090452.1
16130224	b2289	NP_416792.1	DNA-binding transcriptional repressor of flagellar, motility and chemotaxis genes	0	N/A		1 to 1	SSD	YP_005238408	1 to 1	SSD	NP_461272.1	1 to 1	SSD	NP_251536.1	1 to 1	RBB	YP_001084343	1 to 1	RBB	YP_002387758	1 to 1	RBB	WP_003114756.1
16130225	b2290	NP_416793.1	valine-pyruvate aminotransferase 2	1 to 1	RBB	WP_003401733.1	1 to 1	SSD	YP_005238409	1 to 1	SSD	NP_461273.1	1 to 1	RBB	NP_251518.1	1 to 1	SSD	YP_001084498	1 to 1	RBB	YP_002387759	1 to 1	SSD	WP_003090913.1
16130226	b2291	NP_416794.1	5'-nucleotidase	0	N/A		1 to 1	Borderline-SSD	YP_005238410	1 to 1	Borderline-SSD	NP_461274.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387760	0	N/A	
16130227	b2292	NP_416795.1	predicted transporter	0	N/A		1 to 1	SSD	YP_005238411	1 to 1	SSD	NP_461275.1	1 to 1	RBB	NP_252528.1	0	N/A		1 to 1	RBB	YP_002387761	1 to 1	SSD	WP_003092885.1
90111414	b2293	NP_416796.2	sugar phosphatas	0	N/A		1 to 1	SSD	YP_005238412	1 to 1	SSD	NP_461276.2	0	N/A		0	N/A		1 to 1	RBB	YP_002387762	0	N/A	
90111415	b2294	NP_416797.2	conserved protein, UPF0304 family	0	N/A		1 to 1	SSD	YP_005238413	1 to 1	SSD	NP_461277.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387763	0	N/A	
16130230	b2295	NP_416798.1	inner membrane protein, UPF0208 family	0	N/A		1 to 1	SSD	YP_005238414	1 to 1	SSD	NP_461278.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387764	0	N/A	
16130231	b2296	NP_416799.1	acetate kinase A and propionate kinase 2	1 to 2	RBB	WP_003402097.1	1 to 1	SSD	YP_005238417	1 to 1	SSD	NP_461279.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387766	0	N/A	
16130232	b2297	NP_416800.1	phosphate acetyltransferase	1 to 1	RBB	WP_003898439.1	1 to 1	Borderline-SSD	YP_005238418	1 to 1	Borderline-SSD	NP_461280.1	1 to 1	RBB	NP_249526.1	1 to 1	RBB	YP_001083538	1 to 1	RBB	YP_002387767	1 to 1	RBB	WP_003085813.1
90111416	b2298	NP_416801.2	predicted inner membrane protein	0	N/A		1 to 1	RBB	YP_005238419	1 to 1	RBB	NP_461281.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130234	b2299	NP_416802.1	predicted NUDIX hydrolase	0	N/A		1 to 1	SSD	YP_005238427	1 to 1	SSD	NP_461288.1	1 to 1	RBB	NP_253528.1	0	N/A		1 to 1	RBB	YP_002387768	1 to 1	RBB	WP_004365420.1
49176208	b2300	NP_416803.3	phosphodiesterase activity on bis-pNPP	0	N/A		1 to 1	SSD	YP_005238428	1 to 1	SSD	NP_461289.1	1 to 1	RBB	NP_249042.1	0	N/A		1 to 1	RBB	YP_002387769	1 to 1	RBB	WP_024082402.1
16130236	b2301	NP_416804.1	glutathione S-transferase	0	N/A		1 to 1	SSD	YP_005238429	1 to 1	SSD	NP_461290.1	0	N/A		1 to 1	SSD	YP_001084442	1 to 1	RBB	YP_002387770	0	N/A	
16130237	b2302	NP_416805.1	GSH-dependent disulfide bond oxidoreductase	0	N/A		1 to 1	Borderline-SSD	YP_005238430	1 to 1	Borderline-SSD	NP_461291.1	1 to 1	SSD	NP_249724.1	1 to 1	Borderline-SSD	YP_001083647	1 to 1	RBB	YP_002387771	1 to 1	RBB	WP_003081964.1
16130238	b2303	NP_416806.1	D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_252129.1	0	N/A		1 to 1	RBB	YP_002387772	1 to 1	RBB	WP_003091897.1
